Serial No.,NARE5H CHANDRA BAWJI,NtPALOEU BHAnACHARY A,SAM IK BHATTACHARY A,SOUGATA RAY,SAURAV 5AHA,AMIT SKNGUPTA,INORANIL BANERJEE,JHUMASAHA,TARUN KUMAR DAS,8HANKAR OAS,8ATYA BRATA BANOYOPADllY AY,SUBIR DAS,Total Valid Votes,No. of rejected Votes,Votes for NOTA option,Total Votes,No. of tendered votes
1,2,46,296,337,7,0,2,1,1,2,0,3,697,0,1,698,0
2,2,59,230,214,11,1,1,2,1,1,5,0,527,0,4,531,0
3,3,61,18,721,58,0,3,2,2,3,2,1,874,0,11,885,0
4,7,38,107,689,93,0,1,1,2,3,4,4,949,0,12,961,0
5,2,62,97,266,21,2,1,3,0,1,1,0,456,0,5,461,0
6,2,50,13,649,59,0,2,2,2,5,1,1,786,0,7,793,0
7,5,120,280,215,19,0,2,2,0,1,2,1,647,0,7,654,0
8,1,57,342,200,10,0,0,2,0,1,1,0,614,0,3,617,0
9,7,81,404,319,16,1,1,2,3,5,3,1,843,0,10,853,0
10,6,28,593,186,13,1,3,0,1,4,5,2,842,0,14,856,0
11,5,186,374,371,15,2,2,2,2,6,4,2,971,0,4,975,0
12,1,146,179,289,10,0,0,0,2,0,0,1,628,0,2,630,0
13,4,67,183,161,6,0,2,0,0,7,2,3,435,0,8,443,0
14,3,84,164,176,10,0,0,1,1,0,0,1,440,0,3,443,0
15,1,178,342,278,43,0,2,0,0,1,0,0,                                    B45,0,12,857,0
16,1,238,272,277,13,1,1,0,0,1,1,0,805,0,27,832,0
17,3,227,197,200,15,0,1,1,0,1,0,2,647,0,7,654,0
18,1,162,280,185,29,2,0,0,1,0,1,0,661,0,5,666,0
19,3,112,418,194,15,1,0,0,1,1,0,1,746,0,6,752,0
20,3,107,133,215,23,0,1,0,0,1,0,1,484,0,17,501,0
21,6,139,282,307,19,2,0,3,0,3,1,0,762,0,5,767,0
22,3,152,328,228,22,1,1,1,1,2,0,2,741,0,8,749,0
23,4,110,427,305,15,0,2,2,2,2,2,2,873,0,9,882,0
24,1,42,152,114,8,0,0,                                      0   .,0,1,0,0,318,0,4,322,0
25,1,148,274,236,13,1,0,0,0,1,1,1,676,0,7,683,0
26,3,151,323,386,20,0,3,3,1,5,1,1,897,0,5,902,0
27,3,63,180,307,8,1,1,4,1,4,2,1,575,0,4,579,0
28,0,108,208,195,11,0,0,0,0,0,0,0,522,0,6,528,0
29,2,168,295,248,27,1,2,1,0,0,2,0,766,0,18,784,0
30,0,96,159,164,19,0,0,0,0,2,0,1,441,0,12,453,0
31,3,151,188,387,12,1,1,1,2,2,2,1,751,0,6,757,0
32,1,191,294,306,28,0,2,0,1,0,1,0,824,0,13,                      S37,0
33,3,201,279,329,18,0,0,0,1,1,2,1,835,0,17,852,0
34,0,63,141,181,8,0,0,1,1,0,0,0,395,0,10,405,0
35,2,142,176,210,16,0,0,5,0,0,0,0,551,0,4,555,0
36,2,142,320,342,25,0,2,1,0,1,1,1,837,0,12,849,0
37,1,90,247,284,19,1,2,1,2,1,0,0,648,0,11,659,0
38,1,147,251,291,26,0,1,5,0,0,0,1,723,0,13,736,0
39,3,80,163,154,8,0,0,0,2,3,1,0,414,0,3,417,0
40,1,155,263,214,21,3,1,2,0,0,1,1,662,0,10,672,0
41,5,133,209,189,14,1,4,3,1,3,3,2,567,0,6,573,0
42,3,128,482,223,12,2,3,1,1,3,2,1,861,0,15,876,0
