Serial No. Of Polling Station,AGARWAL KANAIALAL,CHURKA iVIURMU,DEEPA DASMUNSi,DEBASREE CHAUDHUR 1,MD. SALIM,AKIK HOSSAIN CHOWDHU RY,UKSHMA N MURMU,SANTHAPA N HASDAK,SUJAN KRISHNA PAUL,ADVOCATE ANJAY DEBSARMA,KUMARESH SARKAR,BINOY KUMAR DAS,MD. SAHAJAN BADSHA,RAJU PAUL,Total valid votes,No. of rejected votes,NOTA,Total Votes,Unnamed: 20
1,217,8,4,322,4,0,0,0,0,1,0,4,3,3,566,0,3,569,
2,95,2,8,277,24,0,0,3,0,1,0,3,0,1,414,0,1,415,
3,443,2,51,144,217,5,6,2,2,2,1,3,7,4,889,0,34,923,
4,800,1,10,5,35,1,0,0,0,0,0,1,0,0,853,0,0,853,
5,592,5,192,9,26,1,2,2,1,0,1,3,5,4,843,0,21,864,
6,122,2,39,478,78,2,2,0,3,1,1,3,6,2,739,0,7,746,
7,264,1,1,12,134,1,0,0,0,0,1,2,2,3,421,0,7,428,
8,479,0,56,207,153,1,0,2,1,1,3,7,2,3,915,0,14,929,
9,130,1,10,628,57,0,1,2,0,2,1,11,2,0,845,0,9,854,
10,456,1,57,97,196,3,1,1,1,0,3,2,2,2,822,0,12,834,
11,240,1,8,348,17,0,3,3,2,1,1,7,3,1,635,0,11,646,
12,28,0,6,483,4,1,3,1,0,0,0,6,1,1,534,0,1,535,
13,638,2,15,11,168,1,0,0,1,1,2,2,0,1,842,0,16,858,
14,701,10,240,14,106,1,2,0,0,0,2,4,5,1,1086,0,7,1093,
15,115,1,43,793,29,3,3,0,1,2,2,10,3,2,1007,0,8,1015,
16,317,7,155,205,112,4,3,6,0,2,6,9,9,8,843,0,14,857,
17,531,4,130,126,176,2,5,1,0,3,2,6,5,1,992,0,27,1019,
18,458,6,44,27,365,12,8,5,2,2,5,4,4,3,945,0,17,962,
19,580,3,78,5,180,0,0,0,0,0,0,3,5,0,854,0,17,871,
20,573,5,89,47,152,2,3,1,2,1,1,0,0,0,876,0,3,879,
21,238,0,45,442,39,0,4,0,1,1,1,3,4,1,779,0,8,787,
22,90,5,7,474,4,0,0,1,0,1,2,3,1,0,588,0,4,592,
23,110,3,18,580,10,1,1,0,1,1,2,7,3,2,739,0,7,746,
24,105,4,18,963,9,1,3,1,2,5,5,8,5,3,1132,0,9,1141,
25,99,1,12,631,16,0,2,1,1,1,6,5,1,1,777,0,3,780,
26,686,3,76,9,57,1,0,0,0,0,0,1,3,1,837,0,9,846,
27,401,3,50,9,35,1,1,1,0,1,0,1,1,0,504,0,6,510,
28,406,5,320,22,239,2,2,1,0,4,1,3,7,1,1013,0,16,1029,
29,362,0,20,310,39,0,3,2,0,0,1,4,3,0,744,0,9,753,
30,723,4,84,106,174,1,3,2,0,2,4,3,3,2,1111,0,19,1130,
31,469,8,283,107,132,2,5,0,0,2,2,2,7,1,1020,0,25,1045,
32,197,1,21,2,83,0,1,1,0,0,0,0,1,0,307,0,4,311,
33,878,1,3,6,5,0,0,1,0,0,0,0,0,0,894,0,1,895,
34,708,2,6,1,7,0,1,0,1,0,0,1,1,2,730,0,3,733,
35,534,2,5,0,4,0,0,1,1,0,0,0,0,0,547,0,2,549,
36,1100,1,7,9,14,0,0,0,0,0,0,0,0,0,1131,0,1,1132,
37,508,11,47,180,164,4,1,4,1,2,2,5,2,9,940,0,27,967,
38,986,3,6,1,11,0,0,0,0,0,0,0,0,1,1008,0,2,1010,
39,1032,2,6,4,16,0,1,0,0,0,0,0,0,0,1061,0,1,1062,
40,184,2,70,12,153,5,2,3,0,2,4,3,3,2,445,0,16,461,
41,277,6,75,25,109,3,0,2,1,2,4,4,7,0,515,0,19,534,
42,824,1,36,7,73,0,1,1,0,0,1,1,0,0,945,0,4,949,
43,570,1,56,4,142,1,0,0,0,0,0,0,1,0,775,0,3,778,
44,437,1,7,6,109,0,0,0,0,0,0,1,1,2,564,0,21,585,
45,583,1,7,2,37,0,0,0,0,0,0,1,1,1,633,0,2,635,
46,902,1,7,4,4,0,0,0,0,0,0,0,0,0,918,0,0,918,
47,616,1,54,4,174,3,0,0,0,0,1,0,1,0,854,0,7,861,
48,142,0,46,5,107,4,0,0,0,2,0,2,2,3,313,0,11,324,
49,539,0,8,8,17,0,1,1,0,0,0,1,3,2,580,0,2,582,
50,532,0,10,4,56,0,0,0,0,0,0,0,0,0,602,0,1,603,
51,363,1,16,7,312,3,0,0,1,2,1,0,1,2,709,0,7,716,
52,615,4,6,3,14,0,0,2,0,0,0,0,0,0,644,0,4,648,
53,942,1,9,9,15,0,                               0-,0,0,0,0,0,1,0,977,0,7,984,
54,316,2,11,13,51,2,0,0,0,0,2,1,0,0,398,0,12,410,
55,605,7,38,62,101,0,2,2,1,1,2,1,3,3,828,0,6,834,
56,589,6,83,47,215,5,1,0,1,0,1,1,1,3,953,0,7,960,
57,171,2,13,103,134,2,4,2,0,1,2,1,1,0,436,0,4,440,
58,337,4,59,12,340,11,2,3,3,0,0,2,1,2,776,0,9,785,
59,80,1,5,384,17,2,0,0,2,3,2,4,3,1,504,0,1,505,
60,603,4,90,87,83,0,3,0,0,0,1,4,3,2,880,0,4,884,
61,235,3,4,393,63,2,5,4,0,2,2,4,2,0,719,0,10,729,
62,470,1,23,231,276,3,1,0,1,0,0,7,3,0,1016,0,6,1022,
63,117,2,3,516,10,0,3,0,1,1,2,10,3,0,668,0,5,573,
64,130,1,6,472,4,0,1,0,1,1,0,12,5,0,633,0,5,638,
65,258,0,2,397,5,0,2,0,1,1,0,5,7,2,680,0,18,698,
66,235,3,5,563,21,0,1,1,2,8,1,17,10,1,868,0,13,881,
67,332,2,8,452,5,0,2,0,1,1,1,13,5,3,825,0,17,842,
68,302,8,10,241,55,1,1,2,2,2,1,6,2,1,634,0,11,645,
69,215,4,7,328,10,0,1,0,10,4,3,2,1,3,588,0,3,591,
70,178,6,27,622,4,0,1,3,5,1,4,11,3,5,870,0,15,885,
71,391,1,26,420,38,1,1,0,22,7,0,2,6,0,915,0,8,923,
72,308,3,5,484,11,1,2,1,7,2,2,7,6,0,839,0,5,844,
73,260,3,1,434,3,0,3,1,1,2,3,11,7,0,729,0,7,736,
74,554,6,9,248,59,2,1,0,2,3,2,4,6,1,897,0,19,916,
75,132,4,9,861,67,4,7,3,1,2,3,6,3,1,1103,0,8,1111,
76,325,2,15,571,71,1,5,2,2,3,3,9,5,2,1016,0,18,1034,
77,103,1,13,342,439,5,1,4,3,6,5,9,3,2,936,0,6,942,
78,273,3,16,840,14,2,4,9,5,5,2,14,10,4,1201,0,11,1212,
79,384,4,12,577,67,1,3,2,1,1,1,5,3,2,1063,0,3,1066,
80,200,1,5,568,7,1,9,0,0,2,3,10,4,0,810,0,12,822,
