Unnamed: 1,ARPITA,ABDUS SADEK,NALIN CHANDRA,RANEN,DR. SUKANTA MAJUMDA,NARAN,NUBASH CHANDRA,BIREN,MANAS CHAKRABO,RANJIT KR.,RANENDRA,BIBHUTI,MUSLIMA,Total of valid,No. of rejected,NOTA,Total no. of votes,No. of Tendered,Unnamed: 20
1,483,81,3,92,14,1,2,0,0,1,0,1,2,680,0,5,685,0,
2,441,59,2,20,67,1,1,0,0,0,0,0,2,593,0,2,595,0,
3,408,72,3,20,30,1,1,0,0,0,0,0,5,540,0,3,543,0,
4,365,60,3,46,12,2,0,0,0,0,2,2,2,494,0,8,502,0,
5,494,56,3,327,56,2,4,3,1,1,6,4,6,963,0,24,987,0,
6,348,80,7,167,13,0,3,0,1,1,0,4,2,626,0,9,635,0,
7,719,36,1,15,37,3,3,1,0,0,1,3,4,823,0,12,835,0,
8,470,210,3,4,35,0,0,0,0,2,0,1,1,726,0,7,733,0,
9,601,195,3,20,20,1,0,0,0,1,1,3,3,848,0,11,859,0,
10,521,39,2,8,35,3,0,1,0,1,0,0,5,615,0,4,619,0,
11,399,21,1,7,559,4,0,1,2,4,1,4,6,1009,0,13,1022,0,
12,322,5,2,12,659,9,2,0,1,1,1,2,4,1020,0,6,1026,0,
13,435,83,3,148,222,9,4,0,1,3,7,5,8,928,0,16,944,0,
14,592,90,3,184,13,4,4,2,2,2,0,3,2,901,0,13,914,0,
15,541,93,3,190,58,1,4,0,0,2,2,1,1,896,0,11,907,0,
16,483,103,1,121,62,2,2,1,3,1,0,3,4,786,0,5,791,0,
17,575,114,1,34,40,2,3,0,0,1,3,1,3,777,0,9,786,0,
18,179,4,0,14,313,1,0,0,1,0,2,3,3,520,0,8,528,0,
19,570,42,4,73,234,6,2,2,1,3,2,3,2,944,0,22,966,0,
20,598,154,6,39,55,1,3,0,2,1,0,3,6,868,0,19,887,0,
21,543,47,2,15,184,1,0,1,0,2,0,1,2,798,0,11,809,0,
22,499,80,0,23,289,4,1,1,0,3,0,1,3,904,0,11,915,0,
23,310,2,0,6,352,2,2,0,0,0,1,1,0,676,0,6,682,0,
