pc_id,pc_name,ac_id,ac_name,candidate name,candidate number
13,Kandhamal,87,Phulbani,Debiprasad Mishra,1
13,Kandhamal,87,Phulbani,Bobby Mohanty,2
13,Kandhamal,87,Phulbani,Bijaya Kumar Dalabehera,3
13,Kandhamal,87,Phulbani,Subas Kumar Sahoo,4
13,Kandhamal,87,Phulbani,Kishore Kumar Jena,5
13,Kandhamal,87,Phulbani,Nityananda Khatua,6
13,Kandhamal,87,Phulbani,Paresh Kumar Behera,7
13,Kandhamal,87,Phulbani,Priyaranjan Pratapsingh,8
13,Kandhamal,87,Phulbani,Manoj Kumar Nanda,9
13,Kandhamal,87,Phulbani,Jugal Kishor Rout,10
