pc_id,pc_name,ac_id,ac_name,Sl. No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total of Valid votes,No. of rejected Votes(Test votes),Votes for NOTA option,Total,No. of tendered votes
2,Sundargar,10,Biramitrapur,1,,,,,,,,3,156,188,84,0,62,2,0,495,nan,2.0,497,nan
2,Sundargar,10,Biramitrapur,2,,,,,,,,5,18,189,12,13,55,2,4,298,nan,5.0,303,nan
2,Sundargar,10,Biramitrapur,3,,,,,,,,8,66,127,30,3,180,4,2,420,nan,2.0,422,nan
2,Sundargar,10,Biramitrapur,4,,,,,,,,5,202,31,116,1,76,2,6,439,nan,0.0,439,nan
2,Sundargar,10,Biramitrapur,5,,,,,,,,7,90,70,136,4,143,5,2,457,nan,9.0,466,nan
2,Sundargar,10,Biramitrapur,6,,,,,,,,3,111,38,239,13,90,1,3,498,nan,3.0,501,nan
2,Sundargar,10,Biramitrapur,7,,,,,,,,3,61,224,34,1,137,1,0,461,nan,2.0,463,nan
2,Sundargar,10,Biramitrapur,8,,,,,,,,2,105,68,468,1,13,2,2,661,nan,0.0,661,nan
2,Sundargar,10,Biramitrapur,9,,,,,,,,5,60,111,128,2,79,2,2,389,nan,7.0,396,nan
2,Sundargar,10,Biramitrapur,10,,,,,,,,4,164,137,231,9,69,8,9,631,nan,3.0,634,nan
2,Sundargar,10,Biramitrapur,11,,,,,,,,3,130,82,100,0,48,1,2,366,nan,7.0,373,nan
2,Sundargar,10,Biramitrapur,12,,,,,,,,6,216,143,70,8,2,3,28,476,nan,4.0,480,nan
2,Sundargar,10,Biramitrapur,13,,,,,,,,21,227,250,209,23,51,9,12,802,nan,14.0,816,nan
2,Sundargar,10,Biramitrapur,14,,,,,,,,8,179,269,147,34,122,8,4,771,nan,10.0,781,nan
2,Sundargar,10,Biramitrapur,15,,,,,,,,10,91,195,137,5,266,112,17,833,nan,15.0,848,nan
2,Sundargar,10,Biramitrapur,16,,,,,,,,9,19,340,15,18,137,39,3,580,nan,10.0,590,nan
2,Sundargar,10,Biramitrapur,17,,,,,,,,8,70,368,133,8,40,3,0,630,nan,5.0,635,nan
2,Sundargar,10,Biramitrapur,18,,,,,,,,15,148,375,103,13,21,51,1,727,nan,3.0,730,nan
2,Sundargar,10,Biramitrapur,19,,,,,,,,6,242,153,307,2,30,4,2,746,nan,5.0,751,nan
2,Sundargar,10,Biramitrapur,21,,,,,,,,7,43,161,17,1,13,2,3,247,nan,6.0,253,nan
2,Sundargar,10,Biramitrapur,22,,,,,,,,9,75,371,20,3,46,9,1,534,nan,3.0,537,nan
2,Sundargar,10,Biramitrapur,23,,,,,,,,5,34,433,11,3,26,4,3,519,nan,4.0,523,nan
2,Sundargar,10,Biramitrapur,24,,,,,,,,2,41,227,12,1,32,51,0,366,nan,3.0,369,nan
2,Sundargar,10,Biramitrapur,25,,,,,,,,13,168,373,234,16,32,9,3,848,nan,10.0,858,nan
2,Sundargar,10,Biramitrapur,26,,,,,,,,11,107,279,31,5,16,10,2,461,nan,6.0,467,nan
2,Sundargar,10,Biramitrapur,27,,,,,,,,2,33,169,16,2,57,21,0,300,nan,1.0,301,nan
2,Sundargar,10,Biramitrapur,28,,,,,,,,9,60,103,239,3,15,1,1,431,nan,3.0,434,nan
2,Sundargar,10,Biramitrapur,29,,,,,,,,17,81,395,89,3,42,6,4,637,nan,8.0,645,nan
2,Sundargar,10,Biramitrapur,30,,,,,,,,6,76,271,55,11,75,2,3,499,0.0,1.0,500,nan
2,Sundargar,10,Biramitrapur,31,,,,,,,,22,132,298,224,21,46,6,3,752,nan,18.0,770,nan
2,Sundargar,10,Biramitrapur,32,,,,,,,,15,144,332,226,8,59,2,6,792,nan,11.0,803,nan
2,Sundargar,10,Biramitrapur,33,,,,,,,,10,31,323,20,3,98,5,0,490,nan,2.0,492,nan
2,Sundargar,10,Biramitrapur,34,,,,,,,,8,37,191,52,3,166,3,4,464,nan,11.0,475,nan
