pc_id,pc_name,ac_id,ac_name,Booth No.,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Total of Valid Votes,No. of Rejected Votes (Test Votes),Votes for NOTA Option,Total,Total No. of Tender Votes
15,Kendrapara ,102,Kendrapara,1,,,,,,,,42,292,4,144,482,0,6,488,0
15,Kendrapara ,102,Kendrapara,2,,,,,,,,44,442,3,210,699,0,7,706,0
15,Kendrapara ,102,Kendrapara,3,,,,,,,,92,450,4,253,799,0,6,805,0
15,Kendrapara ,102,Kendrapara,4,,,,,,,,88,387,5,199,679,0,4,683,0
15,Kendrapara ,102,Kendrapara,5,,,,,,,,47,280,1,161,489,0,3,492,0
15,Kendrapara ,102,Kendrapara,6,,,,,,,,43,434,3,193,673,0,3,676,0
15,Kendrapara ,102,Kendrapara,7,,,,,,,,91,379,7,259,736,0,2,738,0
15,Kendrapara ,102,Kendrapara,8,,,,,,,,60,335,8,230,633,0,8,641,0
15,Kendrapara ,102,Kendrapara,9,,,,,,,,51,388,4,426,869,0,7,876,0
15,Kendrapara ,102,Kendrapara,10,,,,,,,,64,502,8,288,862,0,12,874,0
15,Kendrapara ,102,Kendrapara,11,,,,,,,,124,335,2,261,722,0,4,726,0
15,Kendrapara ,102,Kendrapara,12,,,,,,,,122,433,3,285,843,0,2,845,0
15,Kendrapara ,102,Kendrapara,13,,,,,,,,109,384,4,132,629,0,5,634,0
15,Kendrapara ,102,Kendrapara,14,,,,,,,,118,443,2,262,825,0,6,831,0
15,Kendrapara ,102,Kendrapara,15,,,,,,,,81,317,4,174,576,0,1,577,0
15,Kendrapara ,102,Kendrapara,16,,,,,,,,121,260,4,210,595,0,4,599,0
15,Kendrapara ,102,Kendrapara,17,,,,,,,,40,217,2,144,403,0,3,406,0
15,Kendrapara ,102,Kendrapara,18,,,,,,,,164,528,3,219,914,0,4,918,0
15,Kendrapara ,102,Kendrapara,19,,,,,,,,63,442,2,243,750,0,2,752,0
15,Kendrapara ,102,Kendrapara,20,,,,,,,,171,553,5,222,951,0,4,955,0
15,Kendrapara ,102,Kendrapara,21,,,,,,,,310,429,7,210,956,0,4,960,0
15,Kendrapara ,102,Kendrapara,22,,,,,,,,94,289,2,162,547,0,1,548,0
15,Kendrapara ,102,Kendrapara,23,,,,,,,,110,331,2,233,676,0,6,682,0
15,Kendrapara ,102,Kendrapara,24,,,,,,,,172,266,2,131,571,0,0,571,0
15,Kendrapara ,102,Kendrapara,25,,,,,,,,86,367,4,125,582,0,6,588,0
15,Kendrapara ,102,Kendrapara,26,,,,,,,,125,275,0,90,490,0,1,491,0
15,Kendrapara ,102,Kendrapara,27,,,,,,,,43,255,0,136,434,0,2,436,0
15,Kendrapara ,102,Kendrapara,28,,,,,,,,120,301,3,168,592,0,4,596,0
15,Kendrapara ,102,Kendrapara,29,,,,,,,,151,457,2,207,817,0,6,823,0
15,Kendrapara ,102,Kendrapara,30,,,,,,,,74,455,1,178,708,0,3,711,0
15,Kendrapara ,102,Kendrapara,31,,,,,,,,55,223,5,103,386,0,0,386,0
15,Kendrapara ,102,Kendrapara,32,,,,,,,,36,169,0,88,293,0,1,294,0
15,Kendrapara ,102,Kendrapara,33,,,,,,,,10,337,3,186,536,0,5,541,0
