pc_id,pc_name,ac_id,ac_name,S.No.,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Total of Valid Votes,No. of Rejected Votes (Test Votes),Votes for NOTA Option,Total,Total No. of Tender Votes
15,Kendrapara ,103,Aul,1,,,,,,,,84,2,375,252,0,0,0,0,1,714,0,3,717,0
15,Kendrapara ,103,Aul,2,,,,,,,,105,0,373,210,0,1,0,0,2,691,0,0,691,0
15,Kendrapara ,103,Aul,3,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Kendrapara ,103,Aul,4,,,,,,,,45,0,356,102,1,0,0,0,1,505,0,2,507,0
15,Kendrapara ,103,Aul,5,,,,,,,,97,0,351,172,0,0,0,0,0,620,0,0,620,0
15,Kendrapara ,103,Aul,6,,,,,,,,112,0,373,238,1,0,0,1,1,726,0,4,730,0
15,Kendrapara ,103,Aul,7,,,,,,,,65,0,204,102,0,0,0,0,0,371,0,1,372,0
15,Kendrapara ,103,Aul,8,,,,,,,,81,1,226,162,1,0,0,0,0,471,0,0,471,0
15,Kendrapara ,103,Aul,9,,,,,,,,113,1,336,202,2,2,0,1,0,657,0,2,659,0
15,Kendrapara ,103,Aul,10,,,,,,,,134,3,410,218,1,0,2,1,0,769,0,3,772,0
15,Kendrapara ,103,Aul,11,,,,,,,,77,1,624,269,4,0,1,1,0,977,0,3,980,0
15,Kendrapara ,103,Aul,12,,,,,,,,80,0,275,215,0,0,1,1,1,573,0,0,573,0
15,Kendrapara ,103,Aul,13,,,,,,,,59,3,260,142,1,0,0,0,0,465,0,2,467,0
15,Kendrapara ,103,Aul,14,,,,,,,,181,6,537,167,4,0,2,1,2,900,0,2,902,0
15,Kendrapara ,103,Aul,15,,,,,,,,131,3,435,280,3,1,0,1,2,856,0,1,857,0
15,Kendrapara ,103,Aul,16,,,,,,,,62,1,271,92,0,0,0,0,0,426,0,3,429,0
15,Kendrapara ,103,Aul,17,,,,,,,,31,0,221,207,0,0,0,1,1,461,0,0,461,0
15,Kendrapara ,103,Aul,18,,,,,,,,147,0,285,188,2,0,0,3,0,625,0,3,628,0
15,Kendrapara ,103,Aul,19,,,,,,,,74,1,202,84,0,0,0,0,0,361,0,1,362,0
15,Kendrapara ,103,Aul,20,,,,,,,,161,1,326,177,1,0,2,0,1,669,0,2,671,0
15,Kendrapara ,103,Aul,21,,,,,,,,263,2,404,87,0,1,0,1,0,758,0,2,760,0
15,Kendrapara ,103,Aul,22,,,,,,,,85,0,129,10,1,0,0,0,0,225,0,0,225,0
15,Kendrapara ,103,Aul,23,,,,,,,,97,1,290,169,0,0,0,0,0,557,0,0,557,0
15,Kendrapara ,103,Aul,24,,,,,,,,62,1,292,183,0,1,0,0,0,539,0,1,540,0
15,Kendrapara ,103,Aul,25,,,,,,,,120,1,484,243,1,3,0,0,0,852,0,1,853,0
15,Kendrapara ,103,Aul,26,,,,,,,,50,1,297,261,0,0,0,0,1,610,0,2,612,0
15,Kendrapara ,103,Aul,27,,,,,,,,71,0,239,160,0,0,1,0,0,471,0,0,471,0
15,Kendrapara ,103,Aul,28,,,,,,,,164,4,344,267,0,0,0,4,2,785,0,5,790,0
15,Kendrapara ,103,Aul,29,,,,,,,,221,2,436,222,0,1,0,8,0,890,0,1,891,0
15,Kendrapara ,103,Aul,30,,,,,,,,231,1,354,200,2,0,3,1,2,794,0,5,799,0
15,Kendrapara ,103,Aul,31,,,,,,,,62,1,137,81,1,0,1,0,0,283,0,1,284,0
15,Kendrapara ,103,Aul,32,,,,,,,,169,0,262,53,0,0,0,1,0,485,0,1,486,0
15,Kendrapara ,103,Aul,33,,,,,,,,130,0,473,194,0,0,1,1,0,799,0,2,801,0
15,Kendrapara ,103,Aul,34,,,,,,,,124,2,197,206,0,0,0,0,1,530,0,0,530,0
15,Kendrapara ,103,Aul,35,,,,,,,,138,2,199,103,0,1,0,1,0,444,0,1,445,0
15,Kendrapara ,103,Aul,36,,,,,,,,155,1,179,63,0,0,0,0,0,398,0,4,402,0
15,Kendrapara ,103,Aul,37,,,,,,,,97,1,195,113,0,0,0,0,1,407,0,1,408,0
15,Kendrapara ,103,Aul,38,,,,,,,,282,2,412,132,0,1,0,0,1,830,0,4,834,0
15,Kendrapara ,103,Aul,39,,,,,,,,246,3,374,79,0,2,1,1,5,711,0,6,717,0
15,Kendrapara ,103,Aul,40,,,,,,,,141,0,390,208,0,0,1,0,0,740,0,0,740,0
15,Kendrapara ,103,Aul,41,,,,,,,,39,0,127,132,1,0,0,1,0,300,0,0,300,0
15,Kendrapara ,103,Aul,42,,,,,,,,114,3,155,74,1,0,0,0,1,348,0,2,350,0
15,Kendrapara ,103,Aul,43,,,,,,,,43,0,138,84,0,0,0,0,1,266,0,1,267,0
15,Kendrapara ,103,Aul,44,,,,,,,,171,2,368,371,1,0,2,1,3,919,0,2,921,0
15,Kendrapara ,103,Aul,45,,,,,,,,63,0,129,147,1,0,0,0,0,340,0,4,344,0
15,Kendrapara ,103,Aul,46,,,,,,,,338,2,409,90,1,3,0,0,3,846,0,1,847,0
15,Kendrapara ,103,Aul,47,,,,,,,,111,0,216,86,0,0,0,0,0,413,0,0,413,0
15,Kendrapara ,103,Aul,48,,,,,,,,256,1,367,199,3,1,1,0,0,828,0,3,831,0
15,Kendrapara ,103,Aul,49,,,,,,,,271,10,440,149,2,0,2,0,6,880,0,3,883,0
15,Kendrapara ,103,Aul,50,,,,,,,,110,1,173,45,0,3,1,0,0,333,0,0,333,0
15,Kendrapara ,103,Aul,51,,,,,,,,208,3,438,167,2,2,1,2,2,825,0,4,829,0
15,Kendrapara ,103,Aul,52,,,,,,,,45,0,176,73,0,0,0,0,0,294,0,1,295,0
15,Kendrapara ,103,Aul,53,,,,,,,,113,2,417,190,2,0,0,0,1,725,0,1,726,0
