pc_id,pc_name,ac_id,ac_name,Sl. No. Of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Total of Valid Votes,No. of Rejected Votes (Test Votes),Votes for NOTA Option,Total,Total No. of Tender Votes
15,Kendrapara ,104,Rajanagar,1,,,,,,,,210,1,328,67,0,0,0,606,0,0,606,0
15,Kendrapara ,104,Rajanagar,2,,,,,,,,277,1,413,63,0,1,0,755,0,1,756,0
15,Kendrapara ,104,Rajanagar,3,,,,,,,,304,3,314,92,1,0,0,714,0,4,718,0
15,Kendrapara ,104,Rajanagar,4,,,,,,,,214,3,242,37,0,0,0,496,0,1,497,0
15,Kendrapara ,104,Rajanagar,5,,,,,,,,152,3,423,265,0,2,4,849,0,11,860,0
15,Kendrapara ,104,Rajanagar,6,,,,,,,,208,7,493,207,0,0,1,916,0,3,919,0
15,Kendrapara ,104,Rajanagar,7,,,,,,,,219,4,399,135,1,2,0,760,0,5,765,0
15,Kendrapara ,104,Rajanagar,8,,,,,,,,275,3,386,105,1,1,0,771,0,4,775,0
15,Kendrapara ,104,Rajanagar,9,,,,,,,,314,1,516,130,0,1,0,962,0,9,971,0
15,Kendrapara ,104,Rajanagar,10,,,,,,,,293,5,482,121,4,1,0,906,0,1,907,0
15,Kendrapara ,104,Rajanagar,11,,,,,,,,321,1,374,121,0,0,0,817,0,1,818,0
15,Kendrapara ,104,Rajanagar,12,,,,,,,,217,1,259,129,3,1,1,611,0,8,619,0
15,Kendrapara ,104,Rajanagar,13,,,,,,,,166,3,311,176,2,0,0,658,0,3,661,0
15,Kendrapara ,104,Rajanagar,14,,,,,,,,347,9,345,128,2,1,1,833,0,2,835,0
15,Kendrapara ,104,Rajanagar,15,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
15,Kendrapara ,104,Rajanagar,16,,,,,,,,255,2,294,104,0,0,0,655,0,1,656,0
15,Kendrapara ,104,Rajanagar,17,,,,,,,,332,5,341,114,1,2,2,797,0,4,801,0
15,Kendrapara ,104,Rajanagar,18,,,,,,,,311,0,465,113,0,1,1,891,0,1,892,0
15,Kendrapara ,104,Rajanagar,19,,,,,,,,347,1,409,45,0,2,0,804,0,0,804,0
15,Kendrapara ,104,Rajanagar,20,,,,,,,,140,0,179,26,0,0,0,345,0,0,345,0
15,Kendrapara ,104,Rajanagar,21,,,,,,,,365,4,329,83,0,0,0,781,0,0,781,0
15,Kendrapara ,104,Rajanagar,22,,,,,,,,80,1,194,27,1,0,0,303,0,0,303,0
15,Kendrapara ,104,Rajanagar,23,,,,,,,,527,3,302,113,1,0,0,946,0,1,947,0
15,Kendrapara ,104,Rajanagar,24,,,,,,,,355,3,297,83,0,2,3,743,0,0,743,0
15,Kendrapara ,104,Rajanagar,25,,,,,,,,275,4,271,90,1,0,0,641,0,1,642,0
15,Kendrapara ,104,Rajanagar,26,,,,,,,,199,1,343,115,0,3,1,662,0,2,664,0
15,Kendrapara ,104,Rajanagar,27,,,,,,,,293,3,383,150,0,0,3,832,0,1,833,0
15,Kendrapara ,104,Rajanagar,28,,,,,,,,309,2,414,79,1,2,1,808,0,5,813,0
15,Kendrapara ,104,Rajanagar,29,,,,,,,,296,1,246,99,1,2,0,645,0,2,647,0
15,Kendrapara ,104,Rajanagar,30,,,,,,,,157,1,250,136,1,0,2,547,0,4,551,0
15,Kendrapara ,104,Rajanagar,31,,,,,,,,169,0,296,155,0,2,0,622,0,2,624,0
15,Kendrapara ,104,Rajanagar,32,,,,,,,,284,4,380,47,2,1,2,720,0,6,726,0
15,Kendrapara ,104,Rajanagar,33,,,,,,,,297,4,216,110,0,0,0,627,0,0,627,0
15,Kendrapara ,104,Rajanagar,34,,,,,,,,252,4,476,161,1,0,2,896,0,3,899,0
15,Kendrapara ,104,Rajanagar,35,,,,,,,,245,2,469,175,1,1,1,894,0,11,905,0
15,Kendrapara ,104,Rajanagar,36,,,,,,,,174,3,356,87,3,2,5,630,0,9,639,0
