pc_id,pc_name,ac_id,ac_name,Sl. No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Total of valid votes,No. of Rejected votes,NOTA,Total,No. of tendered votes
16,Jagatsinghpur,106,Niali,1,,,,,,,,118,284,11,453,5,1,1,873,0,3,876,0
16,Jagatsinghpur,106,Niali,2,,,,,,,,51,352,7,388,4,0,2,804,0,1,805,0
16,Jagatsinghpur,106,Niali,3,,,,,,,,27,280,0,377,5,2,1,692,0,0,692,0
16,Jagatsinghpur,106,Niali,4,,,,,,,,76,184,6,285,1,0,1,553,0,0,553,0
16,Jagatsinghpur,106,Niali,5,,,,,,,,68,112,1,369,1,1,1,553,0,7,560,0
16,Jagatsinghpur,106,Niali,6,,,,,,,,75,181,0,288,0,0,0,544,0,1,545,0
16,Jagatsinghpur,106,Niali,7,,,,,,,,133,195,0,383,1,0,0,712,0,0,712,0
16,Jagatsinghpur,106,Niali,8,,,,,,,,90,210,4,407,3,0,3,717,0,2,719,0
16,Jagatsinghpur,106,Niali,9,,,,,,,,157,160,4,349,2,0,1,673,0,3,676,0
16,Jagatsinghpur,106,Niali,10,,,,,,,,158,85,3,380,2,0,2,630,0,0,630,0
16,Jagatsinghpur,106,Niali,11,,,,,,,,59,146,8,326,0,5,0,544,0,1,545,0
16,Jagatsinghpur,106,Niali,12,,,,,,,,140,195,5,305,2,0,5,652,0,6,658,0
16,Jagatsinghpur,106,Niali,13,,,,,,,,55,213,3,357,2,1,2,633,0,0,633,0
16,Jagatsinghpur,106,Niali,14,,,,,,,,142,130,0,287,0,0,0,559,0,1,560,0
16,Jagatsinghpur,106,Niali,15,,,,,,,,221,144,4,566,2,1,1,939,0,2,941,0
16,Jagatsinghpur,106,Niali,16,,,,,,,,116,164,3,422,1,0,0,706,0,2,708,0
16,Jagatsinghpur,106,Niali,17,,,,,,,,34,204,2,226,1,0,0,467,0,1,468,0
16,Jagatsinghpur,106,Niali,18,,,,,,,,87,231,3,324,1,1,2,649,0,3,652,0
16,Jagatsinghpur,106,Niali,19,,,,,,,,72,203,3,391,2,0,1,672,0,4,676,0
16,Jagatsinghpur,106,Niali,20,,,,,,,,61,172,2,228,1,2,3,469,0,1,470,0
16,Jagatsinghpur,106,Niali,21,,,,,,,,244,219,3,450,10,3,6,935,0,9,944,0
16,Jagatsinghpur,106,Niali,22,,,,,,,,216,142,2,291,1,0,2,654,0,2,656,0
16,Jagatsinghpur,106,Niali,23,,,,,,,,267,203,2,392,2,0,1,867,0,2,869,0
16,Jagatsinghpur,106,Niali,24,,,,,,,,227,161,2,351,1,0,0,742,0,4,746,0
16,Jagatsinghpur,106,Niali,25,,,,,,,,282,208,5,493,3,3,3,997,0,5,1002,0
16,Jagatsinghpur,106,Niali,26,,,,,,,,103,422,4,408,5,1,2,945,0,5,950,0
16,Jagatsinghpur,106,Niali,27,,,,,,,,61,287,3,348,2,1,1,703,0,2,705,0
16,Jagatsinghpur,106,Niali,28,,,,,,,,220,167,2,350,1,1,1,742,0,2,744,0
16,Jagatsinghpur,106,Niali,29,,,,,,,,194,365,1,525,1,2,1,1089,0,6,1095,0
16,Jagatsinghpur,106,Niali,30,,,,,,,,84,394,3,439,0,2,2,924,0,3,927,0
16,Jagatsinghpur,106,Niali,31,,,,,,,,15,197,3,243,1,1,0,460,0,3,463,0
16,Jagatsinghpur,106,Niali,32,,,,,,,,40,358,6,242,3,0,3,652,0,1,653,0
16,Jagatsinghpur,106,Niali,33,,,,,,,,19,158,1,172,0,1,1,352,0,0,352,0
16,Jagatsinghpur,106,Niali,34,,,,,,,,35,152,1,147,0,1,0,336,0,1,337,0
16,Jagatsinghpur,106,Niali,35,,,,,,,,162,156,5,681,3,1,3,1011,0,6,1017,0
16,Jagatsinghpur,106,Niali,36,,,,,,,,57,391,2,390,4,1,2,847,0,1,848,0
16,Jagatsinghpur,106,Niali,37,,,,,,,,28,319,0,336,1,1,1,686,0,2,688,0
16,Jagatsinghpur,106,Niali,38,,,,,,,,61,457,4,499,5,3,8,1037,0,9,1046,0
16,Jagatsinghpur,106,Niali,39,,,,,,,,58,418,3,619,1,2,1,1102,0,1,1103,0
16,Jagatsinghpur,106,Niali,40,,,,,,,,14,243,0,235,0,1,0,493,0,1,494,0
16,Jagatsinghpur,106,Niali,41,,,,,,,,324,246,3,462,1,0,1,1037,0,1,1038,0
16,Jagatsinghpur,106,Niali,42,,,,,,,,35,226,0,456,1,5,1,724,0,3,727,0
16,Jagatsinghpur,106,Niali,43,,,,,,,,65,135,1,166,0,0,0,367,0,1,368,0
16,Jagatsinghpur,106,Niali,44,,,,,,,,131,324,3,446,3,0,3,910,0,3,913,0
16,Jagatsinghpur,106,Niali,45,,,,,,,,10,148,1,220,0,0,0,379,0,0,379,0
16,Jagatsinghpur,106,Niali,46,,,,,,,,40,312,2,467,1,1,4,827,0,3,830,0
16,Jagatsinghpur,106,Niali,47,,,,,,,,38,155,0,190,1,0,0,384,0,1,385,0
16,Jagatsinghpur,106,Niali,48,,,,,,,,214,220,2,475,6,4,7,928,0,5,933,0
16,Jagatsinghpur,106,Niali,49,,,,,,,,99,169,1,379,0,0,0,648,0,1,649,0
16,Jagatsinghpur,106,Niali,50,,,,,,,,149,169,3,266,1,0,1,589,0,1,590,0
16,Jagatsinghpur,106,Niali,51,,,,,,,,63,181,2,302,0,1,0,549,0,1,550,0
16,Jagatsinghpur,106,Niali,52,,,,,,,,118,199,3,369,0,1,1,691,0,1,692,0
16,Jagatsinghpur,106,Niali,53,,,,,,,,136,419,1,478,0,2,1,1037,0,3,1040,0
16,Jagatsinghpur,106,Niali,54,,,,,,,,196,144,2,325,0,1,2,670,0,3,673,0
16,Jagatsinghpur,106,Niali,55,,,,,,,,219,204,5,496,5,3,3,935,0,5,940,0
16,Jagatsinghpur,106,Niali,56,,,,,,,,56,77,0,202,0,0,0,335,0,0,335,0
16,Jagatsinghpur,106,Niali,57,,,,,,,,29,166,0,291,0,1,1,488,0,0,488,0
16,Jagatsinghpur,106,Niali,58,,,,,,,,277,282,0,424,1,0,0,984,0,2,986,0
16,Jagatsinghpur,106,Niali,59,,,,,,,,49,86,0,125,1,0,0,261,0,1,262,0
16,Jagatsinghpur,106,Niali,60,,,,,,,,83,120,2,228,2,2,0,437,0,1,438,0
16,Jagatsinghpur,106,Niali,61,,,,,,,,121,138,0,214,0,1,4,478,0,4,482,0
16,Jagatsinghpur,106,Niali,62,,,,,,,,32,211,4,361,0,0,1,609,0,6,615,0
16,Jagatsinghpur,106,Niali,63,,,,,,,,50,343,0,419,0,0,0,812,0,0,812,0
16,Jagatsinghpur,106,Niali,64,,,,,,,,33,174,0,156,2,1,0,366,0,0,366,0
16,Jagatsinghpur,106,Niali,65,,,,,,,,189,339,5,518,2,4,2,1059,0,3,1062,0
16,Jagatsinghpur,106,Niali,66,,,,,,,,171,274,9,490,2,0,1,947,0,14,961,0
16,Jagatsinghpur,106,Niali,67,,,,,,,,131,242,9,305,1,0,4,692,0,1,693,0
16,Jagatsinghpur,106,Niali,68,,,,,,,,43,307,3,313,0,0,0,666,0,0,666,0
16,Jagatsinghpur,106,Niali,69,,,,,,,,42,323,1,255,0,4,1,626,0,1,627,0
16,Jagatsinghpur,106,Niali,70,,,,,,,,30,149,1,199,2,1,0,382,0,0,382,0
16,Jagatsinghpur,106,Niali,71,,,,,,,,18,223,4,266,0,2,2,515,0,1,516,0
16,Jagatsinghpur,106,Niali,72,,,,,,,,63,266,2,308,0,0,1,640,0,2,642,0
16,Jagatsinghpur,106,Niali,73,,,,,,,,93,446,6,402,1,2,1,951,0,2,953,0
16,Jagatsinghpur,106,Niali,74,,,,,,,,24,213,2,207,1,0,0,447,0,2,449,0
16,Jagatsinghpur,106,Niali,75,,,,,,,,246,116,3,358,1,0,3,727,0,2,729,0
16,Jagatsinghpur,106,Niali,76,,,,,,,,83,133,0,288,3,0,0,507,0,2,509,0
16,Jagatsinghpur,106,Niali,77,,,,,,,,144,246,2,331,1,2,1,727,0,1,728,0
16,Jagatsinghpur,106,Niali,78,,,,,,,,138,140,3,215,1,1,1,499,0,0,499,0
16,Jagatsinghpur,106,Niali,79,,,,,,,,33,197,1,262,1,0,0,494,0,2,496,0
16,Jagatsinghpur,106,Niali,80,,,,,,,,60,154,1,184,0,1,1,401,0,0,401,0
16,Jagatsinghpur,106,Niali,81,,,,,,,,141,300,3,384,2,2,0,832,0,3,835,0
16,Jagatsinghpur,106,Niali,82,,,,,,,,139,89,2,195,0,0,3,428,0,1,429,0
16,Jagatsinghpur,106,Niali,83,,,,,,,,132,323,3,430,1,1,27,917,0,5,922,0
16,Jagatsinghpur,106,Niali,84,,,,,,,,49,293,3,301,1,1,1,649,0,0,649,0
16,Jagatsinghpur,106,Niali,85,,,,,,,,91,219,3,336,1,1,1,652,0,1,653,0
16,Jagatsinghpur,106,Niali,86,,,,,,,,175,170,2,265,2,0,4,618,0,0,618,0
16,Jagatsinghpur,106,Niali,87,,,,,,,,32,445,2,428,1,0,1,909,0,3,912,0
16,Jagatsinghpur,106,Niali,88,,,,,,,,14,352,2,461,1,0,2,832,0,1,833,0
16,Jagatsinghpur,106,Niali,89,,,,,,,,11,214,1,316,1,0,0,543,0,0,543,0
16,Jagatsinghpur,106,Niali,90,,,,,,,,20,146,1,234,0,0,2,403,0,2,405,0
16,Jagatsinghpur,106,Niali,91,,,,,,,,22,173,0,287,2,2,1,487,0,7,494,0
16,Jagatsinghpur,106,Niali,92,,,,,,,,65,231,6,400,2,1,1,706,0,3,709,0
16,Jagatsinghpur,106,Niali,93,,,,,,,,33,199,4,367,3,0,0,606,0,2,608,0
16,Jagatsinghpur,106,Niali,94,,,,,,,,56,240,2,223,1,1,1,524,0,1,525,0
16,Jagatsinghpur,106,Niali,95,,,,,,,,116,169,2,190,0,0,0,477,0,3,480,0
16,Jagatsinghpur,106,Niali,96,,,,,,,,76,293,2,320,0,0,0,691,0,0,691,0
16,Jagatsinghpur,106,Niali,97,,,,,,,,36,364,0,287,0,0,0,687,0,1,688,0
16,Jagatsinghpur,106,Niali,98,,,,,,,,48,194,2,418,1,1,3,667,0,5,672,0
16,Jagatsinghpur,106,Niali,99,,,,,,,,34,138,1,206,2,1,0,382,0,3,385,0
16,Jagatsinghpur,106,Niali,100,,,,,,,,58,389,1,469,2,0,2,921,0,2,923,0
16,Jagatsinghpur,106,Niali,101,,,,,,,,55,246,1,111,1,1,0,415,0,0,415,0
16,Jagatsinghpur,106,Niali,102,,,,,,,,44,149,0,205,0,0,1,399,0,1,400,0
16,Jagatsinghpur,106,Niali,103,,,,,,,,75,260,6,434,4,3,0,782,0,2,784,0
16,Jagatsinghpur,106,Niali,104,,,,,,,,137,227,0,231,2,0,0,597,0,2,599,0
16,Jagatsinghpur,106,Niali,105,,,,,,,,15,203,1,482,1,2,1,705,0,2,707,0
16,Jagatsinghpur,106,Niali,106,,,,,,,,101,173,1,130,2,0,0,407,0,2,409,0
16,Jagatsinghpur,106,Niali,107,,,,,,,,187,21,0,100,0,0,0,308,0,0,308,0
16,Jagatsinghpur,106,Niali,108,,,,,,,,152,146,0,127,0,0,0,425,0,1,426,0
16,Jagatsinghpur,106,Niali,109,,,,,,,,111,164,1,358,1,0,1,636,0,1,637,0
16,Jagatsinghpur,106,Niali,110,,,,,,,,243,48,1,287,0,0,0,579,0,0,579,0
16,Jagatsinghpur,106,Niali,111,,,,,,,,228,28,1,272,0,1,2,532,0,2,534,0
16,Jagatsinghpur,106,Niali,112,,,,,,,,76,252,1,308,0,2,2,641,0,1,642,0
16,Jagatsinghpur,106,Niali,113,,,,,,,,178,37,0,271,0,0,0,486,0,0,486,0
16,Jagatsinghpur,106,Niali,114,,,,,,,,399,69,1,315,0,0,2,786,0,3,789,0
16,Jagatsinghpur,106,Niali,115,,,,,,,,82,207,0,269,2,0,2,562,0,1,563,0
16,Jagatsinghpur,106,Niali,116,,,,,,,,59,293,1,400,0,1,2,756,0,1,757,0
16,Jagatsinghpur,106,Niali,117,,,,,,,,179,261,4,349,3,1,1,798,0,18,816,0
16,Jagatsinghpur,106,Niali,118,,,,,,,,92,182,1,299,4,1,1,580,0,8,588,0
16,Jagatsinghpur,106,Niali,119,,,,,,,,88,182,2,487,4,0,1,764,0,3,767,0
16,Jagatsinghpur,106,Niali,120,,,,,,,,236,141,1,598,5,0,0,981,0,0,981,0
16,Jagatsinghpur,106,Niali,121,,,,,,,,17,61,0,263,1,0,0,342,0,3,345,0
16,Jagatsinghpur,106,Niali,122,,,,,,,,176,100,6,288,4,2,2,578,0,6,584,0
16,Jagatsinghpur,106,Niali,123,,,,,,,,69,404,1,407,2,0,1,884,0,2,886,0
16,Jagatsinghpur,106,Niali,124,,,,,,,,159,109,1,250,0,0,0,519,0,1,520,0
16,Jagatsinghpur,106,Niali,125,,,,,,,,231,42,1,200,0,1,2,477,0,3,480,0
16,Jagatsinghpur,106,Niali,126,,,,,,,,159,106,2,235,0,1,0,503,0,5,508,0
16,Jagatsinghpur,106,Niali,127,,,,,,,,275,171,2,364,1,0,0,813,0,0,813,0
16,Jagatsinghpur,106,Niali,128,,,,,,,,109,102,0,349,1,8,0,569,0,0,569,0
16,Jagatsinghpur,106,Niali,129,,,,,,,,229,129,0,245,0,1,1,605,0,1,606,0
16,Jagatsinghpur,106,Niali,130,,,,,,,,87,82,0,172,1,1,0,343,0,0,343,0
16,Jagatsinghpur,106,Niali,131,,,,,,,,255,144,3,469,0,0,0,871,0,2,873,0
16,Jagatsinghpur,106,Niali,132,,,,,,,,116,291,1,359,3,0,3,773,0,16,789,0
16,Jagatsinghpur,106,Niali,133,,,,,,,,50,125,1,173,1,1,0,351,0,0,351,0
16,Jagatsinghpur,106,Niali,134,,,,,,,,207,94,1,173,2,2,0,479,0,1,480,0
16,Jagatsinghpur,106,Niali,135,,,,,,,,365,126,3,455,2,0,4,955,0,7,962,0
16,Jagatsinghpur,106,Niali,136,,,,,,,,180,196,1,381,1,1,4,764,0,2,766,0
16,Jagatsinghpur,106,Niali,137,,,,,,,,62,214,3,251,2,0,2,534,0,0,534,0
16,Jagatsinghpur,106,Niali,138,,,,,,,,168,124,4,513,1,1,0,811,0,3,814,0
16,Jagatsinghpur,106,Niali,139,,,,,,,,150,211,2,374,1,1,1,740,0,3,743,0
16,Jagatsinghpur,106,Niali,140,,,,,,,,114,210,2,203,0,0,0,529,0,2,531,0
16,Jagatsinghpur,106,Niali,141,,,,,,,,186,147,1,280,0,2,0,616,0,2,618,0
16,Jagatsinghpur,106,Niali,142,,,,,,,,166,132,3,322,0,0,2,625,0,2,627,0
16,Jagatsinghpur,106,Niali,143,,,,,,,,124,39,0,262,1,0,0,426,0,0,426,0
16,Jagatsinghpur,106,Niali,144,,,,,,,,192,53,0,218,1,0,0,464,0,1,465,0
16,Jagatsinghpur,106,Niali,145,,,,,,,,95,168,2,297,0,0,0,562,0,0,562,0
16,Jagatsinghpur,106,Niali,146,,,,,,,,162,181,2,253,0,1,0,599,0,2,601,0
16,Jagatsinghpur,106,Niali,147,,,,,,,,77,122,3,257,1,1,1,462,0,0,462,0
16,Jagatsinghpur,106,Niali,148,,,,,,,,69,196,2,368,0,0,0,635,0,3,638,0
16,Jagatsinghpur,106,Niali,149,,,,,,,,104,334,2,301,0,3,2,746,0,1,747,0
16,Jagatsinghpur,106,Niali,150,,,,,,,,113,227,0,271,3,0,2,616,0,3,619,0
16,Jagatsinghpur,106,Niali,151,,,,,,,,24,96,0,147,1,0,0,268,0,0,268,0
16,Jagatsinghpur,106,Niali,152,,,,,,,,127,98,3,157,1,0,0,386,0,0,386,0
16,Jagatsinghpur,106,Niali,153,,,,,,,,185,210,1,262,1,0,1,660,0,6,666,0
16,Jagatsinghpur,106,Niali,154,,,,,,,,134,287,3,405,4,0,1,834,0,5,839,0
16,Jagatsinghpur,106,Niali,155,,,,,,,,240,126,0,226,1,0,2,595,0,0,595,0
16,Jagatsinghpur,106,Niali,156,,,,,,,,112,116,0,82,0,1,0,311,0,0,311,0
16,Jagatsinghpur,106,Niali,157,,,,,,,,236,145,0,179,0,1,0,561,0,1,562,0
16,Jagatsinghpur,106,Niali,158,,,,,,,,206,147,1,286,0,1,3,644,0,6,650,0
16,Jagatsinghpur,106,Niali,159,,,,,,,,37,251,2,365,2,0,0,657,0,1,658,0
16,Jagatsinghpur,106,Niali,160,,,,,,,,43,208,2,229,1,0,1,484,0,2,486,0
16,Jagatsinghpur,106,Niali,161,,,,,,,,30,407,3,510,2,0,4,956,0,4,960,0
16,Jagatsinghpur,106,Niali,162,,,,,,,,102,382,9,431,3,1,6,934,0,3,937,0
16,Jagatsinghpur,106,Niali,163,,,,,,,,45,274,2,465,1,0,3,790,0,1,791,0
16,Jagatsinghpur,106,Niali,164,,,,,,,,77,332,2,520,2,1,1,935,0,4,939,0
16,Jagatsinghpur,106,Niali,165,,,,,,,,79,145,1,229,0,0,1,455,0,0,455,0
16,Jagatsinghpur,106,Niali,166,,,,,,,,123,296,1,347,1,1,1,770,0,1,771,0
16,Jagatsinghpur,106,Niali,167,,,,,,,,47,184,0,217,0,1,1,450,0,1,451,0
16,Jagatsinghpur,106,Niali,168,,,,,,,,111,379,2,391,1,2,2,888,0,2,890,0
16,Jagatsinghpur,106,Niali,169,,,,,,,,95,220,1,184,1,0,0,501,0,5,506,0
16,Jagatsinghpur,106,Niali,170,,,,,,,,137,368,0,248,3,1,4,761,0,2,763,0
16,Jagatsinghpur,106,Niali,171,,,,,,,,53,112,0,128,0,0,0,293,0,0,293,0
16,Jagatsinghpur,106,Niali,172,,,,,,,,203,194,3,342,3,3,4,752,0,9,761,0
16,Jagatsinghpur,106,Niali,173,,,,,,,,224,281,2,332,1,2,0,842,0,1,843,0
16,Jagatsinghpur,106,Niali,174,,,,,,,,121,436,2,277,2,0,7,845,0,9,854,0
16,Jagatsinghpur,106,Niali,175,,,,,,,,51,445,2,399,1,0,5,903,0,12,915,0
16,Jagatsinghpur,106,Niali,176,,,,,,,,50,370,1,327,0,0,0,748,0,2,750,0
16,Jagatsinghpur,106,Niali,177,,,,,,,,93,336,5,343,1,0,3,781,0,2,783,0
16,Jagatsinghpur,106,Niali,178,,,,,,,,101,438,1,424,2,0,0,966,0,0,966,0
16,Jagatsinghpur,106,Niali,179,,,,,,,,225,184,1,302,0,1,2,715,0,4,719,0
16,Jagatsinghpur,106,Niali,180,,,,,,,,167,162,3,171,1,0,1,505,0,3,508,0
16,Jagatsinghpur,106,Niali,181,,,,,,,,39,129,13,108,1,1,0,291,0,2,293,0
16,Jagatsinghpur,106,Niali,182,,,,,,,,77,284,2,235,1,2,2,603,0,5,608,0
16,Jagatsinghpur,106,Niali,183,,,,,,,,44,180,0,108,0,0,0,332,0,1,333,0
16,Jagatsinghpur,106,Niali,184,,,,,,,,68,289,8,504,2,1,0,872,0,1,873,0
16,Jagatsinghpur,106,Niali,185,,,,,,,,44,383,5,313,3,1,3,752,0,4,756,0
16,Jagatsinghpur,106,Niali,186,,,,,,,,37,438,5,524,1,1,3,1009,0,2,1011,0
16,Jagatsinghpur,106,Niali,187,,,,,,,,24,159,5,280,3,0,2,473,0,7,480,0
16,Jagatsinghpur,106,Niali,188,,,,,,,,98,362,5,501,5,1,2,974,0,5,979,0
16,Jagatsinghpur,106,Niali,189,,,,,,,,206,145,0,350,3,0,0,704,0,1,705,0
16,Jagatsinghpur,106,Niali,190,,,,,,,,220,178,1,419,1,1,4,824,0,2,826,0
16,Jagatsinghpur,106,Niali,191,,,,,,,,120,309,21,525,2,2,0,979,0,4,983,0
16,Jagatsinghpur,106,Niali,192,,,,,,,,49,249,4,504,1,0,0,807,0,3,810,0
16,Jagatsinghpur,106,Niali,193,,,,,,,,34,194,0,188,1,0,0,417,0,0,417,0
16,Jagatsinghpur,106,Niali,194,,,,,,,,215,254,1,370,4,4,2,850,0,2,852,0
16,Jagatsinghpur,106,Niali,195,,,,,,,,205,138,1,354,3,0,3,704,0,5,709,0
16,Jagatsinghpur,106,Niali,196,,,,,,,,58,143,1,144,0,0,1,347,0,0,347,0
16,Jagatsinghpur,106,Niali,197,,,,,,,,181,109,1,410,2,0,0,703,0,0,703,0
16,Jagatsinghpur,106,Niali,198,,,,,,,,129,39,1,304,0,1,0,474,0,2,476,0
16,Jagatsinghpur,106,Niali,199,,,,,,,,163,272,1,351,2,3,4,796,0,7,803,0
16,Jagatsinghpur,106,Niali,200,,,,,,,,213,88,0,380,1,0,1,683,0,2,685,0
16,Jagatsinghpur,106,Niali,201,,,,,,,,133,75,2,347,1,2,1,561,0,3,564,0
16,Jagatsinghpur,106,Niali,202,,,,,,,,63,223,3,631,0,1,3,924,0,2,926,0
16,Jagatsinghpur,106,Niali,203,,,,,,,,60,111,0,202,1,0,0,374,0,0,374,0
16,Jagatsinghpur,106,Niali,204,,,,,,,,209,222,4,591,2,2,2,1032,0,13,1045,0
16,Jagatsinghpur,106,Niali,205,,,,,,,,37,245,5,415,2,4,1,709,0,1,710,0
16,Jagatsinghpur,106,Niali,206,,,,,,,,66,277,1,504,2,0,3,853,0,3,856,0
16,Jagatsinghpur,106,Niali,207,,,,,,,,90,328,6,563,1,5,8,1001,0,12,1013,0
16,Jagatsinghpur,106,Niali,208,,,,,,,,51,215,2,537,0,0,3,808,0,5,813,0
16,Jagatsinghpur,106,Niali,209,,,,,,,,64,327,8,525,4,0,1,929,0,5,934,0
16,Jagatsinghpur,106,Niali,210,,,,,,,,31,144,2,293,0,1,0,471,0,1,472,0
16,Jagatsinghpur,106,Niali,211,,,,,,,,204,207,4,503,7,1,3,929,0,7,936,0
16,Jagatsinghpur,106,Niali,212,,,,,,,,91,135,0,388,2,0,0,616,0,1,617,0
16,Jagatsinghpur,106,Niali,213,,,,,,,,222,119,1,315,0,1,1,659,0,0,659,0
16,Jagatsinghpur,106,Niali,214,,,,,,,,89,158,1,251,2,0,0,501,0,1,502,0
16,Jagatsinghpur,106,Niali,215,,,,,,,,271,236,3,495,3,0,1,1009,0,9,1018,0
