pc_id,pc_name,ac_id,ac_name,Sl. No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total of valid votes,No. of Rejected votes,NOTA,Total,No. of tendered votes
16,Jagatsinghpur,107,Paradeep,1,,,,,,,,12,377,491,4,2,9,900,0,5,909,0
16,Jagatsinghpur,107,Paradeep,2,,,,,,,,5,318,486,4,0,2,819,0,4,828,0
16,Jagatsinghpur,107,Paradeep,3,,,,,,,,10,391,350,43,6,3,807,0,4,816,0
16,Jagatsinghpur,107,Paradeep,4,,,,,,,,5,203,275,3,1,1,490,0,2,491,0
16,Jagatsinghpur,107,Paradeep,5,,,,,,,,10,266,293,8,0,5,587,0,5,590,0
16,Jagatsinghpur,107,Paradeep,6,,,,,,,,3,170,173,9,1,1,359,0,2,369,0
16,Jagatsinghpur,107,Paradeep,7,,,,,,,,6,229,290,10,0,3,539,0,1,544,0
16,Jagatsinghpur,107,Paradeep,8,,,,,,,,16,257,371,6,1,3,659,0,5,662,0
16,Jagatsinghpur,107,Paradeep,9,,,,,,,,5,208,352,3,1,2,575,0,4,578,0
16,Jagatsinghpur,107,Paradeep,10,,,,,,,,7,270,292,4,2,2,583,0,6,584,0
16,Jagatsinghpur,107,Paradeep,11,,,,,,,,16,342,267,4,4,3,642,0,6,651,0
16,Jagatsinghpur,107,Paradeep,12,,,,,,,,15,360,386,7,1,4,779,0,6,781,0
16,Jagatsinghpur,107,Paradeep,13,,,,,,,,17,310,316,6,3,1,655,0,2,660,0
16,Jagatsinghpur,107,Paradeep,14,,,,,,,,14,272,135,2,1,0,427,0,3,431,0
16,Jagatsinghpur,107,Paradeep,15,,,,,,,,8,360,427,2,2,5,817,0,13,824,0
16,Jagatsinghpur,107,Paradeep,16,,,,,,,,10,375,463,1,1,3,857,0,4,858,0
16,Jagatsinghpur,107,Paradeep,17,,,,,,,,14,403,299,2,2,6,729,0,3,739,0
16,Jagatsinghpur,107,Paradeep,18,,,,,,,,15,314,296,5,2,3,642,0,7,656,0
16,Jagatsinghpur,107,Paradeep,19,,,,,,,,10,330,194,3,4,3,551,0,7,559,0
16,Jagatsinghpur,107,Paradeep,20,,,,,,,,11,443,263,11,2,8,746,0,8,758,0
16,Jagatsinghpur,107,Paradeep,21,,,,,,,,10,485,418,2,2,3,929,0,9,932,0
16,Jagatsinghpur,107,Paradeep,22,,,,,,,,6,211,270,0,1,2,493,0,3,500,0
16,Jagatsinghpur,107,Paradeep,23,,,,,,,,11,425,453,1,1,3,894,0,0,903,0
16,Jagatsinghpur,107,Paradeep,24,,,,,,,,18,359,401,10,4,4,806,0,10,811,0
16,Jagatsinghpur,107,Paradeep,25,,,,,,,,13,256,330,3,0,4,609,0,3,614,0
16,Jagatsinghpur,107,Paradeep,26,,,,,,,,15,324,240,0,0,0,582,0,3,588,0
16,Jagatsinghpur,107,Paradeep,27,,,,,,,,9,318,428,2,0,2,769,0,10,774,0
