pc_id,pc_name,ac_id,ac_name,Sl. No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Total of valid votes,No. of Rejected votes,NOTA,Total,No. of tendered votes
16,Jagatsinghpur,108,Tirtol,1,,,,,,,,7,2,263,311,583,0,2.0,585,0
16,Jagatsinghpur,108,Tirtol,2,,,,,,,,0,0,433,378,811,0,0.0,811,0
16,Jagatsinghpur,108,Tirtol,3,,,,,,,,9,1,406,310,726,0,3.0,729,0
16,Jagatsinghpur,108,Tirtol,4,,,,,,,,6,4,361,481,852,0,0.0,852,0
16,Jagatsinghpur,108,Tirtol,5,,,,,,,,5,2,229,321,557,0,2.0,559,0
16,Jagatsinghpur,108,Tirtol,6,,,,,,,,8,0,332,421,761,0,1.0,762,0
16,Jagatsinghpur,108,Tirtol,7,,,,,,,,9,4,276,411,700,0,1.0,701,0
16,Jagatsinghpur,108,Tirtol,8,,,,,,,,3,2,234,268,507,0,1.0,508,0
16,Jagatsinghpur,108,Tirtol,9,,,,,,,,3,3,214,525,745,0,0.0,745,0
16,Jagatsinghpur,108,Tirtol,10,,,,,,,,4,0,225,221,450,0,1.0,451,0
16,Jagatsinghpur,108,Tirtol,11,,,,,,,,2,2,662,429,1095,0,1.0,1096,0
16,Jagatsinghpur,108,Tirtol,12,,,,,,,,14,2,380,298,694,0,3.0,697,0
16,Jagatsinghpur,108,Tirtol,13,,,,,,,,0,2,403,279,684,0,1.0,685,0
16,Jagatsinghpur,108,Tirtol,14,,,,,,,,20,1,501,279,801,0,7.0,808,0
16,Jagatsinghpur,108,Tirtol,15,,,,,,,,7,3,464,412,886,0,1.0,887,0
16,Jagatsinghpur,108,Tirtol,16,,,,,,,,1,1,339,238,579,0,6.0,585,0
16,Jagatsinghpur,108,Tirtol,17,,,,,,,,5,2,417,638,1062,0,2.0,1064,0
16,Jagatsinghpur,108,Tirtol,18,,,,,,,,1,1,175,245,422,0,4.0,426,0
16,Jagatsinghpur,108,Tirtol,19,,,,,,,,0,1,117,164,282,0,0.0,282,0
16,Jagatsinghpur,108,Tirtol,20,,,,,,,,5,0,276,263,544,0,4.0,548,0
16,Jagatsinghpur,108,Tirtol,21,,,,,,,,2,0,252,261,515,0,0.0,515,0
16,Jagatsinghpur,108,Tirtol,22,,,,,,,,1,3,792,162,958,0,2.0,960,0
16,Jagatsinghpur,108,Tirtol,23,,,,,,,,3,3,421,375,802,0,0.0,802,0
16,Jagatsinghpur,108,Tirtol,24,,,,,,,,1,3,595,307,906,0,1.0,907,0
16,Jagatsinghpur,108,Tirtol,25,,,,,,,,2,1,414,289,706,0,1.0,707,0
16,Jagatsinghpur,108,Tirtol,26,,,,,,,,2,3,246,237,488,0,2.0,490,0
16,Jagatsinghpur,108,Tirtol,27,,,,,,,,1,0,297,370,668,0,1.0,669,0
16,Jagatsinghpur,108,Tirtol,28,,,,,,,,14,10,510,566,1100,0,1.0,1101,0
16,Jagatsinghpur,108,Tirtol,29,,,,,,,,4,3,375,342,724,0,0.0,724,0
16,Jagatsinghpur,108,Tirtol,30,,,,,,,,2,1,411,330,744,0,0.0,744,0
16,Jagatsinghpur,108,Tirtol,31,,,,,,,,7,15,422,576,1020,0,5.0,1025,0
16,Jagatsinghpur,108,Tirtol,32,,,,,,,,5,1,615,266,887,0,3.0,890,0
16,Jagatsinghpur,108,Tirtol,33,,,,,,,,3,1,274,187,465,0,0.0,465,0
16,Jagatsinghpur,108,Tirtol,34,,,,,,,,0,1,0,876,877,0,0.0,877,0
16,Jagatsinghpur,108,Tirtol,35,,,,,,,,0,2,580,429,1011,0,1.0,1012,0
16,Jagatsinghpur,108,Tirtol,36,,,,,,,,2,1,177,210,390,0,0.0,390,0
16,Jagatsinghpur,108,Tirtol,37,,,,,,,,2,0,318,243,563,0,5.0,568,0
16,Jagatsinghpur,108,Tirtol,38,,,,,,,,6,0,116,183,305,0,0.0,305,0
16,Jagatsinghpur,108,Tirtol,39,,,,,,,,6,2,380,423,811,0,0.0,811,0
16,Jagatsinghpur,108,Tirtol,40,,,,,,,,5,2,524,641,1172,0,5.0,1177,0
16,Jagatsinghpur,108,Tirtol,41,,,,,,,,7,5,537,448,997,0,4.0,1001,0
16,Jagatsinghpur,108,Tirtol,42,,,,,,,,3,0,257,252,512,0,1.0,513,0
16,Jagatsinghpur,108,Tirtol,43,,,,,,,,0,1,254,103,358,0,0.0,358,0
16,Jagatsinghpur,108,Tirtol,44,,,,,,,,14,2,133,178,327,0,1.0,328,0
16,Jagatsinghpur,108,Tirtol,45,,,,,,,,1,0,344,175,520,0,0.0,520,0
16,Jagatsinghpur,108,Tirtol,46,,,,,,,,12,0,316,245,573,0,0.0,573,0
16,Jagatsinghpur,108,Tirtol,47,,,,,,,,4,0,23,474,501,0,0.0,501,0
16,Jagatsinghpur,108,Tirtol,48,,,,,,,,0,0,397,99,496,0,2.0,498,0
16,Jagatsinghpur,108,Tirtol,49,,,,,,,,5,0,324,466,795,0,4.0,799,0
16,Jagatsinghpur,108,Tirtol,50,,,,,,,,11,0,384,283,678,0,12.0,690,0
16,Jagatsinghpur,108,Tirtol,51,,,,,,,,3,1,212,118,334,0,3.0,337,0
16,Jagatsinghpur,108,Tirtol,52,,,,,,,,10,8,272,418,708,0,1.0,709,0
16,Jagatsinghpur,108,Tirtol,53,,,,,,,,39,2,281,272,594,0,1.0,595,0
16,Jagatsinghpur,108,Tirtol,54,,,,,,,,34,1,246,357,638,0,1.0,639,0
16,Jagatsinghpur,108,Tirtol,55,,,,,,,,25,0,276,355,656,0,2.0,658,0
16,Jagatsinghpur,108,Tirtol,56,,,,,,,,5,5,612,10,632,0,4.0,636,0
16,Jagatsinghpur,108,Tirtol,57,,,,,,,,10,5,438,536,989,0,3.0,992,0
16,Jagatsinghpur,108,Tirtol,58,,,,,,,,6,4,271,371,652,0,6.0,658,0
16,Jagatsinghpur,108,Tirtol,59,,,,,,,,5,1,295,391,692,0,4.0,696,0
16,Jagatsinghpur,108,Tirtol,60,,,,,,,,10,6,492,515,1023,0,1.0,1024,0
16,Jagatsinghpur,108,Tirtol,61,,,,,,,,7,6,393,565,971,0,6.0,977,0
16,Jagatsinghpur,108,Tirtol,62,,,,,,,,5,1,356,323,685,0,2.0,687,0
