pc_id,pc_name,ac_id,ac_name,Sl. No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Total of valid votes,No. of Rejected votes,NOTA,Total,No. of tendered votes
16,Jagatsinghpur,109,Balikuda‐Erasama,1,,,,,,,,343.0,369.0,1.0,20.0,3.0,736,0,2.0,738,0
16,Jagatsinghpur,109,Balikuda‐Erasama,2,,,,,,,,298.0,303.0,1.0,27.0,0.0,629,0,1.0,630,0
16,Jagatsinghpur,109,Balikuda‐Erasama,3,,,,,,,,363.0,345.0,7.0,11.0,2.0,728,0,2.0,730,0
16,Jagatsinghpur,109,Balikuda‐Erasama,4,,,,,,,,429.0,275.0,7.0,21.0,2.0,734,0,2.0,736,0
16,Jagatsinghpur,109,Balikuda‐Erasama,5,,,,,,,,216.0,378.0,2.0,99.0,1.0,696,0,3.0,699,0
16,Jagatsinghpur,109,Balikuda‐Erasama,6,,,,,,,,444.0,333.0,4.0,68.0,3.0,852,0,5.0,857,0
16,Jagatsinghpur,109,Balikuda‐Erasama,7,,,,,,,,464.0,418.0,6.0,102.0,1.0,991,0,5.0,996,0
16,Jagatsinghpur,109,Balikuda‐Erasama,8,,,,,,,,192.0,249.0,2.0,15.0,0.0,458,0,1.0,459,0
16,Jagatsinghpur,109,Balikuda‐Erasama,9,,,,,,,,273.0,367.0,2.0,24.0,2.0,668,0,3.0,671,0
16,Jagatsinghpur,109,Balikuda‐Erasama,10,,,,,,,,335.0,117.0,0.0,20.0,0.0,472,0,1.0,473,0
16,Jagatsinghpur,109,Balikuda‐Erasama,11,,,,,,,,212.0,103.0,4.0,8.0,1.0,328,0,3.0,331,0
16,Jagatsinghpur,109,Balikuda‐Erasama,12,,,,,,,,26.0,22.0,2.0,901.0,0.0,951,0,1.0,952,0
16,Jagatsinghpur,109,Balikuda‐Erasama,13,,,,,,,,67.0,53.0,3.0,249.0,0.0,372,0,0.0,372,0
16,Jagatsinghpur,109,Balikuda‐Erasama,14,,,,,,,,124.0,102.0,3.0,131.0,1.0,361,0,0.0,361,0
16,Jagatsinghpur,109,Balikuda‐Erasama,15,,,,,,,,184.0,161.0,0.0,46.0,1.0,392,0,0.0,392,0
16,Jagatsinghpur,109,Balikuda‐Erasama,16,,,,,,,,250.0,188.0,4.0,99.0,2.0,543,0,2.0,545,0
16,Jagatsinghpur,109,Balikuda‐Erasama,17,,,,,,,,273.0,187.0,0.0,81.0,0.0,541,0,3.0,544,0
16,Jagatsinghpur,109,Balikuda‐Erasama,18,,,,,,,,155.0,115.0,0.0,50.0,1.0,321,0,0.0,321,0
16,Jagatsinghpur,109,Balikuda‐Erasama,19,,,,,,,,412.0,293.0,2.0,167.0,1.0,875,0,6.0,881,0
16,Jagatsinghpur,109,Balikuda‐Erasama,20,,,,,,,,223.0,120.0,2.0,132.0,0.0,477,0,0.0,477,0
16,Jagatsinghpur,109,Balikuda‐Erasama,21,,,,,,,,254.0,260.0,3.0,60.0,0.0,577,0,1.0,578,0
16,Jagatsinghpur,109,Balikuda‐Erasama,22,,,,,,,,195.0,178.0,0.0,102.0,1.0,476,0,2.0,478,0
