pc_id,pc_name,ac_id,ac_name,Serial No of polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total valid Votes,No of rejected votes,NOTA,Total,NO of tendered Votes
16,Jagatsinghpur,111,Kakatpur,1,,,,,,,,278,158,4,4,6,82,3,2,537,0,2,539,0.0
16,Jagatsinghpur,111,Kakatpur,2,,,,,,,,285,125,0,2,1,63,0,7,483,0,1,484,0.0
16,Jagatsinghpur,111,Kakatpur,3,,,,,,,,216,89,7,4,1,44,0,1,362,0,3,365,0.0
16,Jagatsinghpur,111,Kakatpur,4,,,,,,,,668,248,12,1,1,116,3,6,1055,0,12,1067,0.0
16,Jagatsinghpur,111,Kakatpur,5,,,,,,,,264,128,10,7,1,233,4,2,649,0,5,654,0.0
16,Jagatsinghpur,111,Kakatpur,6,,,,,,,,525,253,1,3,2,167,0,3,954,0,0,954,0.0
16,Jagatsinghpur,111,Kakatpur,7,,,,,,,,440,113,5,2,3,237,2,8,810,0,2,812,0.0
16,Jagatsinghpur,111,Kakatpur,8,,,,,,,,360,158,29,4,2,223,2,0,778,0,9,787,0.0
16,Jagatsinghpur,111,Kakatpur,9,,,,,,,,459,275,7,2,0,115,3,3,864,0,5,869,0.0
16,Jagatsinghpur,111,Kakatpur,10,,,,,,,,240,127,10,2,0,170,1,3,553,0,1,554,0.0
16,Jagatsinghpur,111,Kakatpur,11,,,,,,,,313,181,7,0,1,147,2,7,658,0,5,663,0.0
16,Jagatsinghpur,111,Kakatpur,12,,,,,,,,219,78,3,0,1,112,3,1,417,0,9,426,0.0
16,Jagatsinghpur,111,Kakatpur,13,,,,,,,,307,173,2,0,0,74,1,2,559,0,4,563,0.0
16,Jagatsinghpur,111,Kakatpur,14,,,,,,,,86,39,1,0,2,169,0,1,298,0,4,302,0.0
16,Jagatsinghpur,111,Kakatpur,15,,,,,,,,215,64,7,2,2,178,2,2,472,0,1,473,0.0
16,Jagatsinghpur,111,Kakatpur,16,,,,,,,,415,102,17,3,2,118,0,3,660,0,4,664,0.0
16,Jagatsinghpur,111,Kakatpur,17,,,,,,,,482,157,11,3,2,130,1,3,789,0,9,798,0.0
16,Jagatsinghpur,111,Kakatpur,18,,,,,,,,147,115,3,1,0,39,0,0,305,0,1,306,0.0
16,Jagatsinghpur,111,Kakatpur,19,,,,,,,,431,112,11,2,1,447,1,4,1009,0,9,1018,0.0
16,Jagatsinghpur,111,Kakatpur,20,,,,,,,,512,157,2,1,0,196,2,2,872,0,5,877,0.0
16,Jagatsinghpur,111,Kakatpur,21,,,,,,,,307,110,7,4,7,300,4,4,743,0,6,749,0.0
16,Jagatsinghpur,111,Kakatpur,22,,,,,,,,198,17,2,0,0,83,1,1,302,0,4,306,0.0
16,Jagatsinghpur,111,Kakatpur,23,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16,Jagatsinghpur,111,Kakatpur,24,,,,,,,,260,97,3,1,2,95,1,1,460,0,3,463,0.0
16,Jagatsinghpur,111,Kakatpur,25,,,,,,,,270,124,5,1,2,458,0,0,860,0,8,868,0.0
16,Jagatsinghpur,111,Kakatpur,26,,,,,,,,405,114,6,1,2,297,2,1,828,0,2,830,0.0
16,Jagatsinghpur,111,Kakatpur,27,,,,,,,,180,44,4,1,1,394,1,3,628,0,7,635,0.0
16,Jagatsinghpur,111,Kakatpur,28,,,,,,,,362,77,11,7,2,438,4,6,907,0,11,918,0.0
16,Jagatsinghpur,111,Kakatpur,29,,,,,,,,328,82,7,1,0,246,0,2,666,0,5,671,0.0
16,Jagatsinghpur,111,Kakatpur,30,,,,,,,,76,140,1,0,1,159,0,0,377,0,0,377,0.0
16,Jagatsinghpur,111,Kakatpur,31,,,,,,,,233,151,6,1,4,256,2,5,658,0,5,663,0.0
16,Jagatsinghpur,111,Kakatpur,32,,,,,,,,312,154,11,5,2,352,2,6,844,0,1,845,0.0
16,Jagatsinghpur,111,Kakatpur,33,,,,,,,,254,118,7,4,1,225,0,0,609,0,1,610,0.0
16,Jagatsinghpur,111,Kakatpur,34,,,,,,,,342,207,4,4,3,326,2,8,896,0,5,901,0.0
16,Jagatsinghpur,111,Kakatpur,35,,,,,,,,225,90,9,8,4,313,3,1,653,0,6,659,0.0
16,Jagatsinghpur,111,Kakatpur,36,,,,,,,,217,61,3,2,1,164,1,0,449,0,0,449,0.0
16,Jagatsinghpur,111,Kakatpur,37,,,,,,,,255,141,8,0,1,245,1,0,651,0,3,654,0.0
16,Jagatsinghpur,111,Kakatpur,38,,,,,,,,388,156,2,1,5,202,0,0,754,0,6,760,0.0
16,Jagatsinghpur,111,Kakatpur,39,,,,,,,,438,147,11,3,3,189,1,3,795,0,10,805,0.0
16,Jagatsinghpur,111,Kakatpur,40,,,,,,,,211,184,19,5,2,302,6,3,732,0,3,735,0.0
16,Jagatsinghpur,111,Kakatpur,41,,,,,,,,221,150,2,2,0,159,0,1,535,0,1,536,0.0
16,Jagatsinghpur,111,Kakatpur,42,,,,,,,,352,74,4,2,1,130,3,5,571,0,2,573,0.0
16,Jagatsinghpur,111,Kakatpur,43,,,,,,,,273,48,10,2,2,296,0,0,631,0,4,635,0.0
16,Jagatsinghpur,111,Kakatpur,44,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16,Jagatsinghpur,111,Kakatpur,45,,,,,,,,264,155,7,1,2,195,1,3,628,0,6,634,0.0
16,Jagatsinghpur,111,Kakatpur,46,,,,,,,,205,43,1,1,1,287,2,2,542,0,3,545,0.0
