pc_id,pc_name,ac_id,ac_name,Polling Booth No.,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Candidate 13,Candidate 14,Candidate 15,Candidate 16,Total of valid votes,No of Rejected votes,NOTA,Total,No of tendered votes
17,Puri,113,Puri,1,,,,,,,,310,3,15,0,581,1,2,3,2,0,9,4,50,1,1,1,983.0,0,14,997,0
17,Puri,113,Puri,2,,,,,,,,283,4,6,0,426,1,0,1,0,0,2,5,37,3,2,4,774.0,0,7,781,0
17,Puri,113,Puri,3,,,,,,,,211,8,9,3,469,4,1,2,2,3,2,27,15,1,1,1,759.0,0,5,764,0
17,Puri,113,Puri,4,,,,,,,,100,2,4,1,280,1,0,0,0,0,0,2,5,1,0,2,398.0,0,2,400,0
17,Puri,113,Puri,5,,,,,,,,227,2,11,4,583,2,1,3,3,1,6,3,86,3,2,3,940.0,0,3,943,0
17,Puri,113,Puri,6,,,,,,,,215,3,4,2,306,2,0,0,0,0,11,1,8,1,0,1,554.0,0,2,556,0
17,Puri,113,Puri,7,,,,,,,,309,7,21,5,308,0,2,1,0,1,2,8,17,0,0,3,684.0,0,17,701,0
17,Puri,113,Puri,8,,,,,,,,286,5,7,3,564,2,1,1,0,5,8,15,11,1,1,5,915.0,0,2,917,0
17,Puri,113,Puri,9,,,,,,,,85,1,2,3,284,0,1,0,1,1,5,14,20,4,0,2,423.0,0,6,429,0
17,Puri,113,Puri,10,,,,,,,,161,0,7,3,405,1,0,0,1,0,3,8,1,0,0,1,591.0,0,1,592,0
17,Puri,113,Puri,11,,,,,,,,94,2,1,1,231,0,0,0,0,0,0,0,3,0,0,0,332.0,0,2,334,0
17,Puri,113,Puri,12,,,,,,,,157,3,2,0,205,2,1,0,0,0,1,6,15,0,0,1,393.0,0,5,398,0
17,Puri,113,Puri,13,,,,,,,,128,4,10,0,225,0,0,0,1,0,1,2,4,1,1,2,379.0,0,2,381,0
17,Puri,113,Puri,14,,,,,,,,213,3,18,2,536,0,0,0,1,1,34,49,11,0,0,1,869.0,0,5,874,0
17,Puri,113,Puri,15,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
17,Puri,113,Puri,16,,,,,,,,101,3,26,10,534,4,0,0,0,1,13,48,1,0,1,1,743.0,0,6,749,0
17,Puri,113,Puri,17,,,,,,,,118,0,30,7,456,1,2,0,0,1,22,55,3,0,1,3,699.0,0,1,700,0
17,Puri,113,Puri,18,,,,,,,,108,0,0,2,261,1,0,0,2,1,1,5,6,0,1,5,393.0,0,2,395,0
17,Puri,113,Puri,19,,,,,,,,217,7,15,9,673,0,0,0,1,0,22,18,6,0,0,0,968.0,0,1,969,0
17,Puri,113,Puri,20,,,,,,,,38,3,10,41,168,0,0,0,0,0,0,12,0,1,0,0,273.0,0,1,274,0
17,Puri,113,Puri,21,,,,,,,,371,4,34,1,468,3,0,4,0,3,5,57,2,0,3,8,963.0,0,6,969,0
17,Puri,113,Puri,22,,,,,,,,399,3,25,1,341,2,0,0,1,2,6,18,2,0,2,0,802.0,0,10,812,0
17,Puri,113,Puri,23,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
17,Puri,113,Puri,24,,,,,,,,330,10,19,2,413,1,0,1,4,10,3,8,1,1,3,1,807.0,0,9,816,0
17,Puri,113,Puri,25,,,,,,,,156,2,12,1,263,0,1,0,1,8,0,8,0,0,1,2,455.0,0,10,465,0
17,Puri,113,Puri,26,,,,,,,,264,15,54,4,475,3,0,0,4,13,4,7,4,0,5,6,858.0,0,29,887,0
17,Puri,113,Puri,27,,,,,,,,287,2,18,2,345,1,0,0,1,7,1,6,2,0,0,0,672.0,0,14,686,0
17,Puri,113,Puri,28,,,,,,,,298,2,18,2,261,0,0,0,0,2,0,0,2,0,0,0,585.0,0,2,587,0
17,Puri,113,Puri,29,,,,,,,,241,3,22,0,277,0,0,1,2,8,0,3,0,0,1,3,561.0,0,10,571,0
17,Puri,113,Puri,30,,,,,,,,243,4,20,0,268,0,0,0,1,7,0,4,0,0,0,0,547.0,0,21,568,0
17,Puri,113,Puri,31,,,,,,,,238,3,19,1,381,1,0,0,1,5,1,6,2,0,0,0,658.0,0,10,668,0
17,Puri,113,Puri,32,,,,,,,,258,0,22,1,437,0,0,0,4,3,5,2,2,1,0,2,737.0,0,5,742,0
17,Puri,113,Puri,33,,,,,,,,212,3,17,1,385,1,2,0,4,6,0,1,8,4,2,3,649.0,0,2,651,0
17,Puri,113,Puri,34,,,,,,,,230,0,11,1,353,1,0,0,2,2,0,1,1,1,0,1,604.0,0,0,604,0
17,Puri,113,Puri,35,,,,,,,,229,4,36,6,448,0,4,1,0,1,1,5,3,5,2,12,757.0,0,5,762,0
17,Puri,113,Puri,36,,,,,,,,284,3,13,1,422,0,1,1,4,0,1,0,6,1,3,3,743.0,0,8,751,0
17,Puri,113,Puri,37,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
17,Puri,113,Puri,38,,,,,,,,141,1,13,1,200,1,0,0,0,0,0,2,1,0,0,1,361.0,0,3,364,0
17,Puri,113,Puri,39,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
17,Puri,113,Puri,40,,,,,,,,150,2,17,26,443,3,2,0,0,3,19,34,0,0,1,3,703.0,0,4,707,0
17,Puri,113,Puri,41,,,,,,,,67,0,5,6,235,4,0,1,0,2,10,45,0,0,0,1,376.0,0,10,386,0
