pc_id,pc_name,ac_id,ac_name,Serial No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Candidate 13,Candidate 14,Total valid votes,NO of rejected votes,NOTA,Total,No of tendered Votes
17,Puri,114,Brahmagiri,1,,,,,,,,470,339,3,0,20,1,1,0,0,0,2,0,0,1,837,0,9,846,0
17,Puri,114,Brahmagiri,2,,,,,,,,386,291,4,0,19,1,0,1,1,0,3,1,3,2,712,0,7,719,0
17,Puri,114,Brahmagiri,3,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Puri,114,Brahmagiri,4,,,,,,,,353,220,3,0,13,0,0,0,0,0,1,0,1,0,591,0,5,596,0
17,Puri,114,Brahmagiri,5,,,,,,,,325,227,0,0,8,0,0,0,0,0,0,0,0,0,560,0,1,561,0
17,Puri,114,Brahmagiri,6,,,,,,,,448,290,5,0,21,0,0,0,0,1,1,2,1,10,779,0,7,786,0
17,Puri,114,Brahmagiri,7,,,,,,,,339,275,1,0,30,0,1,0,0,0,1,1,0,4,652,0,3,655,0
17,Puri,114,Brahmagiri,8,,,,,,,,578,400,4,0,38,2,0,1,2,1,1,3,5,9,1044,0,9,1053,0
17,Puri,114,Brahmagiri,9,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Puri,114,Brahmagiri,10,,,,,,,,351,280,1,2,21,1,0,0,0,0,0,0,2,0,658,0,7,665,0
17,Puri,114,Brahmagiri,11,,,,,,,,509,304,0,1,20,0,1,0,2,0,0,0,0,2,839,0,8,847,0
17,Puri,114,Brahmagiri,12,,,,,,,,223,216,0,0,26,1,0,0,0,1,0,0,0,1,468,0,5,473,0
17,Puri,114,Brahmagiri,13,,,,,,,,278,306,0,0,28,0,0,0,1,1,0,0,0,1,615,0,4,619,0
17,Puri,114,Brahmagiri,14,,,,,,,,242,220,0,0,16,0,0,1,0,0,0,0,0,0,479,0,5,484,0
17,Puri,114,Brahmagiri,15,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Puri,114,Brahmagiri,16,,,,,,,,223,183,0,0,15,0,0,1,0,0,0,0,0,1,423,0,7,430,0
17,Puri,114,Brahmagiri,17,,,,,,,,233,231,0,0,16,0,2,1,0,0,0,0,0,0,483,0,4,487,0
17,Puri,114,Brahmagiri,18,,,,,,,,232,209,0,0,25,0,1,0,0,0,0,0,0,0,467,0,2,469,0
17,Puri,114,Brahmagiri,19,,,,,,,,224,188,1,0,17,0,0,1,0,0,0,0,1,2,434,0,4,438,0
17,Puri,114,Brahmagiri,20,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Puri,114,Brahmagiri,21,,,,,,,,407,402,0,0,10,3,0,0,3,0,1,0,0,0,826,0,3,829,0
17,Puri,114,Brahmagiri,22,,,,,,,,385,300,2,0,6,1,0,0,1,2,0,0,2,5,704,0,2,706,0
17,Puri,114,Brahmagiri,23,,,,,,,,375,309,1,0,14,1,1,1,0,0,2,5,6,0,715,0,5,720,0
17,Puri,114,Brahmagiri,24,,,,,,,,301,182,5,0,21,0,0,5,2,2,0,1,2,3,524,0,6,530,0
17,Puri,114,Brahmagiri,25,,,,,,,,365,307,0,0,16,0,0,0,0,1,1,1,2,1,694,0,5,699,0
17,Puri,114,Brahmagiri,26,,,,,,,,372,244,0,1,20,0,1,0,0,0,1,1,1,0,641,0,8,649,0
17,Puri,114,Brahmagiri,27,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Puri,114,Brahmagiri,28,,,,,,,,293,184,2,2,16,0,1,0,0,0,0,0,3,1,502,0,1,503,0
17,Puri,114,Brahmagiri,29,,,,,,,,325,167,1,0,22,0,0,1,0,0,0,0,0,1,517,0,0,517,0
17,Puri,114,Brahmagiri,30,,,,,,,,291,172,0,0,9,0,0,2,0,0,0,1,0,2,477,0,6,483,0
17,Puri,114,Brahmagiri,31,,,,,,,,330,230,1,0,14,0,0,0,0,0,0,0,2,1,578,0,5,583,0
17,Puri,114,Brahmagiri,32,,,,,,,,366,203,1,0,19,0,0,1,1,4,1,1,1,2,600,0,5,605,0
17,Puri,114,Brahmagiri,33,,,,,,,,196,158,0,0,10,0,0,0,0,0,0,0,1,0,365,0,5,370,0
17,Puri,114,Brahmagiri,34,,,,,,,,180,114,0,0,9,0,0,1,0,0,1,0,0,0,305,0,1,306,0
17,Puri,114,Brahmagiri,35,,,,,,,,325,364,4,1,7,0,1,2,0,0,1,0,1,1,707,0,2,709,0
17,Puri,114,Brahmagiri,36,,,,,,,,451,145,2,1,16,0,0,1,3,1,2,1,4,2,629,0,3,632,0
17,Puri,114,Brahmagiri,37,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Puri,114,Brahmagiri,38,,,,,,,,278,168,1,2,18,1,1,0,0,2,0,2,0,1,474,0,5,479,0
17,Puri,114,Brahmagiri,39,,,,,,,,309,257,1,0,22,0,1,0,0,0,0,0,0,0,590,0,11,601,0
17,Puri,114,Brahmagiri,40,,,,,,,,350,275,0,2,21,0,0,0,0,0,2,0,1,1,652,0,2,654,0
17,Puri,114,Brahmagiri,41,,,,,,,,288,313,2,0,27,0,0,0,1,0,0,1,1,0,633,0,5,638,0
17,Puri,114,Brahmagiri,42,,,,,,,,329,275,4,1,15,0,1,1,0,1,1,1,2,1,632,0,5,637,0
17,Puri,114,Brahmagiri,43,,,,,,,,300,220,4,0,14,0,0,1,2,0,0,0,0,0,541,0,4,545,0
17,Puri,114,Brahmagiri,44,,,,,,,,412,314,7,0,40,0,0,0,0,0,0,0,2,2,777,0,6,783,0
17,Puri,114,Brahmagiri,45,,,,,,,,258,262,8,0,25,1,0,0,1,1,0,0,1,0,557,0,5,562,0
17,Puri,114,Brahmagiri,46,,,,,,,,230,195,0,0,11,0,0,0,0,0,0,1,0,1,438,0,3,441,0
17,Puri,114,Brahmagiri,47,,,,,,,,335,248,5,0,15,0,0,0,0,0,0,0,1,0,604,0,2,606,0
17,Puri,114,Brahmagiri,48,,,,,,,,293,222,0,0,16,0,1,0,0,1,0,0,0,1,534,0,7,541,0
17,Puri,114,Brahmagiri,49,,,,,,,,361,260,6,0,27,1,0,0,0,1,0,1,0,1,658,0,5,663,0
17,Puri,114,Brahmagiri,50,,,,,,,,213,236,1,0,16,0,0,0,0,0,0,0,2,0,468,0,3,471,0
17,Puri,114,Brahmagiri,51,,,,,,,,321,250,7,0,15,0,0,0,3,0,2,0,2,0,600,0,0,600,0
17,Puri,114,Brahmagiri,52,,,,,,,,292,274,1,2,28,0,0,0,1,0,0,0,4,1,603,0,8,611,0
17,Puri,114,Brahmagiri,53,,,,,,,,450,156,0,1,45,0,0,1,0,1,0,0,1,0,655,0,2,657,0
17,Puri,114,Brahmagiri,54,,,,,,,,306,151,3,1,28,0,0,0,0,0,0,0,0,0,489,0,2,491,0
17,Puri,114,Brahmagiri,55,,,,,,,,390,286,5,0,52,1,1,0,5,0,2,2,2,5,751,0,8,759,0
17,Puri,114,Brahmagiri,56,,,,,,,,406,243,0,0,57,1,0,0,2,0,0,0,2,1,712,0,5,717,0
17,Puri,114,Brahmagiri,57,,,,,,,,341,271,2,0,58,1,0,0,0,0,0,0,6,0,679,0,9,688,0
17,Puri,114,Brahmagiri,58,,,,,,,,495,317,1,0,21,0,0,0,1,0,3,1,0,1,840,0,5,845,0
17,Puri,114,Brahmagiri,59,,,,,,,,352,199,0,0,22,0,0,0,0,0,0,0,1,0,574,0,7,581,0
17,Puri,114,Brahmagiri,60,,,,,,,,235,128,1,0,14,0,0,0,0,0,0,0,1,0,379,0,1,380,0
17,Puri,114,Brahmagiri,61,,,,,,,,344,191,2,0,75,1,0,1,1,1,2,0,2,2,622,0,5,627,0
17,Puri,114,Brahmagiri,62,,,,,,,,457,182,0,2,14,0,0,1,0,0,0,0,0,3,659,0,2,661,0
17,Puri,114,Brahmagiri,63,,,,,,,,179,187,0,0,12,0,0,0,0,0,0,0,1,1,380,0,5,385,0
17,Puri,114,Brahmagiri,64,,,,,,,,476,104,1,0,9,0,0,0,0,1,0,0,0,0,591,0,3,594,0
17,Puri,114,Brahmagiri,65,,,,,,,,196,141,0,0,13,0,0,0,0,0,1,0,1,3,355,0,2,357,0
17,Puri,114,Brahmagiri,66,,,,,,,,296,146,0,0,11,0,0,0,0,0,0,0,0,0,453,0,3,456,0
17,Puri,114,Brahmagiri,67,,,,,,,,394,241,0,1,19,2,0,1,1,0,1,1,3,5,669,0,3,672,0
17,Puri,114,Brahmagiri,68,,,,,,,,226,190,0,0,18,1,0,0,0,0,0,2,1,0,438,0,2,440,0
17,Puri,114,Brahmagiri,69,,,,,,,,320,205,0,0,17,0,1,1,0,0,2,1,2,2,551,0,4,555,0
17,Puri,114,Brahmagiri,70,,,,,,,,195,167,1,0,20,0,0,0,0,0,0,0,1,1,385,0,5,390,0
17,Puri,114,Brahmagiri,71,,,,,,,,293,142,2,0,11,1,0,1,1,0,0,1,3,7,462,0,9,471,0
17,Puri,114,Brahmagiri,72,,,,,,,,327,94,1,1,23,0,0,0,0,1,0,2,1,2,452,0,2,454,0
17,Puri,114,Brahmagiri,73,,,,,,,,341,78,1,1,3,0,0,2,1,0,0,0,1,0,428,0,2,430,0
17,Puri,114,Brahmagiri,74,,,,,,,,218,77,0,0,8,0,0,0,0,0,0,0,4,0,307,0,3,310,0
17,Puri,114,Brahmagiri,75,,,,,,,,412,164,0,2,37,0,0,0,1,0,0,1,8,0,625,0,7,632,0
