pc_id,pc_name,ac_id,ac_name,Serial No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Total of valid Votes,No of rejected votes,NOTA,Total,No of tendered Votes
17,Puri,115,Satyabadi,1,,,,,,,,2,130,91,3,139,1,2,368,0,3,371,0
17,Puri,115,Satyabadi,2,,,,,,,,10,228,131,3,147,0,0,519,0,2,521,0
17,Puri,115,Satyabadi,3,,,,,,,,5,178,84,2,259,3,2,533,0,7,540,0
17,Puri,115,Satyabadi,4,,,,,,,,7,472,133,5,308,0,1,926,0,6,932,0
17,Puri,115,Satyabadi,5,,,,,,,,2,310,104,0,380,3,2,801,0,5,806,0
17,Puri,115,Satyabadi,6,,,,,,,,1,351,27,3,472,2,0,856,0,3,859,0
17,Puri,115,Satyabadi,7,,,,,,,,1,257,60,1,129,2,2,452,0,2,454,0
17,Puri,115,Satyabadi,8,,,,,,,,2,240,50,0,165,1,0,458,0,3,461,0
17,Puri,115,Satyabadi,9,,,,,,,,11,374,106,7,365,9,7,879,0,7,886,0
17,Puri,115,Satyabadi,10,,,,,,,,2,321,49,2,391,0,0,765,0,1,766,0
17,Puri,115,Satyabadi,11,,,,,,,,0,115,35,1,272,9,4,436,0,4,440,0
17,Puri,115,Satyabadi,12,,,,,,,,4,263,117,3,268,5,0,660,0,10,670,0
17,Puri,115,Satyabadi,13,,,,,,,,6,215,133,1,370,5,3,733,0,5,738,0
17,Puri,115,Satyabadi,14,,,,,,,,10,336,113,4,378,6,2,849,0,7,856,0
17,Puri,115,Satyabadi,15,,,,,,,,3,274,74,1,207,0,2,561,0,2,563,0
17,Puri,115,Satyabadi,16,,,,,,,,1,154,28,0,271,2,2,458,0,4,462,0
17,Puri,115,Satyabadi,17,,,,,,,,1,110,12,0,313,2,1,439,0,1,440,0
17,Puri,115,Satyabadi,18,,,,,,,,1,178,6,1,356,1,1,544,0,3,547,0
17,Puri,115,Satyabadi,19,,,,,,,,1,142,61,2,258,1,0,465,0,0,465,0
17,Puri,115,Satyabadi,20,,,,,,,,3,195,15,4,234,5,2,458,0,7,465,0
17,Puri,115,Satyabadi,21,,,,,,,,1,255,17,0,332,1,0,606,0,3,609,0
17,Puri,115,Satyabadi,22,,,,,,,,6,281,54,2,310,3,1,657,0,7,664,0
17,Puri,115,Satyabadi,23,,,,,,,,1,145,71,0,123,0,0,340,0,1,341,0
17,Puri,115,Satyabadi,24,,,,,,,,3,287,45,1,285,1,1,623,0,0,623,0
17,Puri,115,Satyabadi,25,,,,,,,,1,376,107,2,239,2,0,727,0,1,728,0
17,Puri,115,Satyabadi,26,,,,,,,,4,250,66,3,222,2,0,547,0,3,550,0
17,Puri,115,Satyabadi,27,,,,,,,,7,488,145,2,235,3,3,883,0,8,891,0
17,Puri,115,Satyabadi,28,,,,,,,,3,134,40,4,202,3,0,386,0,3,389,0
17,Puri,115,Satyabadi,29,,,,,,,,1,271,88,6,258,1,3,628,0,6,634,0
17,Puri,115,Satyabadi,30,,,,,,,,3,261,90,0,148,3,1,506,0,4,510,0
17,Puri,115,Satyabadi,31,,,,,,,,4,207,51,4,263,5,4,538,0,14,552,0
17,Puri,115,Satyabadi,32,,,,,,,,4,226,54,0,167,5,1,457,0,6,463,0
17,Puri,115,Satyabadi,33,,,,,,,,1,167,38,2,250,2,2,462,0,2,464,0
17,Puri,115,Satyabadi,34,,,,,,,,3,164,57,3,321,2,0,550,0,5,555,0
17,Puri,115,Satyabadi,35,,,,,,,,12,161,126,4,339,3,6,651,0,19,670,0
17,Puri,115,Satyabadi,36,,,,,,,,15,373,114,3,335,2,0,842,0,4,846,0
17,Puri,115,Satyabadi,37,,,,,,,,9,289,154,3,270,3,3,731,0,5,736,0
17,Puri,115,Satyabadi,38,,,,,,,,1,185,60,0,112,0,0,358,0,0,358,0
17,Puri,115,Satyabadi,39,,,,,,,,2,148,98,1,173,1,2,425,0,8,433,0
17,Puri,115,Satyabadi,40,,,,,,,,1,328,175,4,472,1,1,982,0,9,991,0
17,Puri,115,Satyabadi,41,,,,,,,,5,219,135,3,458,3,2,825,0,7,832,0
17,Puri,115,Satyabadi,42,,,,,,,,10,286,261,2,322,4,2,887,0,14,901,0
17,Puri,115,Satyabadi,43,,,,,,,,7,238,73,6,356,10,4,694,0,18,712,0
17,Puri,115,Satyabadi,44,,,,,,,,7,180,104,2,350,5,4,652,0,7,659,0
17,Puri,115,Satyabadi,45,,,,,,,,3,170,61,1,404,4,5,648,0,7,655,0
17,Puri,115,Satyabadi,46,,,,,,,,0,68,23,1,271,1,1,365,0,1,366,0
17,Puri,115,Satyabadi,47,,,,,,,,6,65,21,1,206,1,2,302,0,4,306,0
17,Puri,115,Satyabadi,48,,,,,,,,2,65,35,0,174,2,0,278,0,2,280,0
17,Puri,115,Satyabadi,49,,,,,,,,3,220,86,3,544,2,1,859,0,2,861,0
17,Puri,115,Satyabadi,50,,,,,,,,12,293,130,3,451,10,4,903,0,11,914,0
17,Puri,115,Satyabadi,51,,,,,,,,2,82,59,5,291,9,4,452,0,19,471,0
17,Puri,115,Satyabadi,52,,,,,,,,1,214,136,2,222,1,0,576,0,1,577,0
17,Puri,115,Satyabadi,53,,,,,,,,2,218,117,0,252,1,0,590,0,0,590,0
17,Puri,115,Satyabadi,54,,,,,,,,7,235,106,3,285,2,1,639,0,7,646,0
17,Puri,115,Satyabadi,55,,,,,,,,5,105,71,1,168,3,1,354,0,3,357,0
17,Puri,115,Satyabadi,56,,,,,,,,3,394,159,1,272,0,2,831,0,9,840,0
