pc_id,pc_name,ac_id,ac_name,Sl. No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,No. of valid votes cast in favour of,NOTA,Total,No. of tender votes,No . Of rejected votes
17,Puri,116,Pipili,1,,,,,,,,196.0,243.0,22.0,3.0,1.0,0.0,0.0,465.0,2.0,467.0,0,0
17,Puri,116,Pipili,2,,,,,,,,137.0,310.0,89.0,2.0,0.0,0.0,1.0,539.0,4.0,543.0,0,0
17,Puri,116,Pipili,3,,,,,,,,470.0,376.0,51.0,2.0,0.0,0.0,0.0,899.0,3.0,902.0,0,0
17,Puri,116,Pipili,4,,,,,,,,143.0,400.0,50.0,3.0,2.0,1.0,4.0,603.0,4.0,607.0,0,0
17,Puri,116,Pipili,5,,,,,,,,136.0,303.0,41.0,2.0,1.0,0.0,0.0,483.0,0.0,483.0,0,0
17,Puri,116,Pipili,6,,,,,,,,249.0,340.0,81.0,0.0,4.0,2.0,1.0,677.0,7.0,684.0,0,0
17,Puri,116,Pipili,7,,,,,,,,191.0,179.0,64.0,3.0,0.0,0.0,2.0,439.0,1.0,440.0,0,0
17,Puri,116,Pipili,8,,,,,,,,166.0,475.0,129.0,0.0,3.0,2.0,0.0,775.0,5.0,780.0,0,0
17,Puri,116,Pipili,9,,,,,,,,418.0,284.0,132.0,3.0,7.0,2.0,2.0,848.0,6.0,854.0,0,0
17,Puri,116,Pipili,10,,,,,,,,82.0,157.0,50.0,0.0,0.0,1.0,1.0,291.0,0.0,291.0,0,0
17,Puri,116,Pipili,11,,,,,,,,294.0,350.0,87.0,2.0,8.0,1.0,2.0,744.0,7.0,751.0,0,0
17,Puri,116,Pipili,12,,,,,,,,173.0,180.0,144.0,2.0,1.0,2.0,0.0,502.0,2.0,504.0,0,0
17,Puri,116,Pipili,13,,,,,,,,349.0,241.0,144.0,1.0,2.0,2.0,4.0,743.0,3.0,746.0,0,0
17,Puri,116,Pipili,14,,,,,,,,216.0,373.0,191.0,4.0,15.0,0.0,1.0,800.0,0.0,800.0,0,0
17,Puri,116,Pipili,15,,,,,,,,126.0,358.0,146.0,1.0,15.0,1.0,2.0,649.0,6.0,655.0,0,0
17,Puri,116,Pipili,16,,,,,,,,145.0,187.0,81.0,1.0,2.0,0.0,2.0,418.0,2.0,420.0,0,0
17,Puri,116,Pipili,17,,,,,,,,185.0,279.0,137.0,1.0,1.0,0.0,0.0,603.0,2.0,605.0,0,0
17,Puri,116,Pipili,18,,,,,,,,149.0,187.0,93.0,1.0,1.0,0.0,0.0,431.0,2.0,433.0,0,0
17,Puri,116,Pipili,19,,,,,,,,319.0,508.0,140.0,1.0,5.0,2.0,2.0,977.0,8.0,985.0,0,0
17,Puri,116,Pipili,20,,,,,,,,190.0,303.0,114.0,3.0,2.0,1.0,1.0,614.0,2.0,616.0,0,0
17,Puri,116,Pipili,21,,,,,,,,349.0,549.0,86.0,1.0,8.0,3.0,3.0,999.0,18.0,1017.0,0,0
17,Puri,116,Pipili,22,,,,,,,,250.0,347.0,78.0,4.0,12.0,2.0,3.0,696.0,6.0,702.0,0,0
17,Puri,116,Pipili,23,,,,,,,,250.0,318.0,129.0,1.0,4.0,0.0,1.0,703.0,4.0,707.0,0,0
17,Puri,116,Pipili,24,,,,,,,,181.0,282.0,86.0,0.0,4.0,0.0,0.0,553.0,0.0,553.0,0,0
17,Puri,116,Pipili,25,,,,,,,,297.0,509.0,117.0,0.0,10.0,2.0,0.0,935.0,5.0,940.0,0,0
17,Puri,116,Pipili,26,,,,,,,,328.0,375.0,83.0,6.0,9.0,1.0,3.0,805.0,2.0,807.0,0,0
17,Puri,116,Pipili,27,,,,,,,,278.0,278.0,170.0,2.0,4.0,1.0,1.0,734.0,2.0,736.0,0,0
17,Puri,116,Pipili,28,,,,,,,,205.0,227.0,57.0,2.0,2.0,1.0,6.0,500.0,5.0,505.0,0,0
17,Puri,116,Pipili,29,,,,,,,,194.0,287.0,88.0,1.0,1.0,2.0,1.0,574.0,6.0,580.0,0,0
17,Puri,116,Pipili,30,,,,,,,,242.0,270.0,56.0,0.0,2.0,2.0,1.0,573.0,10.0,583.0,0,0
17,Puri,116,Pipili,31,,,,,,,,151.0,184.0,46.0,1.0,7.0,0.0,1.0,390.0,1.0,391.0,0,0
17,Puri,116,Pipili,32,,,,,,,,89.0,163.0,31.0,0.0,0.0,1.0,0.0,284.0,1.0,285.0,0,0
17,Puri,116,Pipili,33,,,,,,,,196.0,348.0,85.0,2.0,0.0,1.0,0.0,632.0,1.0,633.0,0,0
17,Puri,116,Pipili,34,,,,,,,,448.0,426.0,105.0,2.0,6.0,2.0,0.0,989.0,10.0,999.0,0,0
17,Puri,116,Pipili,35,,,,,,,,323.0,447.0,98.0,1.0,3.0,0.0,0.0,872.0,4.0,876.0,0,0
17,Puri,116,Pipili,36,,,,,,,,149.0,247.0,43.0,0.0,1.0,0.0,0.0,440.0,2.0,442.0,0,0
17,Puri,116,Pipili,37,,,,,,,,106.0,234.0,21.0,0.0,1.0,2.0,2.0,366.0,1.0,367.0,0,0
17,Puri,116,Pipili,38,,,,,,,,372.0,394.0,138.0,5.0,6.0,3.0,3.0,921.0,7.0,928.0,0,0
17,Puri,116,Pipili,39,,,,,,,,223.0,355.0,104.0,3.0,2.0,1.0,2.0,690.0,6.0,696.0,0,0
17,Puri,116,Pipili,40,,,,,,,,255.0,286.0,92.0,0.0,4.0,0.0,0.0,637.0,10.0,647.0,0,0
17,Puri,116,Pipili,41,,,,,,,,359.0,286.0,76.0,1.0,0.0,1.0,1.0,724.0,0.0,724.0,0,0
17,Puri,116,Pipili,42,,,,,,,,259.0,278.0,123.0,1.0,2.0,1.0,0.0,664.0,2.0,666.0,0,0
17,Puri,116,Pipili,43,,,,,,,,98.0,107.0,65.0,0.0,1.0,0.0,0.0,271.0,0.0,271.0,0,0
17,Puri,116,Pipili,44,,,,,,,,362.0,358.0,98.0,2.0,2.0,0.0,1.0,823.0,1.0,824.0,0,0
17,Puri,116,Pipili,45,,,,,,,,370.0,321.0,144.0,0.0,3.0,2.0,0.0,840.0,3.0,843.0,0,0
