pc_id,pc_name,ac_id,ac_name,Sl. No . Of polling station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,No. of valid votes cast in favour of,No. of Rejected votes,NOTA,Total,No. of tender votes
17,Puri,117,Chilika,1,,,,,,,,302.0,460.0,9.0,0.0,15.0,2.0,2.0,0.0,790.0,0,3.0,793.0,0
17,Puri,117,Chilika,2,,,,,,,,340.0,375.0,11.0,0.0,22.0,0.0,1.0,0.0,749.0,0,9.0,758.0,0
17,Puri,117,Chilika,3,,,,,,,,375.0,423.0,5.0,1.0,26.0,0.0,2.0,1.0,833.0,0,3.0,836.0,0
17,Puri,117,Chilika,4,,,,,,,,289.0,485.0,10.0,1.0,19.0,3.0,0.0,1.0,808.0,0,0.0,808.0,0
17,Puri,117,Chilika,5,,,,,,,,311.0,489.0,21.0,1.0,18.0,3.0,2.0,15.0,860.0,0,10.0,870.0,0
17,Puri,117,Chilika,6,,,,,,,,287.0,433.0,14.0,2.0,29.0,2.0,0.0,1.0,768.0,0,7.0,775.0,0
17,Puri,117,Chilika,7,,,,,,,,225.0,364.0,29.0,0.0,42.0,1.0,2.0,0.0,663.0,0,4.0,667.0,0
17,Puri,117,Chilika,8,,,,,,,,307.0,419.0,11.0,2.0,26.0,2.0,5.0,6.0,778.0,0,9.0,787.0,0
17,Puri,117,Chilika,9,,,,,,,,236.0,630.0,62.0,4.0,59.0,2.0,2.0,6.0,1001.0,0,14.0,1015.0,0
17,Puri,117,Chilika,10,,,,,,,,95.0,270.0,35.0,0.0,30.0,0.0,0.0,1.0,431.0,0,4.0,435.0,0
17,Puri,117,Chilika,11,,,,,,,,208.0,242.0,13.0,0.0,91.0,0.0,0.0,0.0,554.0,0,5.0,559.0,0
17,Puri,117,Chilika,12,,,,,,,,334.0,357.0,11.0,3.0,62.0,2.0,10.0,7.0,786.0,0,1.0,787.0,0
17,Puri,117,Chilika,13,,,,,,,,360.0,375.0,9.0,2.0,16.0,0.0,2.0,0.0,764.0,0,5.0,769.0,0
17,Puri,117,Chilika,14,,,,,,,,114.0,133.0,13.0,0.0,9.0,2.0,1.0,0.0,272.0,0,2.0,274.0,0
17,Puri,117,Chilika,15,,,,,,,,222.0,359.0,7.0,0.0,48.0,1.0,3.0,0.0,640.0,0,5.0,645.0,0
17,Puri,117,Chilika,16,,,,,,,,323.0,375.0,35.0,2.0,46.0,0.0,1.0,1.0,783.0,0,5.0,788.0,0
17,Puri,117,Chilika,17,,,,,,,,108.0,235.0,58.0,0.0,39.0,2.0,2.0,3.0,447.0,0,2.0,449.0,0
17,Puri,117,Chilika,18,,,,,,,,317.0,366.0,15.0,0.0,169.0,3.0,2.0,3.0,875.0,0,9.0,884.0,0
17,Puri,117,Chilika,19,,,,,,,,163.0,249.0,11.0,1.0,25.0,2.0,0.0,0.0,451.0,0,2.0,453.0,0
17,Puri,117,Chilika,20,,,,,,,,280.0,549.0,19.0,1.0,77.0,3.0,3.0,1.0,933.0,0,6.0,939.0,0
17,Puri,117,Chilika,21,,,,,,,,366.0,393.0,14.0,1.0,44.0,1.0,4.0,0.0,823.0,0,7.0,830.0,0
17,Puri,117,Chilika,22,,,,,,,,366.0,523.0,18.0,2.0,26.0,1.0,2.0,6.0,944.0,0,8.0,952.0,0
17,Puri,117,Chilika,23,,,,,,,,359.0,540.0,18.0,2.0,67.0,1.0,6.0,3.0,996.0,0,5.0,1001.0,0
17,Puri,117,Chilika,24,,,,,,,,217.0,533.0,22.0,2.0,74.0,4.0,2.0,3.0,857.0,0,8.0,865.0,0
17,Puri,117,Chilika,25,,,,,,,,303.0,485.0,12.0,0.0,28.0,1.0,1.0,0.0,830.0,0,13.0,843.0,0
17,Puri,117,Chilika,26,,,,,,,,83.0,294.0,5.0,0.0,18.0,1.0,0.0,0.0,401.0,0,2.0,403.0,0
17,Puri,117,Chilika,27,,,,,,,,179.0,348.0,15.0,0.0,30.0,1.0,0.0,1.0,574.0,0,13.0,587.0,0
17,Puri,117,Chilika,28,,,,,,,,162.0,395.0,11.0,3.0,14.0,0.0,0.0,1.0,586.0,0,7.0,593.0,0
17,Puri,117,Chilika,29,,,,,,,,166.0,381.0,12.0,1.0,2.0,0.0,0.0,1.0,563.0,0,6.0,569.0,0
17,Puri,117,Chilika,30,,,,,,,,292.0,421.0,10.0,0.0,31.0,1.0,3.0,1.0,759.0,0,10.0,769.0,0
