pc_id,pc_name,ac_id,ac_name,Sl No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Total of valid votes,No.of rejected votes,Votes for NOTA options,Total votes,Total No.of tendered votes
18,Bhubaneswar,119,Khurda,1,,,,,,,,0,5,380,21,283,1,2,3,6,4,705,0,9,714,0
18,Bhubaneswar,119,Khurda,2,,,,,,,,4,0,243,63,226,2,0,0,0,2,540,0,2,542,0
18,Bhubaneswar,119,Khurda,3,,,,,,,,2,4,237,21,196,0,0,0,1,0,461,0,5,466,0
18,Bhubaneswar,119,Khurda,4,,,,,,,,1,0,297,59,161,5,3,0,0,1,527,0,1,528,0
18,Bhubaneswar,119,Khurda,5,,,,,,,,2,3,312,56,215,1,4,1,3,1,598,0,5,603,0
18,Bhubaneswar,119,Khurda,6,,,,,,,,0,2,302,30,472,3,2,2,2,0,815,0,2,817,0
18,Bhubaneswar,119,Khurda,7,,,,,,,,1,4,450,35,296,2,7,2,3,1,801,0,7,808,0
18,Bhubaneswar,119,Khurda,8,,,,,,,,6,3,275,14,643,1,1,1,0,3,947,0,6,953,0
18,Bhubaneswar,119,Khurda,9,,,,,,,,0,1,185,74,258,2,0,0,1,0,521,0,0,521,0
18,Bhubaneswar,119,Khurda,10,,,,,,,,0,2,174,34,260,1,1,1,1,2,476,0,1,477,0
18,Bhubaneswar,119,Khurda,11,,,,,,,,3,18,323,10,349,2,1,1,0,1,708,0,1,709,0
18,Bhubaneswar,119,Khurda,12,,,,,,,,1,5,316,25,563,4,2,1,0,0,917,0,3,920,0
18,Bhubaneswar,119,Khurda,13,,,,,,,,2,10,304,24,465,4,2,1,2,2,816,0,2,818,0
18,Bhubaneswar,119,Khurda,14,,,,,,,,3,16,160,22,277,2,1,1,1,2,485,0,3,488,0
18,Bhubaneswar,119,Khurda,15,,,,,,,,0,4,366,33,261,1,2,1,1,2,671,0,4,675,0
18,Bhubaneswar,119,Khurda,16,,,,,,,,0,5,170,41,131,3,1,0,1,1,353,0,2,355,0
18,Bhubaneswar,119,Khurda,17,,,,,,,,2,26,280,25,107,0,0,0,0,1,441,0,0,441,0
18,Bhubaneswar,119,Khurda,18,,,,,,,,2,18,223,36,183,0,2,0,1,0,465,0,1,466,0
18,Bhubaneswar,119,Khurda,19,,,,,,,,0,0,103,1,30,0,0,0,0,0,134,0,0,134,0
18,Bhubaneswar,119,Khurda,20,,,,,,,,2,5,226,14,280,1,1,0,0,0,529,0,4,533,0
18,Bhubaneswar,119,Khurda,21,,,,,,,,0,1,90,4,138,2,0,0,0,0,235,0,0,235,0
18,Bhubaneswar,119,Khurda,22,,,,,,,,1,2,127,22,274,2,3,4,2,3,440,0,9,449,0
18,Bhubaneswar,119,Khurda,23,,,,,,,,3,5,445,43,391,4,2,3,4,1,901,0,3,904,0
18,Bhubaneswar,119,Khurda,24,,,,,,,,1,4,154,6,143,0,0,0,0,1,309,0,1,310,0
18,Bhubaneswar,119,Khurda,25,,,,,,,,1,5,178,19,552,2,3,3,1,0,764,0,1,765,0
18,Bhubaneswar,119,Khurda,26,,,,,,,,2,4,342,4,263,0,0,1,1,0,617,0,8,625,0
18,Bhubaneswar,119,Khurda,27,,,,,,,,1,3,381,6,231,0,2,0,0,3,627,0,1,628,0
18,Bhubaneswar,119,Khurda,28,,,,,,,,0,3,534,11,168,2,1,4,0,2,725,0,2,727,0
18,Bhubaneswar,119,Khurda,29,,,,,,,,2,0,481,8,190,0,4,1,0,2,688,0,4,692,0
18,Bhubaneswar,119,Khurda,30,,,,,,,,2,3,449,24,374,4,3,0,0,4,863,0,1,864,0
18,Bhubaneswar,119,Khurda,31,,,,,,,,6,1,331,11,250,1,2,1,14,1,618,0,1,619,0
18,Bhubaneswar,119,Khurda,32,,,,,,,,0,1,261,13,240,0,2,0,7,0,524,0,0,524,0
18,Bhubaneswar,119,Khurda,33,,,,,,,,1,1,281,12,341,0,0,2,2,2,642,0,5,647,0
18,Bhubaneswar,119,Khurda,34,,,,,,,,2,6,322,17,218,1,2,1,2,2,573,0,4,577,0
18,Bhubaneswar,119,Khurda,35,,,,,,,,0,0,102,5,173,0,0,0,3,0,283,0,1,284,0
18,Bhubaneswar,119,Khurda,36,,,,,,,,3,7,487,20,290,1,5,1,1,0,815,0,2,817,0
18,Bhubaneswar,119,Khurda,37,,,,,,,,0,1,203,10,181,1,2,2,4,0,404,0,4,408,0
18,Bhubaneswar,119,Khurda,38,,,,,,,,3,4,485,38,319,1,5,2,3,4,864,0,9,873,0
18,Bhubaneswar,119,Khurda,39,,,,,,,,1,2,456,29,272,0,3,3,2,6,774,0,2,776,0
18,Bhubaneswar,119,Khurda,40,,,,,,,,1,6,419,19,359,7,1,0,5,2,819,0,11,830,0
18,Bhubaneswar,119,Khurda,41,,,,,,,,1,4,307,25,427,0,3,1,2,3,773,0,4,777,0
18,Bhubaneswar,119,Khurda,42,,,,,,,,3,11,247,17,475,3,1,3,0,0,760,0,2,762,0
18,Bhubaneswar,119,Khurda,43,,,,,,,,1,3,140,29,250,2,2,1,2,1,431,0,3,434,0
18,Bhubaneswar,119,Khurda,44,,,,,,,,0,22,173,64,412,2,0,0,3,0,676,0,2,678,0
