pc_id,pc_name,ac_id,ac_name,Sl No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total of valid votes,No.of rejected votes,Votes for NOTA options,Total votes,Total No.of tendered votes
18,Bhubaneswar,122,Bhubaneswar North,1,,,,,,,,403,317,9,5,0,3,1,0,738,0,0,738,0
18,Bhubaneswar,122,Bhubaneswar North,2,,,,,,,,366,370,27,5,2,2,2,0,774,0,5,779,0
18,Bhubaneswar,122,Bhubaneswar North,3,,,,,,,,269,171,8,0,1,1,0,4,454,0,2,456,0
18,Bhubaneswar,122,Bhubaneswar North,4,,,,,,,,543,257,6,6,6,2,0,1,821,0,1,822,0
18,Bhubaneswar,122,Bhubaneswar North,5,,,,,,,,480,307,14,0,1,0,0,1,803,0,2,805,0
18,Bhubaneswar,122,Bhubaneswar North,6,,,,,,,,338,286,10,1,3,2,1,0,641,0,1,642,0
18,Bhubaneswar,122,Bhubaneswar North,7,,,,,,,,446,314,14,3,1,3,1,6,788,0,12,800,0
18,Bhubaneswar,122,Bhubaneswar North,8,,,,,,,,463,196,12,3,3,1,3,3,684,0,3,687,0
18,Bhubaneswar,122,Bhubaneswar North,9,,,,,,,,301,233,7,2,2,1,1,0,547,0,2,549,0
18,Bhubaneswar,122,Bhubaneswar North,10,,,,,,,,431,380,15,6,1,2,1,2,838,0,1,839,0
18,Bhubaneswar,122,Bhubaneswar North,11,,,,,,,,362,346,16,4,3,6,1,9,747,0,1,748,0
18,Bhubaneswar,122,Bhubaneswar North,12,,,,,,,,294,266,14,5,6,3,1,0,589,0,4,593,0
18,Bhubaneswar,122,Bhubaneswar North,13,,,,,,,,394,311,12,1,1,0,0,2,721,0,2,723,0
18,Bhubaneswar,122,Bhubaneswar North,14,,,,,,,,396,267,5,0,1,0,0,1,670,0,1,671,0
18,Bhubaneswar,122,Bhubaneswar North,15,,,,,,,,228,197,16,1,1,2,0,1,446,0,3,449,0
18,Bhubaneswar,122,Bhubaneswar North,16,,,,,,,,430,256,13,0,0,1,2,1,703,0,2,705,0
18,Bhubaneswar,122,Bhubaneswar North,17,,,,,,,,281,105,7,0,0,0,1,1,395,0,6,401,0
18,Bhubaneswar,122,Bhubaneswar North,18,,,,,,,,364,210,7,3,0,1,0,1,586,0,3,589,0
18,Bhubaneswar,122,Bhubaneswar North,19,,,,,,,,307,172,1,1,0,1,0,1,483,0,5,488,0
18,Bhubaneswar,122,Bhubaneswar North,20,,,,,,,,388,452,10,1,2,2,4,2,861,0,8,869,0
18,Bhubaneswar,122,Bhubaneswar North,21,,,,,,,,382,465,23,4,2,2,2,1,881,0,3,884,0
18,Bhubaneswar,122,Bhubaneswar North,22,,,,,,,,396,461,35,5,7,4,2,5,915,0,12,927,0
18,Bhubaneswar,122,Bhubaneswar North,23,,,,,,,,396,379,19,2,0,0,0,1,797,0,3,800,0
18,Bhubaneswar,122,Bhubaneswar North,24,,,,,,,,132,136,3,0,1,0,0,0,272,0,1,273,0
18,Bhubaneswar,122,Bhubaneswar North,25,,,,,,,,514,402,27,4,2,2,0,0,951,0,8,959,0
18,Bhubaneswar,122,Bhubaneswar North,26,,,,,,,,305,304,13,1,1,0,0,0,624,0,1,625,0
18,Bhubaneswar,122,Bhubaneswar North,27,,,,,,,,238,177,7,0,1,0,0,0,423,0,1,424,0
18,Bhubaneswar,122,Bhubaneswar North,28,,,,,,,,445,343,10,1,0,3,0,1,803,0,1,804,0
18,Bhubaneswar,122,Bhubaneswar North,29,,,,,,,,357,207,11,1,0,0,0,4,580,0,2,582,0
18,Bhubaneswar,122,Bhubaneswar North,30,,,,,,,,452,341,18,1,2,0,0,4,818,0,3,821,0
18,Bhubaneswar,122,Bhubaneswar North,31,,,,,,,,417,372,18,0,0,0,0,0,807,0,1,808,0
18,Bhubaneswar,122,Bhubaneswar North,32,,,,,,,,595,264,13,2,1,1,1,0,877,0,3,880,0
18,Bhubaneswar,122,Bhubaneswar North,33,,,,,,,,462,197,26,1,1,3,3,1,694,0,2,696,0
18,Bhubaneswar,122,Bhubaneswar North,34,,,,,,,,468,230,11,2,0,0,1,0,712,0,1,713,0
18,Bhubaneswar,122,Bhubaneswar North,35,,,,,,,,471,73,1,0,0,0,0,0,545,0,0,545,0
18,Bhubaneswar,122,Bhubaneswar North,36,,,,,,,,590,345,24,1,2,2,2,1,967,0,5,972,0
18,Bhubaneswar,122,Bhubaneswar North,37,,,,,,,,386,281,16,2,1,0,0,1,687,0,5,692,0
18,Bhubaneswar,122,Bhubaneswar North,38,,,,,,,,309,356,22,1,1,1,0,0,690,0,4,694,0
