pc_id,pc_name,ac_id,ac_name,Sl No.,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Total of valid votes,Votes for NOTA Option,Total,No. of rejected votes,No. of tendere votes
18,Bhubaneswar,125,Begunia,1,,,,,,,,9.0,199.0,283.0,6.0,497.0,3.0,500.0,0.0,0
18,Bhubaneswar,125,Begunia,2,,,,,,,,30.0,142.0,338.0,6.0,516.0,15.0,531.0,0.0,0
18,Bhubaneswar,125,Begunia,3,,,,,,,,26.0,151.0,360.0,31.0,568.0,11.0,579.0,0.0,0
18,Bhubaneswar,125,Begunia,4,,,,,,,,18.0,153.0,352.0,19.0,542.0,6.0,548.0,0.0,0
18,Bhubaneswar,125,Begunia,5,,,,,,,,34.0,214.0,414.0,29.0,691.0,37.0,728.0,0.0,0
18,Bhubaneswar,125,Begunia,6,,,,,,,,31.0,182.0,326.0,12.0,551.0,4.0,555.0,0.0,0
18,Bhubaneswar,125,Begunia,7,,,,,,,,44.0,145.0,434.0,9.0,632.0,13.0,645.0,0.0,0
18,Bhubaneswar,125,Begunia,8,,,,,,,,31.0,187.0,247.0,12.0,477.0,23.0,500.0,0.0,0
18,Bhubaneswar,125,Begunia,9,,,,,,,,38.0,274.0,437.0,31.0,780.0,17.0,797.0,0.0,0
18,Bhubaneswar,125,Begunia,10,,,,,,,,85.0,279.0,391.0,22.0,777.0,19.0,796.0,0.0,0
18,Bhubaneswar,125,Begunia,11,,,,,,,,17.0,279.0,422.0,17.0,735.0,4.0,739.0,0.0,0
18,Bhubaneswar,125,Begunia,12,,,,,,,,20.0,305.0,379.0,36.0,740.0,4.0,744.0,0.0,0
18,Bhubaneswar,125,Begunia,13,,,,,,,,25.0,103.0,222.0,41.0,391.0,4.0,395.0,0.0,0
18,Bhubaneswar,125,Begunia,14,,,,,,,,22.0,159.0,412.0,35.0,628.0,10.0,638.0,0.0,0
18,Bhubaneswar,125,Begunia,15,,,,,,,,12.0,58.0,97.0,210.0,377.0,8.0,385.0,0.0,0
18,Bhubaneswar,125,Begunia,16,,,,,,,,32.0,60.0,323.0,160.0,575.0,8.0,583.0,0.0,0
18,Bhubaneswar,125,Begunia,17,,,,,,,,23.0,241.0,329.0,8.0,601.0,13.0,614.0,0.0,0
18,Bhubaneswar,125,Begunia,18,,,,,,,,9.0,192.0,243.0,1.0,445.0,4.0,449.0,0.0,0
18,Bhubaneswar,125,Begunia,19,,,,,,,,12.0,181.0,434.0,4.0,631.0,3.0,634.0,0.0,0
18,Bhubaneswar,125,Begunia,20,,,,,,,,11.0,221.0,366.0,9.0,607.0,6.0,613.0,0.0,0
18,Bhubaneswar,125,Begunia,21,,,,,,,,24.0,334.0,344.0,5.0,707.0,8.0,715.0,0.0,0
18,Bhubaneswar,125,Begunia,22,,,,,,,,23.0,261.0,334.0,10.0,628.0,28.0,656.0,0.0,0
18,Bhubaneswar,125,Begunia,23,,,,,,,,16.0,316.0,281.0,9.0,622.0,9.0,631.0,0.0,0
18,Bhubaneswar,125,Begunia,24,,,,,,,,8.0,269.0,271.0,7.0,555.0,8.0,563.0,0.0,0
18,Bhubaneswar,125,Begunia,25,,,,,,,,23.0,221.0,347.0,6.0,597.0,12.0,609.0,0.0,0
18,Bhubaneswar,125,Begunia,26,,,,,,,,19.0,208.0,264.0,3.0,494.0,11.0,505.0,0.0,0
18,Bhubaneswar,125,Begunia,27,,,,,,,,16.0,280.0,317.0,6.0,619.0,7.0,626.0,0.0,0
18,Bhubaneswar,125,Begunia,28,,,,,,,,17.0,218.0,272.0,2.0,509.0,8.0,517.0,0.0,0
18,Bhubaneswar,125,Begunia,29,,,,,,,,13.0,221.0,354.0,5.0,593.0,4.0,597.0,0.0,0
18,Bhubaneswar,125,Begunia,30,,,,,,,,15.0,217.0,218.0,3.0,453.0,5.0,458.0,0.0,0
18,Bhubaneswar,125,Begunia,31,,,,,,,,13.0,285.0,265.0,15.0,578.0,14.0,592.0,0.0,0
18,Bhubaneswar,125,Begunia,32,,,,,,,,21.0,265.0,287.0,10.0,583.0,6.0,589.0,0.0,0
18,Bhubaneswar,125,Begunia,33,,,,,,,,55.0,191.0,164.0,21.0,431.0,8.0,439.0,0.0,0
18,Bhubaneswar,125,Begunia,34,,,,,,,,87.0,281.0,325.0,42.0,735.0,29.0,764.0,0.0,0
18,Bhubaneswar,125,Begunia,35,,,,,,,,70.0,190.0,386.0,12.0,658.0,15.0,673.0,0.0,0
18,Bhubaneswar,125,Begunia,36,,,,,,,,84.0,179.0,308.0,13.0,584.0,7.0,591.0,0.0,0
18,Bhubaneswar,125,Begunia,37,,,,,,,,30.0,139.0,242.0,3.0,414.0,3.0,417.0,0.0,0
18,Bhubaneswar,125,Begunia,38,,,,,,,,70.0,243.0,278.0,14.0,605.0,9.0,614.0,0.0,0
18,Bhubaneswar,125,Begunia,39,,,,,,,,44.0,137.0,345.0,21.0,547.0,6.0,553.0,0.0,0
18,Bhubaneswar,125,Begunia,40,,,,,,,,24.0,60.0,306.0,9.0,399.0,10.0,409.0,0.0,0
