pc_id,pc_name,ac_id,ac_name,Sl.No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total of valid votes,No. of rejected votes,NOTA,Total,No. of tendered votes
19,Aska,126,Hinjili,1,,,,,,,,120.0,123.0,482.0,21.0,21.0,19.0,786,0,30.0,816,0
19,Aska,126,Hinjili,2,,,,,,,,191.0,126.0,254.0,11.0,7.0,12.0,601,0,8.0,609,0
19,Aska,126,Hinjili,3,,,,,,,,262.0,110.0,209.0,12.0,13.0,13.0,619,0,24.0,643,0
19,Aska,126,Hinjili,4,,,,,,,,40.0,22.0,351.0,11.0,1.0,14.0,439,0,11.0,450,0
19,Aska,126,Hinjili,5,,,,,,,,189.0,20.0,473.0,12.0,9.0,12.0,715,0,20.0,735,0
19,Aska,126,Hinjili,6,,,,,,,,152.0,20.0,390.0,11.0,9.0,8.0,590,0,27.0,617,0
19,Aska,126,Hinjili,7,,,,,,,,150.0,20.0,382.0,7.0,8.0,8.0,575,0,12.0,587,0
19,Aska,126,Hinjili,8,,,,,,,,142.0,16.0,295.0,7.0,2.0,2.0,464,0,1.0,465,0
19,Aska,126,Hinjili,9,,,,,,,,174.0,17.0,427.0,13.0,2.0,1.0,634,0,1.0,635,0
19,Aska,126,Hinjili,10,,,,,,,,111.0,21.0,350.0,8.0,7.0,4.0,501,0,7.0,508,0
19,Aska,126,Hinjili,11,,,,,,,,190.0,43.0,256.0,30.0,5.0,3.0,527,0,1.0,528,0
19,Aska,126,Hinjili,12,,,,,,,,221.0,26.0,405.0,8.0,4.0,5.0,669,0,15.0,684,0
19,Aska,126,Hinjili,13,,,,,,,,nan,nan,nan,nan,nan,nan,0,0,nan,0,0
19,Aska,126,Hinjili,14,,,,,,,,163.0,4.0,155.0,0.0,1.0,0.0,323,0,2.0,325,0
19,Aska,126,Hinjili,15,,,,,,,,433.0,22.0,234.0,5.0,0.0,3.0,697,0,1.0,698,0
19,Aska,126,Hinjili,16,,,,,,,,126.0,4.0,162.0,0.0,0.0,0.0,292,0,1.0,293,0
19,Aska,126,Hinjili,17,,,,,,,,243.0,8.0,558.0,5.0,5.0,5.0,824,0,2.0,826,0
19,Aska,126,Hinjili,18,,,,,,,,192.0,13.0,331.0,5.0,0.0,1.0,542,0,9.0,551,0
19,Aska,126,Hinjili,19,,,,,,,,99.0,2.0,307.0,2.0,2.0,1.0,413,0,9.0,422,0
19,Aska,126,Hinjili,20,,,,,,,,148.0,3.0,574.0,2.0,1.0,0.0,728,0,0.0,728,0
19,Aska,126,Hinjili,21,,,,,,,,263.0,15.0,428.0,10.0,6.0,4.0,726,0,4.0,730,0
19,Aska,126,Hinjili,22,,,,,,,,87.0,4.0,179.0,7.0,6.0,6.0,289,0,18.0,307,0
19,Aska,126,Hinjili,23,,,,,,,,338.0,13.0,357.0,3.0,6.0,2.0,719,0,6.0,725,0
19,Aska,126,Hinjili,24,,,,,,,,107.0,11.0,458.0,12.0,4.0,2.0,594,0,13.0,607,0
19,Aska,126,Hinjili,25,,,,,,,,146.0,5.0,296.0,9.0,8.0,3.0,467,0,8.0,475,0
19,Aska,126,Hinjili,26,,,,,,,,383.0,46.0,329.0,9.0,2.0,3.0,772,0,6.0,778,0
19,Aska,126,Hinjili,27,,,,,,,,340.0,56.0,332.0,11.0,7.0,16.0,762,0,14.0,776,0
19,Aska,126,Hinjili,28,,,,,,,,341.0,21.0,356.0,14.0,8.0,5.0,745,0,9.0,754,0
19,Aska,126,Hinjili,29,,,,,,,,248.0,14.0,322.0,5.0,2.0,6.0,597,0,5.0,602,0
19,Aska,126,Hinjili,30,,,,,,,,73.0,7.0,241.0,5.0,0.0,4.0,330,0,3.0,333,0
19,Aska,126,Hinjili,31,,,,,,,,325.0,16.0,437.0,11.0,13.0,12.0,814,0,7.0,821,0
19,Aska,126,Hinjili,32,,,,,,,,111.0,11.0,397.0,7.0,4.0,2.0,532,0,16.0,548,0
19,Aska,126,Hinjili,33,,,,,,,,59.0,2.0,533.0,5.0,2.0,2.0,603,0,10.0,613,0
19,Aska,126,Hinjili,34,,,,,,,,184.0,16.0,404.0,9.0,5.0,8.0,626,0,12.0,638,0
19,Aska,126,Hinjili,35,,,,,,,,142.0,15.0,100.0,2.0,2.0,1.0,262,0,5.0,267,0
19,Aska,126,Hinjili,36,,,,,,,,235.0,14.0,230.0,2.0,2.0,2.0,485,0,0.0,485,0
19,Aska,126,Hinjili,37,,,,,,,,281.0,12.0,259.0,6.0,4.0,6.0,568,0,17.0,585,0
19,Aska,126,Hinjili,38,,,,,,,,259.0,17.0,496.0,2.0,3.0,3.0,780,0,14.0,794,0
19,Aska,126,Hinjili,39,,,,,,,,159.0,16.0,454.0,11.0,4.0,7.0,651,0,12.0,663,0
19,Aska,126,Hinjili,40,,,,,,,,255.0,93.0,577.0,17.0,12.0,8.0,962,0,15.0,977,0
19,Aska,126,Hinjili,41,,,,,,,,262.0,68.0,545.0,39.0,5.0,1.0,920,0,8.0,928,0
19,Aska,126,Hinjili,42,,,,,,,,167.0,104.0,506.0,29.0,11.0,21.0,838,0,27.0,865,0
19,Aska,126,Hinjili,43,,,,,,,,263.0,69.0,395.0,12.0,2.0,3.0,744,0,11.0,755,0
19,Aska,126,Hinjili,44,,,,,,,,182.0,34.0,368.0,24.0,19.0,7.0,634,0,5.0,639,0
19,Aska,126,Hinjili,45,,,,,,,,93.0,24.0,349.0,6.0,6.0,7.0,485,0,7.0,492,0
19,Aska,126,Hinjili,46,,,,,,,,297.0,28.0,292.0,12.0,5.0,1.0,635,0,7.0,642,0
19,Aska,126,Hinjili,47,,,,,,,,133.0,86.0,372.0,5.0,7.0,3.0,606,0,5.0,611,0
19,Aska,126,Hinjili,48,,,,,,,,242.0,14.0,364.0,3.0,4.0,4.0,631,0,10.0,641,0
19,Aska,126,Hinjili,49,,,,,,,,230.0,17.0,279.0,7.0,4.0,5.0,542,0,9.0,551,0
19,Aska,126,Hinjili,50,,,,,,,,39.0,1.0,593.0,4.0,1.0,0.0,638,0,1.0,639,0
19,Aska,126,Hinjili,51,,,,,,,,40.0,4.0,100.0,2.0,0.0,0.0,146,0,2.0,148,0
19,Aska,126,Hinjili,52,,,,,,,,179.0,14.0,208.0,3.0,3.0,5.0,412,0,16.0,428,0
19,Aska,126,Hinjili,53,,,,,,,,137.0,9.0,351.0,6.0,8.0,1.0,512,0,3.0,515,0
19,Aska,126,Hinjili,54,,,,,,,,327.0,8.0,205.0,10.0,3.0,3.0,556,0,13.0,569,0
19,Aska,126,Hinjili,55,,,,,,,,230.0,12.0,251.0,7.0,2.0,1.0,503,0,3.0,506,0
19,Aska,126,Hinjili,56,,,,,,,,405.0,14.0,306.0,6.0,3.0,4.0,738,0,12.0,750,0
19,Aska,126,Hinjili,57,,,,,,,,334.0,7.0,199.0,4.0,2.0,3.0,549,0,4.0,553,0
