pc_id,pc_name,ac_id,ac_name,Sl.No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total of valid votes,No. of rejected votes,NOTA,Total,No. of tendered votes
19,Aska,127,Polasara,1,,,,,,,,40.0,147.0,9.0,818.0,9.0,4.0,8.0,4.0,1039.0,0,13.0,1052.0,0
19,Aska,127,Polasara,2,,,,,,,,17.0,68.0,7.0,455.0,11.0,3.0,4.0,1.0,566.0,0,1.0,567.0,0
19,Aska,127,Polasara,3,,,,,,,,23.0,115.0,12.0,584.0,1.0,11.0,2.0,2.0,750.0,0,9.0,759.0,0
19,Aska,127,Polasara,4,,,,,,,,35.0,150.0,8.0,357.0,11.0,2.0,7.0,8.0,578.0,0,17.0,595.0,0
19,Aska,127,Polasara,5,,,,,,,,31.0,125.0,7.0,444.0,8.0,8.0,4.0,7.0,634.0,0,8.0,642.0,0
19,Aska,127,Polasara,6,,,,,,,,39.0,237.0,1.0,269.0,5.0,2.0,8.0,5.0,566.0,0,4.0,570.0,0
19,Aska,127,Polasara,7,,,,,,,,21.0,155.0,8.0,456.0,2.0,2.0,7.0,2.0,653.0,0,12.0,665.0,0
19,Aska,127,Polasara,8,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
19,Aska,127,Polasara,9,,,,,,,,35.0,297.0,9.0,456.0,5.0,7.0,6.0,4.0,819.0,0,9.0,828.0,0
19,Aska,127,Polasara,10,,,,,,,,22.0,197.0,9.0,335.0,10.0,3.0,3.0,5.0,584.0,0,9.0,593.0,0
19,Aska,127,Polasara,11,,,,,,,,40.0,291.0,6.0,411.0,3.0,3.0,4.0,5.0,763.0,0,6.0,769.0,0
19,Aska,127,Polasara,12,,,,,,,,23.0,226.0,7.0,298.0,8.0,4.0,9.0,7.0,582.0,0,17.0,599.0,0
