pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total No. of valid votes,No. of rejected votes (Test votes),Votes for NOTA option,Total No. of tendered votes.,Total No. of votes.
19,Aska,128,Kabisuryanagar,1,,,,,,,,60,39,368,4,2,1,474,0,9,0,483
19,Aska,128,Kabisuryanagar,2,,,,,,,,85,38,330,7,1,4,465,0,7,0,472
19,Aska,128,Kabisuryanagar,3,,,,,,,,155,28,559,4,4,1,751,0,5,0,756
19,Aska,128,Kabisuryanagar,4,,,,,,,,161,26,289,6,7,0,489,0,14,0,503
19,Aska,128,Kabisuryanagar,5,,,,,,,,36,11,141,0,5,4,197,0,4,0,201
19,Aska,128,Kabisuryanagar,6,,,,,,,,137,34,349,5,3,4,532,0,5,0,537
19,Aska,128,Kabisuryanagar,7,,,,,,,,65,27,359,5,0,5,461,0,4,0,465
19,Aska,128,Kabisuryanagar,8,,,,,,,,119,11,341,2,1,1,475,0,1,0,476
19,Aska,128,Kabisuryanagar,9,,,,,,,,164,15,322,4,8,6,519,0,9,0,528
19,Aska,128,Kabisuryanagar,10,,,,,,,,4,3,489,0,0,0,496,0,0,0,496
19,Aska,128,Kabisuryanagar,11,,,,,,,,118,39,261,0,5,2,425,0,8,0,433
19,Aska,128,Kabisuryanagar,12,,,,,,,,104,31,266,2,4,5,412,0,6,0,418
19,Aska,128,Kabisuryanagar,13,,,,,,,,174,39,511,7,7,5,743,0,7,0,750
19,Aska,128,Kabisuryanagar,14,,,,,,,,280,24,357,4,3,6,674,0,5,0,679
19,Aska,128,Kabisuryanagar,15,,,,,,,,282,24,230,1,3,5,545,0,16,0,561
19,Aska,128,Kabisuryanagar,16,,,,,,,,223,14,295,8,7,10,557,0,14,0,571
19,Aska,128,Kabisuryanagar,17,,,,,,,,25,64,230,2,2,3,326,0,2,0,328
19,Aska,128,Kabisuryanagar,18,,,,,,,,150,108,432,6,6,2,704,0,6,0,710
19,Aska,128,Kabisuryanagar,19,,,,,,,,184,35,352,4,4,0,579,0,10,0,589
19,Aska,128,Kabisuryanagar,20,,,,,,,,169,26,313,6,1,2,517,0,16,0,533
19,Aska,128,Kabisuryanagar,21,,,,,,,,203,25,489,12,6,11,746,0,7,0,753
19,Aska,128,Kabisuryanagar,22,,,,,,,,273,57,308,3,20,7,668,0,22,0,690
19,Aska,128,Kabisuryanagar,23,,,,,,,,174,17,142,2,2,2,339,0,2,0,341
