pc_id,pc_name,ac_id,ac_name,Serial No. Of Polling station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Total of vaild votes(Test votes),Total of rejected votes (test Votes),Votes for NOTA option,Total No of Votes,Total No of tendered votes
19,Aska,129,Khalikote,1,,,,,,,,301.0,541.0,25.0,4.0,4.0,875,0,1.0,876,0
19,Aska,129,Khalikote,2,,,,,,,,113.0,231.0,98.0,3.0,4.0,449,0,13.0,462,0
19,Aska,129,Khalikote,3,,,,,,,,161.0,416.0,33.0,6.0,9.0,625,0,36.0,661,0
19,Aska,129,Khalikote,4,,,,,,,,328.0,307.0,39.0,8.0,12.0,694,0,16.0,710,0
19,Aska,129,Khalikote,5,,,,,,,,301.0,282.0,28.0,3.0,8.0,622,0,25.0,647,0
19,Aska,129,Khalikote,6,,,,,,,,106.0,400.0,15.0,7.0,1.0,529,0,7.0,536,0
19,Aska,129,Khalikote,7,,,,,,,,46.0,67.0,53.0,2.0,4.0,172,0,3.0,175,0
19,Aska,129,Khalikote,8,,,,,,,,242.0,479.0,37.0,5.0,20.0,783,0,9.0,792,0
19,Aska,129,Khalikote,9,,,,,,,,415.0,404.0,22.0,7.0,4.0,852,0,13.0,865,0
19,Aska,129,Khalikote,10,,,,,,,,401.0,222.0,11.0,4.0,3.0,641,0,5.0,646,0
19,Aska,129,Khalikote,11,,,,,,,,197.0,113.0,1.0,1.0,2.0,314,0,9.0,323,0
19,Aska,129,Khalikote,12,,,,,,,,287.0,304.0,17.0,11.0,10.0,629,0,22.0,651,0
19,Aska,129,Khalikote,13,,,,,,,,289.0,217.0,10.0,7.0,2.0,525,0,13.0,538,0
19,Aska,129,Khalikote,14,,,,,,,,185.0,265.0,32.0,5.0,11.0,498,0,39.0,537,0
19,Aska,129,Khalikote,15,,,,,,,,373.0,233.0,28.0,3.0,2.0,639,0,12.0,651,0
19,Aska,129,Khalikote,16,,,,,,,,287.0,360.0,12.0,12.0,14.0,685,0,26.0,711,0
