pc_id,pc_name,ac_id,ac_name,Sl. No.Polling,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Total Valid votes,Reject Votes,Votes for NOTA option,Total,Tendered votes
19,Aska,130,Aska,1,,,,,,,,0.0,136.0,9.0,177.0,9.0,331.0,0.0,4.0,335.0,0.0
19,Aska,130,Aska,2,,,,,,,,4.0,253.0,9.0,56.0,2.0,324.0,0.0,7.0,331.0,0.0
19,Aska,130,Aska,3,,,,,,,,8.0,233.0,51.0,414.0,18.0,724.0,0.0,40.0,764.0,0.0
19,Aska,130,Aska,4,,,,,,,,7.0,215.0,52.0,358.0,17.0,649.0,0.0,14.0,663.0,0.0
19,Aska,130,Aska,5,,,,,,,,4.0,130.0,16.0,189.0,6.0,345.0,0.0,9.0,354.0,0.0
19,Aska,130,Aska,6,,,,,,,,5.0,290.0,145.0,262.0,16.0,718.0,0.0,15.0,733.0,0.0
19,Aska,130,Aska,7,,,,,,,,7.0,123.0,49.0,558.0,11.0,748.0,0.0,17.0,765.0,0.0
19,Aska,130,Aska,8,,,,,,,,10.0,305.0,74.0,396.0,17.0,802.0,0.0,26.0,828.0,0.0
19,Aska,130,Aska,9,,,,,,,,3.0,339.0,40.0,232.0,9.0,623.0,0.0,8.0,631.0,0.0
19,Aska,130,Aska,10,,,,,,,,10.0,154.0,114.0,377.0,7.0,662.0,0.0,25.0,687.0,0.0
19,Aska,130,Aska,11,,,,,,,,7.0,117.0,53.0,247.0,8.0,432.0,0.0,10.0,442.0,0.0
19,Aska,130,Aska,12,,,,,,,,5.0,228.0,61.0,245.0,13.0,552.0,0.0,11.0,563.0,0.0
19,Aska,130,Aska,13,,,,,,,,5.0,41.0,34.0,330.0,2.0,412.0,0.0,6.0,418.0,0.0
19,Aska,130,Aska,14,,,,,,,,4.0,201.0,45.0,160.0,7.0,417.0,0.0,12.0,429.0,0.0
19,Aska,130,Aska,15,,,,,,,,3.0,303.0,37.0,108.0,8.0,459.0,0.0,10.0,469.0,0.0
19,Aska,130,Aska,16,,,,,,,,6.0,246.0,82.0,323.0,5.0,662.0,0.0,8.0,670.0,0.0
19,Aska,130,Aska,17,,,,,,,,7.0,234.0,77.0,234.0,5.0,557.0,0.0,4.0,561.0,0.0
19,Aska,130,Aska,18,,,,,,,,0.0,28.0,19.0,73.0,0.0,120.0,0.0,3.0,123.0,0.0
19,Aska,130,Aska,19,,,,,,,,5.0,212.0,63.0,377.0,16.0,673.0,0.0,7.0,680.0,0.0
19,Aska,130,Aska,20,,,,,,,,1.0,123.0,50.0,189.0,3.0,366.0,0.0,12.0,378.0,0.0
19,Aska,130,Aska,21,,,,,,,,0.0,314.0,7.0,8.0,0.0,329.0,0.0,1.0,330.0,0.0
19,Aska,130,Aska,22,,,,,,,,5.0,89.0,30.0,154.0,5.0,283.0,0.0,2.0,285.0,0.0
19,Aska,130,Aska,23,,,,,,,,3.0,74.0,45.0,186.0,1.0,309.0,0.0,1.0,310.0,0.0
19,Aska,130,Aska,24,,,,,,,,0.0,191.0,42.0,192.0,7.0,432.0,0.0,11.0,443.0,0.0
19,Aska,130,Aska,25,,,,,,,,2.0,161.0,46.0,149.0,2.0,360.0,0.0,2.0,362.0,0.0
19,Aska,130,Aska,26,,,,,,,,2.0,192.0,43.0,206.0,10.0,453.0,0.0,3.0,456.0,0.0
19,Aska,130,Aska,27,,,,,,,,5.0,237.0,56.0,365.0,6.0,669.0,0.0,20.0,689.0,0.0
19,Aska,130,Aska,28,,,,,,,,1.0,283.0,65.0,210.0,3.0,562.0,0.0,8.0,570.0,0.0
19,Aska,130,Aska,29,,,,,,,,4.0,160.0,39.0,89.0,1.0,293.0,0.0,3.0,296.0,0.0
19,Aska,130,Aska,30,,,,,,,,16.0,262.0,42.0,122.0,5.0,447.0,0.0,17.0,464.0,0.0
19,Aska,130,Aska,31,,,,,,,,0.0,331.0,17.0,51.0,0.0,399.0,0.0,4.0,403.0,0.0
19,Aska,130,Aska,32,,,,,,,,5.0,181.0,98.0,146.0,10.0,440.0,0.0,12.0,452.0,0.0
19,Aska,130,Aska,33,,,,,,,,1.0,189.0,66.0,141.0,4.0,401.0,0.0,2.0,403.0,0.0
19,Aska,130,Aska,34,,,,,,,,1.0,285.0,21.0,177.0,6.0,490.0,0.0,10.0,500.0,0.0
19,Aska,130,Aska,35,,,,,,,,4.0,113.0,31.0,316.0,2.0,466.0,0.0,10.0,476.0,0.0
19,Aska,130,Aska,36,,,,,,,,4.0,340.0,32.0,48.0,4.0,428.0,0.0,4.0,432.0,0.0
19,Aska,130,Aska,37,,,,,,,,11.0,469.0,124.0,175.0,30.0,809.0,0.0,30.0,839.0,0.0
19,Aska,130,Aska,38,,,,,,,,11.0,453.0,74.0,142.0,4.0,684.0,0.0,10.0,694.0,0.0
19,Aska,130,Aska,39,,,,,,,,6.0,272.0,62.0,162.0,1.0,503.0,0.0,2.0,505.0,0.0
19,Aska,130,Aska,40,,,,,,,,5.0,220.0,39.0,123.0,5.0,392.0,0.0,8.0,400.0,0.0
19,Aska,130,Aska,41,,,,,,,,6.0,185.0,43.0,150.0,4.0,388.0,0.0,6.0,394.0,0.0
19,Aska,130,Aska,42,,,,,,,,4.0,599.0,87.0,99.0,7.0,796.0,0.0,22.0,818.0,0.0
19,Aska,130,Aska,43,,,,,,,,7.0,567.0,90.0,60.0,6.0,730.0,0.0,9.0,739.0,0.0
19,Aska,130,Aska,44,,,,,,,,5.0,416.0,71.0,75.0,5.0,572.0,0.0,13.0,585.0,0.0
19,Aska,130,Aska,45,,,,,,,,7.0,333.0,77.0,390.0,7.0,814.0,0.0,17.0,831.0,0.0
19,Aska,130,Aska,46,,,,,,,,8.0,232.0,90.0,259.0,8.0,597.0,0.0,9.0,606.0,0.0
19,Aska,130,Aska,47,,,,,,,,6.0,315.0,56.0,162.0,4.0,543.0,0.0,5.0,548.0,0.0
19,Aska,130,Aska,48,,,,,,,,3.0,160.0,26.0,162.0,4.0,355.0,0.0,13.0,368.0,0.0
19,Aska,130,Aska,49,,,,,,,,4.0,150.0,42.0,255.0,2.0,453.0,0.0,0.0,453.0,0.0
19,Aska,130,Aska,50,,,,,,,,6.0,213.0,75.0,77.0,3.0,374.0,0.0,6.0,380.0,0.0
19,Aska,130,Aska,51,,,,,,,,6.0,254.0,78.0,309.0,7.0,654.0,0.0,7.0,661.0,0.0
19,Aska,130,Aska,52,,,,,,,,7.0,203.0,82.0,309.0,11.0,612.0,0.0,11.0,623.0,0.0
19,Aska,130,Aska,53,,,,,,,,4.0,221.0,64.0,281.0,5.0,575.0,0.0,11.0,586.0,0.0
19,Aska,130,Aska,54,,,,,,,,3.0,159.0,32.0,256.0,5.0,455.0,0.0,7.0,462.0,0.0
19,Aska,130,Aska,55,,,,,,,,9.0,185.0,45.0,413.0,7.0,659.0,0.0,7.0,666.0,0.0
19,Aska,130,Aska,56,,,,,,,,3.0,148.0,124.0,138.0,7.0,420.0,0.0,9.0,429.0,0.0
19,Aska,130,Aska,57,,,,,,,,11.0,129.0,160.0,126.0,4.0,430.0,0.0,10.0,440.0,0.0
19,Aska,130,Aska,58,,,,,,,,3.0,84.0,28.0,352.0,3.0,470.0,0.0,0.0,470.0,0.0
19,Aska,130,Aska,59,,,,,,,,2.0,236.0,73.0,180.0,4.0,495.0,0.0,12.0,507.0,0.0
19,Aska,130,Aska,60,,,,,,,,10.0,304.0,84.0,129.0,12.0,539.0,0.0,12.0,551.0,0.0
19,Aska,130,Aska,61,,,,,,,,4.0,141.0,59.0,222.0,5.0,431.0,0.0,6.0,437.0,0.0
19,Aska,130,Aska,62,,,,,,,,3.0,131.0,78.0,270.0,4.0,486.0,0.0,6.0,492.0,0.0
19,Aska,130,Aska,63,,,,,,,,3.0,201.0,41.0,265.0,3.0,513.0,0.0,8.0,521.0,0.0
19,Aska,130,Aska,64,,,,,,,,0.0,183.0,42.0,193.0,2.0,420.0,0.0,2.0,422.0,0.0
19,Aska,130,Aska,65,,,,,,,,8.0,166.0,62.0,277.0,0.0,513.0,0.0,3.0,516.0,0.0
19,Aska,130,Aska,66,,,,,,,,2.0,178.0,32.0,362.0,3.0,577.0,0.0,9.0,586.0,0.0
19,Aska,130,Aska,67,,,,,,,,4.0,232.0,42.0,183.0,6.0,467.0,0.0,9.0,476.0,0.0
19,Aska,130,Aska,68,,,,,,,,3.0,172.0,88.0,431.0,10.0,704.0,0.0,24.0,728.0,0.0
19,Aska,130,Aska,69,,,,,,,,1.0,413.0,143.0,214.0,1.0,772.0,0.0,3.0,775.0,0.0
19,Aska,130,Aska,70,,,,,,,,0.0,192.0,29.0,44.0,3.0,268.0,0.0,4.0,272.0,0.0
19,Aska,130,Aska,71,,,,,,,,1.0,233.0,45.0,32.0,11.0,322.0,0.0,10.0,332.0,0.0
19,Aska,130,Aska,72,,,,,,,,2.0,424.0,60.0,235.0,9.0,730.0,0.0,17.0,747.0,0.0
19,Aska,130,Aska,73,,,,,,,,8.0,214.0,59.0,202.0,3.0,486.0,0.0,11.0,497.0,0.0
19,Aska,130,Aska,74,,,,,,,,3.0,307.0,36.0,137.0,3.0,486.0,0.0,6.0,492.0,0.0
19,Aska,130,Aska,75,,,,,,,,5.0,672.0,27.0,110.0,5.0,819.0,0.0,2.0,821.0,0.0
19,Aska,130,Aska,76,,,,,,,,8.0,239.0,46.0,353.0,20.0,666.0,0.0,24.0,690.0,0.0
19,Aska,130,Aska,77,,,,,,,,1.0,209.0,28.0,130.0,1.0,369.0,0.0,2.0,371.0,0.0
19,Aska,130,Aska,78,,,,,,,,6.0,315.0,38.0,354.0,10.0,723.0,0.0,27.0,750.0,0.0
19,Aska,130,Aska,79,,,,,,,,1.0,164.0,29.0,391.0,1.0,586.0,0.0,9.0,595.0,0.0
19,Aska,130,Aska,80,,,,,,,,6.0,427.0,86.0,185.0,10.0,714.0,0.0,21.0,735.0,0.0
19,Aska,130,Aska,81,,,,,,,,10.0,235.0,39.0,188.0,10.0,482.0,0.0,22.0,504.0,0.0
19,Aska,130,Aska,82,,,,,,,,10.0,292.0,38.0,302.0,11.0,653.0,0.0,31.0,684.0,0.0
19,Aska,130,Aska,83,,,,,,,,6.0,300.0,53.0,320.0,4.0,683.0,0.0,11.0,694.0,0.0
19,Aska,130,Aska,84,,,,,,,,6.0,323.0,36.0,219.0,8.0,592.0,0.0,16.0,608.0,0.0
19,Aska,130,Aska,85,,,,,,,,5.0,115.0,40.0,178.0,4.0,342.0,0.0,7.0,349.0,0.0
