pc_id,pc_name,ac_id,ac_name,Sl. No. Polling,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Total Valid votes,Reject votes,Votes for NOTA ,Total,No. of tendered votes
19,Aska,132,Sanakhemundi,1,,,,,,,,12.0,272.0,209.0,5.0,6.0,1.0,6.0,511.0,0.0,1.0,512.0,0.0
19,Aska,132,Sanakhemundi,2,,,,,,,,17.0,290.0,251.0,7.0,3.0,6.0,10.0,584.0,0.0,4.0,588.0,0.0
19,Aska,132,Sanakhemundi,3,,,,,,,,41.0,332.0,316.0,5.0,7.0,2.0,4.0,707.0,0.0,8.0,715.0,0.0
19,Aska,132,Sanakhemundi,4,,,,,,,,22.0,416.0,268.0,1.0,2.0,0.0,5.0,714.0,0.0,0.0,714.0,0.0
19,Aska,132,Sanakhemundi,5,,,,,,,,34.0,415.0,215.0,1.0,2.0,1.0,5.0,673.0,0.0,7.0,680.0,0.0
19,Aska,132,Sanakhemundi,6,,,,,,,,40.0,483.0,337.0,5.0,5.0,3.0,5.0,878.0,0.0,10.0,888.0,0.0
19,Aska,132,Sanakhemundi,7,,,,,,,,44.0,496.0,284.0,9.0,8.0,4.0,10.0,855.0,0.0,9.0,864.0,0.0
19,Aska,132,Sanakhemundi,8,,,,,,,,27.0,336.0,283.0,5.0,9.0,5.0,9.0,674.0,0.0,14.0,688.0,0.0
19,Aska,132,Sanakhemundi,9,,,,,,,,33.0,388.0,243.0,3.0,7.0,4.0,6.0,684.0,0.0,5.0,689.0,0.0
19,Aska,132,Sanakhemundi,10,,,,,,,,19.0,224.0,228.0,1.0,1.0,0.0,3.0,476.0,0.0,1.0,477.0,0.0
19,Aska,132,Sanakhemundi,11,,,,,,,,16.0,366.0,385.0,7.0,3.0,14.0,20.0,811.0,0.0,22.0,833.0,0.0
19,Aska,132,Sanakhemundi,12,,,,,,,,10.0,307.0,204.0,1.0,4.0,5.0,7.0,538.0,0.0,21.0,559.0,0.0
19,Aska,132,Sanakhemundi,13,,,,,,,,16.0,412.0,340.0,7.0,2.0,5.0,13.0,795.0,0.0,17.0,812.0,0.0
19,Aska,132,Sanakhemundi,14,,,,,,,,18.0,189.0,318.0,5.0,6.0,3.0,7.0,546.0,0.0,4.0,550.0,0.0
19,Aska,132,Sanakhemundi,15,,,,,,,,34.0,406.0,276.0,6.0,4.0,5.0,8.0,739.0,0.0,7.0,746.0,0.0
19,Aska,132,Sanakhemundi,16,,,,,,,,21.0,258.0,143.0,3.0,1.0,0.0,7.0,433.0,0.0,3.0,436.0,0.0
19,Aska,132,Sanakhemundi,17,,,,,,,,13.0,232.0,108.0,2.0,1.0,1.0,1.0,358.0,0.0,4.0,362.0,0.0
19,Aska,132,Sanakhemundi,18,,,,,,,,37.0,244.0,203.0,6.0,4.0,5.0,4.0,503.0,0.0,3.0,506.0,0.0
19,Aska,132,Sanakhemundi,19,,,,,,,,39.0,337.0,219.0,8.0,5.0,4.0,3.0,615.0,0.0,3.0,618.0,0.0
19,Aska,132,Sanakhemundi,20,,,,,,,,22.0,253.0,244.0,5.0,8.0,6.0,7.0,545.0,0.0,12.0,557.0,0.0
19,Aska,132,Sanakhemundi,21,,,,,,,,11.0,225.0,79.0,3.0,0.0,1.0,1.0,320.0,0.0,1.0,321.0,0.0
19,Aska,132,Sanakhemundi,22,,,,,,,,18.0,430.0,255.0,2.0,5.0,5.0,5.0,720.0,0.0,7.0,727.0,0.0
19,Aska,132,Sanakhemundi,23,,,,,,,,16.0,340.0,284.0,3.0,6.0,7.0,7.0,663.0,0.0,9.0,672.0,0.0
19,Aska,132,Sanakhemundi,24,,,,,,,,19.0,304.0,310.0,4.0,3.0,1.0,6.0,647.0,0.0,1.0,648.0,0.0
19,Aska,132,Sanakhemundi,25,,,,,,,,23.0,402.0,393.0,4.0,6.0,1.0,17.0,846.0,0.0,7.0,853.0,0.0
19,Aska,132,Sanakhemundi,26,,,,,,,,17.0,512.0,324.0,2.0,4.0,2.0,13.0,874.0,0.0,4.0,878.0,0.0
19,Aska,132,Sanakhemundi,27,,,,,,,,29.0,358.0,333.0,2.0,7.0,2.0,13.0,744.0,0.0,7.0,751.0,0.0
19,Aska,132,Sanakhemundi,28,,,,,,,,16.0,241.0,280.0,4.0,1.0,2.0,10.0,554.0,0.0,6.0,560.0,0.0
19,Aska,132,Sanakhemundi,29,,,,,,,,37.0,298.0,326.0,1.0,3.0,9.0,12.0,686.0,0.0,11.0,697.0,0.0
19,Aska,132,Sanakhemundi,30,,,,,,,,18.0,240.0,287.0,1.0,2.0,0.0,13.0,561.0,0.0,3.0,564.0,0.0
19,Aska,132,Sanakhemundi,31,,,,,,,,15.0,259.0,329.0,2.0,7.0,0.0,31.0,643.0,0.0,6.0,649.0,0.0
19,Aska,132,Sanakhemundi,32,,,,,,,,18.0,241.0,222.0,2.0,2.0,2.0,0.0,487.0,0.0,4.0,491.0,0.0
19,Aska,132,Sanakhemundi,33,,,,,,,,11.0,150.0,109.0,0.0,3.0,0.0,1.0,274.0,0.0,7.0,281.0,0.0
19,Aska,132,Sanakhemundi,34,,,,,,,,13.0,213.0,216.0,0.0,0.0,0.0,0.0,442.0,0.0,1.0,443.0,0.0
19,Aska,132,Sanakhemundi,35,,,,,,,,10.0,198.0,254.0,0.0,1.0,0.0,7.0,470.0,0.0,5.0,475.0,0.0
19,Aska,132,Sanakhemundi,36,,,,,,,,22.0,290.0,365.0,3.0,1.0,3.0,7.0,691.0,0.0,7.0,698.0,0.0
19,Aska,132,Sanakhemundi,37,,,,,,,,16.0,271.0,298.0,1.0,4.0,7.0,9.0,606.0,0.0,7.0,613.0,0.0
19,Aska,132,Sanakhemundi,38,,,,,,,,11.0,230.0,280.0,0.0,0.0,5.0,7.0,533.0,0.0,9.0,542.0,0.0
19,Aska,132,Sanakhemundi,39,,,,,,,,20.0,198.0,253.0,0.0,0.0,0.0,7.0,478.0,0.0,5.0,483.0,0.0
19,Aska,132,Sanakhemundi,40,,,,,,,,24.0,255.0,249.0,0.0,1.0,1.0,5.0,535.0,0.0,5.0,540.0,0.0
19,Aska,132,Sanakhemundi,41,,,,,,,,68.0,331.0,185.0,1.0,0.0,1.0,5.0,591.0,0.0,4.0,595.0,0.0
19,Aska,132,Sanakhemundi,42,,,,,,,,19.0,166.0,223.0,3.0,1.0,0.0,4.0,416.0,0.0,7.0,423.0,0.0
19,Aska,132,Sanakhemundi,43,,,,,,,,28.0,361.0,367.0,2.0,1.0,2.0,2.0,763.0,0.0,3.0,766.0,0.0
19,Aska,132,Sanakhemundi,44,,,,,,,,16.0,252.0,320.0,0.0,0.0,0.0,2.0,590.0,0.0,4.0,594.0,0.0
19,Aska,132,Sanakhemundi,45,,,,,,,,15.0,131.0,199.0,0.0,0.0,0.0,0.0,345.0,0.0,2.0,347.0,0.0
19,Aska,132,Sanakhemundi,46,,,,,,,,28.0,373.0,284.0,2.0,6.0,3.0,7.0,703.0,0.0,16.0,719.0,0.0
19,Aska,132,Sanakhemundi,47,,,,,,,,43.0,449.0,191.0,4.0,10.0,6.0,12.0,715.0,0.0,9.0,724.0,0.0
19,Aska,132,Sanakhemundi,48,,,,,,,,16.0,318.0,164.0,1.0,1.0,4.0,3.0,507.0,0.0,10.0,517.0,0.0
19,Aska,132,Sanakhemundi,49,,,,,,,,24.0,253.0,241.0,1.0,1.0,1.0,0.0,521.0,0.0,1.0,522.0,0.0
19,Aska,132,Sanakhemundi,50,,,,,,,,37.0,305.0,292.0,8.0,0.0,5.0,4.0,651.0,0.0,7.0,658.0,0.0
19,Aska,132,Sanakhemundi,51,,,,,,,,23.0,222.0,266.0,8.0,0.0,0.0,6.0,525.0,0.0,2.0,527.0,0.0
19,Aska,132,Sanakhemundi,52,,,,,,,,20.0,400.0,175.0,2.0,5.0,0.0,0.0,602.0,0.0,1.0,603.0,0.0
