pc_id,pc_name,ac_id,ac_name,Abani Kuamr Gaya,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Candidate 13,Total,Total Valid votes,Unnamed: 1,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Votes for NOTA option
20,Berhampur,133,Paralakhemundi,nan,,,,,,,,nan,nan,"Sl. No. Polling 
Station No.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Ashok 
Kumar 
Sahoo",Sumit Patro,"Total Valid 
votes","Reject 
votes
 (Test 
Vote)","Votes for 
NOTA 
option",Total,"No. of 
Tendered 
votes","Kanhu 
Charan Pati","Bikram 
Kumar 
Panda","Lingaraj 
Chaudhury","Gobinda 
Chandra 
Sahu","Siba sankar 
Mishra","Abani 
Kuamr 
Gaya","Jeebano 
Patro","Siva 
Shankar 
Dash",nan
20,Berhampur,133,Paralakhemundi,nan,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,A,J,K,L,M,N,O,B,C,D,E,F,G,H,I,nan
20,Berhampur,133,Paralakhemundi,nan,,,,,,,,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20,6,1029,0,10,1039,0,262,655,52,4,10,7,3,10,nan
20,Berhampur,133,Paralakhemundi,nan,,,,,,,,nan,nan,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4,1,1033,0,3,1036,0,286,681,28,2,0,3,0,28,nan
20,Berhampur,133,Paralakhemundi,nan,,,,,,,,nan,nan,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6,3,853,0,10,863,0,246,514,36,3,2,1,1,41,nan
20,Berhampur,133,Paralakhemundi,nan,,,,,,,,nan,nan,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6,11,977,0,20,997,0,151,729,44,0,5,3,7,21,nan
20,Berhampur,133,Paralakhemundi,nan,,,,,,,,nan,nan,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2,948,0,6,954,0,272,579,35,4,1,3,2,48,nan
20,Berhampur,133,Paralakhemundi,nan,,,,,,,,nan,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6,0,901,0,4,905,0,258,553,39,1,3,4,0,37,nan
20,Berhampur,133,Paralakhemundi,nan,,,,,,,,nan,nan,7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,7,908,0,5,913,0,298,497,36,2,1,2,4,59,nan
20,Berhampur,133,Paralakhemundi,nan,,,,,,,,nan,nan,8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4,3,815,0,10,825,0,275,429,35,3,4,7,6,49,nan
20,Berhampur,133,Paralakhemundi,nan,,,,,,,,nan,nan,9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,2,796,0,7,803,0,271,465,27,4,1,2,2,21,nan
