pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total of Valid votes,Tendered votes,No. of rejected Votes (Test Votes),Votes for 'NOTA' option,Total votes
20,Berhampur,136,Berhampur,1,,,,,,,,332,188,45,7,4,5,2,6,589,0,0,6,595
20,Berhampur,136,Berhampur,2,,,,,,,,203,122,15,4,2,4,2,2,354,0,0,10,364
20,Berhampur,136,Berhampur,3,,,,,,,,263,119,95,13,11,9,4,7,521,0,0,17,538
20,Berhampur,136,Berhampur,4,,,,,,,,213,113,61,11,0,4,4,4,410,0,0,5,415
20,Berhampur,136,Berhampur,5,,,,,,,,156,265,13,3,4,7,15,6,469,0,0,10,479
20,Berhampur,136,Berhampur,6,,,,,,,,203,100,4,2,2,1,1,0,313,0,0,1,314
20,Berhampur,136,Berhampur,7,,,,,,,,154,110,42,1,0,0,0,1,308,0,0,5,313
20,Berhampur,136,Berhampur,8,,,,,,,,373,317,48,4,1,3,1,1,748,0,0,2,750
20,Berhampur,136,Berhampur,9,,,,,,,,228,218,5,2,6,5,10,2,476,0,0,8,484
20,Berhampur,136,Berhampur,10,,,,,,,,53,174,324,6,2,1,3,2,565,0,0,2,567
20,Berhampur,136,Berhampur,11,,,,,,,,285,279,40,5,4,1,6,1,621,0,0,2,623
20,Berhampur,136,Berhampur,12,,,,,,,,261,354,166,8,7,5,58,1,860,0,0,1,861
20,Berhampur,136,Berhampur,13,,,,,,,,108,53,82,2,2,1,2,1,251,0,0,6,257
20,Berhampur,136,Berhampur,14,,,,,,,,196,334,45,0,4,3,29,2,613,0,0,5,618
20,Berhampur,136,Berhampur,15,,,,,,,,138,224,82,4,0,2,24,2,476,0,0,9,485
20,Berhampur,136,Berhampur,16,,,,,,,,76,165,174,4,0,2,5,0,426,0,0,1,427
20,Berhampur,136,Berhampur,17,,,,,,,,130,157,138,6,3,10,22,9,475,0,0,10,485
20,Berhampur,136,Berhampur,18,,,,,,,,176,154,121,9,3,7,10,2,482,0,0,2,484
20,Berhampur,136,Berhampur,19,,,,,,,,121,63,21,3,8,5,340,11,572,0,0,14,586
20,Berhampur,136,Berhampur,20,,,,,,,,87,174,53,4,7,5,4,11,345,0,0,11,356
20,Berhampur,136,Berhampur,21,,,,,,,,148,184,109,5,8,8,27,18,507,0,0,50,557
20,Berhampur,136,Berhampur,22,,,,,,,,188,103,266,6,5,1,6,4,579,0,0,5,584
20,Berhampur,136,Berhampur,23,,,,,,,,273,197,127,5,1,7,4,8,622,0,0,26,648
