pc_id,pc_name,ac_id,ac_name,Sl. No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total Valid Votes,No. of rejected votes,Votes for NOTA,Total no. of tendered votes,Total votes
20,Berhampur,138,Chikiti,1,,,,,,,,40.0,90.0,319.0,131.0,135.0,10.0,725.0,0.0,11.0,0.0,736.0
20,Berhampur,138,Chikiti,2,,,,,,,,28.0,72.0,218.0,177.0,5.0,9.0,509.0,0.0,15.0,0.0,524.0
20,Berhampur,138,Chikiti,3,,,,,,,,12.0,32.0,127.0,60.0,10.0,5.0,246.0,0.0,21.0,0.0,267.0
20,Berhampur,138,Chikiti,4,,,,,,,,21.0,126.0,109.0,24.0,4.0,1.0,285.0,0.0,6.0,0.0,291.0
20,Berhampur,138,Chikiti,5,,,,,,,,17.0,210.0,81.0,71.0,53.0,16.0,448.0,0.0,23.0,0.0,471.0
20,Berhampur,138,Chikiti,6,,,,,,,,18.0,494.0,130.0,72.0,21.0,16.0,751.0,0.0,9.0,0.0,760.0
20,Berhampur,138,Chikiti,7,,,,,,,,39.0,200.0,373.0,169.0,32.0,14.0,827.0,0.0,13.0,0.0,840.0
20,Berhampur,138,Chikiti,8,,,,,,,,21.0,374.0,137.0,85.0,40.0,21.0,678.0,0.0,23.0,0.0,701.0
20,Berhampur,138,Chikiti,9,,,,,,,,30.0,156.0,490.0,123.0,8.0,7.0,814.0,0.0,6.0,0.0,820.0
20,Berhampur,138,Chikiti,10,,,,,,,,22.0,118.0,203.0,101.0,74.0,29.0,547.0,0.0,31.0,0.0,578.0
20,Berhampur,138,Chikiti,11,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Berhampur,138,Chikiti,12,,,,,,,,33.0,333.0,128.0,55.0,54.0,47.0,650.0,0.0,52.0,0.0,702.0
20,Berhampur,138,Chikiti,13,,,,,,,,37.0,283.0,381.0,141.0,29.0,28.0,899.0,0.0,33.0,0.0,932.0
20,Berhampur,138,Chikiti,14,,,,,,,,19.0,586.0,172.0,34.0,34.0,16.0,861.0,0.0,31.0,0.0,892.0
20,Berhampur,138,Chikiti,15,,,,,,,,23.0,462.0,171.0,87.0,48.0,15.0,806.0,0.0,19.0,0.0,825.0
20,Berhampur,138,Chikiti,16,,,,,,,,9.0,158.0,357.0,185.0,19.0,7.0,735.0,0.0,3.0,0.0,738.0
20,Berhampur,138,Chikiti,17,,,,,,,,18.0,360.0,184.0,29.0,34.0,9.0,634.0,0.0,7.0,0.0,641.0
20,Berhampur,138,Chikiti,18,,,,,,,,37.0,372.0,167.0,102.0,21.0,17.0,716.0,0.0,16.0,0.0,732.0
20,Berhampur,138,Chikiti,19,,,,,,,,21.0,285.0,192.0,68.0,27.0,11.0,604.0,0.0,23.0,0.0,627.0
20,Berhampur,138,Chikiti,20,,,,,,,,28.0,231.0,56.0,5.0,22.0,23.0,365.0,0.0,48.0,0.0,413.0
