pc_id,pc_name,ac_id,ac_name,Sl. No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,No. ofValid Votes,No. ofrejected votes (Test,"Votes for""NOTA""option",No. oftende red votes,Total Votes
20,Berhampur,139,Mohana,1,,,,,,,,181.0,4.0,85.0,110.0,14.0,394.0,0.0,31.0,0.0,425.0
20,Berhampur,139,Mohana,2,,,,,,,,93.0,6.0,99.0,68.0,5.0,271.0,0.0,33.0,0.0,304.0
20,Berhampur,139,Mohana,3,,,,,,,,239.0,23.0,25.0,33.0,7.0,327.0,0.0,36.0,0.0,363.0
20,Berhampur,139,Mohana,4,,,,,,,,326.0,21.0,108.0,240.0,23.0,718.0,0.0,57.0,0.0,775.0
20,Berhampur,139,Mohana,5,,,,,,,,149.0,22.0,160.0,119.0,23.0,473.0,0.0,72.0,0.0,545.0
20,Berhampur,139,Mohana,6,,,,,,,,322.0,20.0,126.0,162.0,24.0,654.0,0.0,61.0,0.0,715.0
20,Berhampur,139,Mohana,7,,,,,,,,556.0,87.0,146.0,81.0,12.0,882.0,0.0,40.0,0.0,922.0
20,Berhampur,139,Mohana,8,,,,,,,,304.0,117.0,109.0,63.0,6.0,599.0,0.0,12.0,0.0,611.0
20,Berhampur,139,Mohana,9,,,,,,,,281.0,24.0,57.0,98.0,10.0,470.0,0.0,17.0,0.0,487.0
20,Berhampur,139,Mohana,10,,,,,,,,501.0,53.0,138.0,108.0,18.0,818.0,0.0,35.0,0.0,853.0
20,Berhampur,139,Mohana,11,,,,,,,,240.0,66.0,144.0,98.0,30.0,578.0,0.0,77.0,0.0,655.0
20,Berhampur,139,Mohana,12,,,,,,,,207.0,68.0,76.0,142.0,41.0,534.0,0.0,78.0,0.0,612.0
20,Berhampur,139,Mohana,13,,,,,,,,126.0,228.0,49.0,60.0,16.0,479.0,0.0,29.0,0.0,508.0
20,Berhampur,139,Mohana,14,,,,,,,,354.0,19.0,63.0,181.0,3.0,620.0,0.0,7.0,0.0,627.0
20,Berhampur,139,Mohana,15,,,,,,,,323.0,8.0,45.0,159.0,6.0,541.0,0.0,10.0,0.0,551.0
20,Berhampur,139,Mohana,16,,,,,,,,388.0,81.0,147.0,203.0,6.0,825.0,0.0,25.0,0.0,850.0
20,Berhampur,139,Mohana,17,,,,,,,,316.0,9.0,32.0,98.0,4.0,459.0,0.0,7.0,0.0,466.0
20,Berhampur,139,Mohana,18,,,,,,,,359.0,15.0,47.0,186.0,0.0,607.0,0.0,10.0,0.0,617.0
20,Berhampur,139,Mohana,19,,,,,,,,398.0,22.0,111.0,103.0,16.0,650.0,0.0,33.0,0.0,683.0
20,Berhampur,139,Mohana,20,,,,,,,,400.0,13.0,174.0,213.0,13.0,813.0,0.0,8.0,0.0,821.0
20,Berhampur,139,Mohana,21,,,,,,,,90.0,450.0,117.0,41.0,4.0,702.0,0.0,4.0,0.0,706.0
20,Berhampur,139,Mohana,22,,,,,,,,58.0,158.0,45.0,67.0,4.0,332.0,0.0,4.0,0.0,336.0
20,Berhampur,139,Mohana,23,,,,,,,,219.0,81.0,123.0,166.0,35.0,624.0,0.0,65.0,0.0,689.0
20,Berhampur,139,Mohana,24,,,,,,,,171.0,31.0,147.0,90.0,9.0,448.0,0.0,13.0,0.0,461.0
20,Berhampur,139,Mohana,25,,,,,,,,206.0,66.0,121.0,83.0,16.0,492.0,0.0,20.0,0.0,512.0
20,Berhampur,139,Mohana,26,,,,,,,,561.0,70.0,80.0,169.0,8.0,888.0,0.0,19.0,0.0,907.0
20,Berhampur,139,Mohana,27,,,,,,,,209.0,145.0,170.0,241.0,14.0,779.0,0.0,29.0,0.0,808.0
20,Berhampur,139,Mohana,28,,,,,,,,268.0,66.0,178.0,208.0,40.0,760.0,0.0,58.0,0.0,818.0
20,Berhampur,139,Mohana,29,,,,,,,,181.0,138.0,157.0,142.0,6.0,624.0,0.0,9.0,0.0,633.0
20,Berhampur,139,Mohana,30,,,,,,,,285.0,28.0,270.0,92.0,9.0,684.0,0.0,32.0,0.0,716.0
20,Berhampur,139,Mohana,31,,,,,,,,55.0,68.0,155.0,34.0,7.0,319.0,0.0,7.0,0.0,326.0
20,Berhampur,139,Mohana,32,,,,,,,,325.0,92.0,219.0,175.0,21.0,832.0,0.0,18.0,0.0,850.0
20,Berhampur,139,Mohana,33,,,,,,,,252.0,20.0,55.0,197.0,7.0,531.0,0.0,16.0,0.0,547.0
20,Berhampur,139,Mohana,34,,,,,,,,49.0,24.0,49.0,155.0,3.0,280.0,0.0,5.0,0.0,285.0
20,Berhampur,139,Mohana,35,,,,,,,,272.0,71.0,109.0,110.0,18.0,580.0,0.0,26.0,0.0,606.0
20,Berhampur,139,Mohana,36,,,,,,,,273.0,8.0,7.0,8.0,5.0,301.0,0.0,15.0,0.0,316.0
20,Berhampur,139,Mohana,37,,,,,,,,184.0,23.0,202.0,76.0,12.0,497.0,0.0,24.0,0.0,521.0
20,Berhampur,139,Mohana,38,,,,,,,,252.0,59.0,110.0,165.0,11.0,597.0,0.0,17.0,0.0,614.0
20,Berhampur,139,Mohana,39,,,,,,,,132.0,21.0,127.0,73.0,10.0,363.0,0.0,13.0,0.0,376.0
20,Berhampur,139,Mohana,40,,,,,,,,394.0,150.0,161.0,140.0,10.0,855.0,0.0,13.0,0.0,868.0
20,Berhampur,139,Mohana,41,,,,,,,,404.0,13.0,15.0,20.0,1.0,453.0,0.0,2.0,0.0,455.0
20,Berhampur,139,Mohana,42,,,,,,,,346.0,176.0,170.0,133.0,9.0,834.0,0.0,10.0,0.0,844.0
20,Berhampur,139,Mohana,43,,,,,,,,406.0,55.0,95.0,165.0,25.0,746.0,0.0,35.0,0.0,781.0
20,Berhampur,139,Mohana,44,,,,,,,,220.0,47.0,66.0,126.0,10.0,469.0,0.0,13.0,0.0,482.0
20,Berhampur,139,Mohana,45,,,,,,,,174.0,59.0,109.0,49.0,4.0,395.0,0.0,9.0,0.0,404.0
20,Berhampur,139,Mohana,46,,,,,,,,214.0,103.0,203.0,103.0,22.0,645.0,0.0,14.0,0.0,659.0
20,Berhampur,139,Mohana,47,,,,,,,,225.0,61.0,62.0,254.0,5.0,607.0,0.0,19.0,0.0,626.0
20,Berhampur,139,Mohana,48,,,,,,,,481.0,42.0,136.0,152.0,23.0,834.0,0.0,43.0,0.0,877.0
20,Berhampur,139,Mohana,49,,,,,,,,304.0,153.0,210.0,238.0,21.0,926.0,0.0,26.0,0.0,952.0
20,Berhampur,139,Mohana,50,,,,,,,,495.0,137.0,152.0,181.0,19.0,984.0,0.0,22.0,0.0,1006.0
20,Berhampur,139,Mohana,51,,,,,,,,268.0,30.0,154.0,152.0,11.0,615.0,0.0,9.0,0.0,624.0
20,Berhampur,139,Mohana,52,,,,,,,,223.0,95.0,222.0,167.0,10.0,717.0,0.0,34.0,0.0,751.0
20,Berhampur,139,Mohana,53,,,,,,,,241.0,94.0,53.0,33.0,4.0,425.0,0.0,7.0,0.0,432.0
20,Berhampur,139,Mohana,54,,,,,,,,247.0,49.0,17.0,36.0,5.0,354.0,0.0,17.0,0.0,371.0
20,Berhampur,139,Mohana,55,,,,,,,,117.0,74.0,167.0,125.0,36.0,519.0,0.0,68.0,0.0,587.0
20,Berhampur,139,Mohana,56,,,,,,,,375.0,223.0,65.0,47.0,17.0,727.0,0.0,24.0,0.0,751.0
20,Berhampur,139,Mohana,57,,,,,,,,222.0,13.0,23.0,23.0,6.0,287.0,0.0,7.0,0.0,294.0
20,Berhampur,139,Mohana,58,,,,,,,,312.0,92.0,301.0,127.0,11.0,843.0,0.0,6.0,0.0,849.0
20,Berhampur,139,Mohana,59,,,,,,,,170.0,26.0,46.0,153.0,9.0,404.0,0.0,20.0,0.0,424.0
20,Berhampur,139,Mohana,60,,,,,,,,94.0,54.0,186.0,45.0,2.0,381.0,0.0,7.0,0.0,388.0
20,Berhampur,139,Mohana,61,,,,,,,,360.0,221.0,118.0,64.0,10.0,773.0,0.0,19.0,0.0,792.0
20,Berhampur,139,Mohana,62,,,,,,,,302.0,173.0,94.0,265.0,6.0,840.0,0.0,7.0,0.0,847.0
20,Berhampur,139,Mohana,63,,,,,,,,351.0,57.0,82.0,202.0,8.0,700.0,0.0,27.0,0.0,727.0
20,Berhampur,139,Mohana,64,,,,,,,,44.0,258.0,135.0,30.0,14.0,481.0,0.0,31.0,0.0,512.0
20,Berhampur,139,Mohana,65,,,,,,,,6.0,299.0,106.0,26.0,9.0,446.0,0.0,10.0,0.0,456.0
20,Berhampur,139,Mohana,66,,,,,,,,293.0,20.0,72.0,223.0,4.0,612.0,0.0,13.0,0.0,625.0
20,Berhampur,139,Mohana,67,,,,,,,,238.0,22.0,47.0,197.0,2.0,506.0,0.0,10.0,0.0,516.0
20,Berhampur,139,Mohana,68,,,,,,,,210.0,107.0,73.0,56.0,2.0,448.0,0.0,3.0,0.0,451.0
20,Berhampur,139,Mohana,69,,,,,,,,254.0,119.0,92.0,85.0,14.0,564.0,0.0,19.0,0.0,583.0
20,Berhampur,139,Mohana,70,,,,,,,,315.0,9.0,58.0,288.0,6.0,676.0,0.0,9.0,0.0,685.0
20,Berhampur,139,Mohana,71,,,,,,,,167.0,14.0,17.0,144.0,3.0,345.0,0.0,7.0,0.0,352.0
20,Berhampur,139,Mohana,72,,,,,,,,345.0,13.0,72.0,255.0,8.0,693.0,0.0,13.0,0.0,706.0
20,Berhampur,139,Mohana,73,,,,,,,,244.0,7.0,52.0,277.0,4.0,584.0,0.0,8.0,0.0,592.0
20,Berhampur,139,Mohana,74,,,,,,,,182.0,6.0,44.0,133.0,6.0,371.0,0.0,11.0,0.0,382.0
20,Berhampur,139,Mohana,75,,,,,,,,367.0,18.0,85.0,186.0,7.0,663.0,0.0,24.0,0.0,687.0
20,Berhampur,139,Mohana,76,,,,,,,,42.0,456.0,64.0,20.0,1.0,583.0,0.0,3.0,0.0,586.0
20,Berhampur,139,Mohana,77,,,,,,,,75.0,123.0,131.0,52.0,15.0,396.0,0.0,32.0,0.0,428.0
20,Berhampur,139,Mohana,78,,,,,,,,271.0,87.0,157.0,252.0,16.0,783.0,0.0,13.0,0.0,796.0
20,Berhampur,139,Mohana,79,,,,,,,,238.0,174.0,103.0,100.0,11.0,626.0,0.0,23.0,0.0,649.0
20,Berhampur,139,Mohana,80,,,,,,,,164.0,199.0,29.0,13.0,4.0,409.0,0.0,15.0,0.0,424.0
20,Berhampur,139,Mohana,81,,,,,,,,299.0,115.0,327.0,119.0,14.0,874.0,0.0,14.0,0.0,888.0
20,Berhampur,139,Mohana,82,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Berhampur,139,Mohana,83,,,,,,,,198.0,26.0,330.0,29.0,10.0,593.0,0.0,14.0,0.0,607.0
20,Berhampur,139,Mohana,84,,,,,,,,75.0,36.0,249.0,16.0,1.0,377.0,0.0,5.0,0.0,382.0
20,Berhampur,139,Mohana,85,,,,,,,,358.0,60.0,173.0,157.0,5.0,753.0,0.0,12.0,0.0,765.0
20,Berhampur,139,Mohana,86,,,,,,,,324.0,14.0,104.0,153.0,13.0,608.0,0.0,18.0,0.0,626.0
20,Berhampur,139,Mohana,87,,,,,,,,199.0,20.0,114.0,138.0,7.0,478.0,0.0,30.0,0.0,508.0
20,Berhampur,139,Mohana,88,,,,,,,,51.0,22.0,236.0,26.0,4.0,339.0,0.0,3.0,0.0,342.0
20,Berhampur,139,Mohana,89,,,,,,,,321.0,109.0,171.0,44.0,28.0,673.0,0.0,75.0,0.0,748.0
20,Berhampur,139,Mohana,90,,,,,,,,64.0,558.0,81.0,6.0,3.0,712.0,0.0,1.0,0.0,713.0
20,Berhampur,139,Mohana,91,,,,,,,,5.0,404.0,12.0,3.0,0.0,424.0,0.0,0.0,0.0,424.0
20,Berhampur,139,Mohana,92,,,,,,,,319.0,211.0,13.0,3.0,0.0,546.0,0.0,1.0,0.0,547.0
20,Berhampur,139,Mohana,93,,,,,,,,247.0,147.0,198.0,182.0,21.0,795.0,0.0,24.0,0.0,819.0
20,Berhampur,139,Mohana,94,,,,,,,,39.0,38.0,396.0,70.0,5.0,548.0,0.0,3.0,0.0,551.0
20,Berhampur,139,Mohana,95,,,,,,,,125.0,29.0,214.0,23.0,3.0,394.0,0.0,6.0,0.0,400.0
20,Berhampur,139,Mohana,96,,,,,,,,131.0,79.0,329.0,139.0,16.0,694.0,0.0,31.0,0.0,725.0
20,Berhampur,139,Mohana,97,,,,,,,,42.0,7.0,227.0,22.0,4.0,302.0,0.0,1.0,0.0,303.0
20,Berhampur,139,Mohana,98,,,,,,,,199.0,93.0,431.0,109.0,8.0,840.0,0.0,12.0,0.0,852.0
20,Berhampur,139,Mohana,99,,,,,,,,540.0,21.0,166.0,37.0,4.0,768.0,0.0,10.0,0.0,778.0
20,Berhampur,139,Mohana,100,,,,,,,,137.0,21.0,422.0,40.0,2.0,622.0,0.0,3.0,0.0,625.0
20,Berhampur,139,Mohana,101,,,,,,,,113.0,17.0,322.0,83.0,9.0,544.0,0.0,10.0,0.0,554.0
