pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total of valid votes,No. of rejected votes (Test votes),Votes for NOTA option,Total No. of tendered votes
3,Sambalpur,14,Athamallik,1,,,,,,,,89,7,192,130,5,2,20,2,447,nan,5,nan
3,Sambalpur,14,Athamallik,2,,,,,,,,87,4,52,246,9,4,49,2,453,nan,2,nan
3,Sambalpur,14,Athamallik,3,,,,,,,,35,7,42,168,9,0,12,18,291,nan,9,nan
3,Sambalpur,14,Athamallik,4,,,,,,,,293,22,242,85,6,4,18,65,735,nan,24,nan
3,Sambalpur,14,Athamallik,5,,,,,,,,115,10,100,435,11,8,281,6,966,nan,20,nan
3,Sambalpur,14,Athamallik,6,,,,,,,,86,4,199,120,3,5,137,4,558,nan,0,nan
3,Sambalpur,14,Athamallik,7,,,,,,,,13,3,48,83,3,2,64,0,216,nan,2,nan
3,Sambalpur,14,Athamallik,8,,,,,,,,202,13,190,187,1,0,40,1,634,nan,9,nan
3,Sambalpur,14,Athamallik,10,,,,,,,,94,11,111,186,13,13,119,32,579,nan,22,nan
3,Sambalpur,14,Athamallik,11,,,,,,,,22,7,9,16,3,7,6,79,149,nan,7,nan
3,Sambalpur,14,Athamallik,12,,,,,,,,39,4,65,176,8,4,78,4,378,nan,9,nan
3,Sambalpur,14,Athamallik,13,,,,,,,,13,1,19,147,1,3,129,4,317,nan,0,nan
3,Sambalpur,14,Athamallik,14,,,,,,,,62,7,15,45,3,5,154,1,292,nan,0,nan
3,Sambalpur,14,Athamallik,15,,,,,,,,169,10,207,296,10,10,123,1,826,nan,11,nan
3,Sambalpur,14,Athamallik,16,,,,,,,,164,12,227,263,5,7,37,3,718,nan,16,nan
3,Sambalpur,14,Athamallik,17,,,,,,,,125,18,164,251,12,6,155,19,750,nan,24,nan
3,Sambalpur,14,Athamallik,19,,,,,,,,272,25,160,152,11,13,69,38,740,nan,10,nan
3,Sambalpur,14,Athamallik,20,,,,,,,,124,11,39,99,7,2,16,117,415,nan,10,nan
3,Sambalpur,14,Athamallik,21,,,,,,,,126,10,134,143,12,3,68,71,567,nan,21,nan
3,Sambalpur,14,Athamallik,22,,,,,,,,309,11,301,148,10,7,98,4,888,nan,13,nan
3,Sambalpur,14,Athamallik,23,,,,,,,,129,9,144,196,25,13,106,5,627,nan,8,nan
3,Sambalpur,14,Athamallik,24,,,,,,,,220,15,182,90,12,8,43,6,576,nan,12,nan
3,Sambalpur,14,Athamallik,25,,,,,,,,53,1,56,130,10,3,47,3,303,nan,6,nan
3,Sambalpur,14,Athamallik,26,,,,,,,,173,6,158,153,7,5,77,2,581,nan,3,nan
3,Sambalpur,14,Athamallik,27,,,,,,,,128,2,129,172,6,3,47,4,491,nan,8,nan
3,Sambalpur,14,Athamallik,28,,,,,,,,116,16,215,269,18,12,79,8,733,nan,14,nan
3,Sambalpur,14,Athamallik,29,,,,,,,,86,2,111,312,1,4,6,3,525,nan,11,nan
3,Sambalpur,14,Athamallik,30,,,,,,,,105,0,72,148,2,0,3,1,331,nan,1,nan
3,Sambalpur,14,Athamallik,31,,,,,,,,119,1,185,351,1,6,26,9,698,nan,6,nan
