pc_id,pc_name,ac_id,ac_name,Sl No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Total no of Valid Votes,Number of Rejected Votes (Test Votes ),"Votes for "" NOTA"" option",Total Votes,Total number of Tender Votes
21,Koraput,140,Pottangi,1,,,,,,,,73,21,31,394,202,721,0,47,768,0.0
21,Koraput,140,Pottangi,2,,,,,,,,222,24,113,106,85,550,0,31,581,0.0
21,Koraput,140,Pottangi,3,,,,,,,,310,19,23,328,44,724,0,45,769,0.0
21,Koraput,140,Pottangi,4,,,,,,,,204,14,14,184,216,632,0,24,656,0.0
21,Koraput,140,Pottangi,5,,,,,,,,228,8,13,255,36,540,0,4,544,0.0
21,Koraput,140,Pottangi,6,,,,,,,,150,8,31,279,105,573,0,22,595,0.0
21,Koraput,140,Pottangi,7,,,,,,,,0,0,0,0,0,0,0,0,0,0.0
21,Koraput,140,Pottangi,8,,,,,,,,99,10,7,284,43,443,0,40,483,0.0
21,Koraput,140,Pottangi,9,,,,,,,,245,9,7,326,89,676,0,3,679,0.0
21,Koraput,140,Pottangi,10,,,,,,,,223,18,17,229,153,640,0,30,670,0.0
21,Koraput,140,Pottangi,11,,,,,,,,217,3,20,233,13,486,0,16,502,0.0
21,Koraput,140,Pottangi,12,,,,,,,,217,14,26,266,70,593,0,20,613,0.0
21,Koraput,140,Pottangi,13,,,,,,,,21,9,19,108,237,394,0,15,409,0.0
21,Koraput,140,Pottangi,14,,,,,,,,0,0,0,0,0,0,0,0,0,0.0
21,Koraput,140,Pottangi,15,,,,,,,,226,13,23,210,114,586,0,17,603,0.0
21,Koraput,140,Pottangi,16,,,,,,,,172,7,3,166,18,366,0,2,368,0.0
21,Koraput,140,Pottangi,17,,,,,,,,110,10,32,321,126,599,0,27,626,0.0
21,Koraput,140,Pottangi,18,,,,,,,,235,12,42,263,109,661,0,12,673,0.0
21,Koraput,140,Pottangi,19,,,,,,,,39,27,53,151,351,621,0,11,632,0.0
21,Koraput,140,Pottangi,20,,,,,,,,87,7,7,159,79,339,0,12,351,0.0
21,Koraput,140,Pottangi,21,,,,,,,,0,0,0,0,0,0,0,0,0,0.0
21,Koraput,140,Pottangi,22,,,,,,,,22,7,33,334,230,626,0,13,639,0.0
21,Koraput,140,Pottangi,23,,,,,,,,114,12,30,304,343,803,0,31,834,0.0
21,Koraput,140,Pottangi,24,,,,,,,,397,25,61,214,69,766,0,44,810,0.0
21,Koraput,140,Pottangi,25,,,,,,,,190,5,22,325,45,587,0,19,606,0.0
21,Koraput,140,Pottangi,26,,,,,,,,269,19,21,325,17,651,0,25,676,0.0
21,Koraput,140,Pottangi,27,,,,,,,,331,14,52,139,12,548,0,27,575,0.0
21,Koraput,140,Pottangi,28,,,,,,,,172,17,37,457,32,715,0,50,765,0.0
21,Koraput,140,Pottangi,29,,,,,,,,212,12,25,187,160,596,0,18,614,0.0
21,Koraput,140,Pottangi,30,,,,,,,,43,6,15,73,127,264,0,21,285,0.0
21,Koraput,140,Pottangi,31,,,,,,,,12,7,1,190,115,325,0,6,331,0.0
21,Koraput,140,Pottangi,32,,,,,,,,27,10,103,149,273,562,0,34,596,0.0
21,Koraput,140,Pottangi,33,,,,,,,,104,6,12,208,118,448,0,16,464,0.0
21,Koraput,140,Pottangi,34,,,,,,,,0,0,0,0,0,0,0,0,0,0.0
21,Koraput,140,Pottangi,35,,,,,,,,180,8,10,179,13,390,0,27,417,0.0
21,Koraput,140,Pottangi,36,,,,,,,,185,8,12,140,11,356,0,24,380,0.0
21,Koraput,140,Pottangi,37,,,,,,,,152,12,22,183,97,466,0,51,517,0.0
21,Koraput,140,Pottangi,38,,,,,,,,161,20,64,371,130,746,0,24,770,0.0
21,Koraput,140,Pottangi,39,,,,,,,,52,4,14,220,150,440,0,31,471,0.0
21,Koraput,140,Pottangi,40,,,,,,,,89,9,20,485,432,1035,0,18,1053,0.0
21,Koraput,140,Pottangi,41,,,,,,,,77,4,14,115,287,497,0,5,502,0.0
21,Koraput,140,Pottangi,42,,,,,,,,99,5,69,255,205,633,0,9,642,0.0
21,Koraput,140,Pottangi,43,,,,,,,,148,29,37,242,235,691,0,36,727,0.0
21,Koraput,140,Pottangi,44,,,,,,,,19,3,49,34,685,790,0,4,794,0.0
21,Koraput,140,Pottangi,45,,,,,,,,21,7,8,69,492,597,0,12,609,0.0
21,Koraput,140,Pottangi,46,,,,,,,,45,11,22,63,415,556,0,38,594,0.0
21,Koraput,140,Pottangi,47,,,,,,,,52,19,27,125,348,571,0,24,595,0.0
21,Koraput,140,Pottangi,48,,,,,,,,99,6,155,182,190,632,0,12,644,0.0
21,Koraput,140,Pottangi,49,,,,,,,,81,10,35,134,139,399,0,9,408,0.0
21,Koraput,140,Pottangi,50,,,,,,,,112,9,82,166,234,603,0,11,614,5.0
21,Koraput,140,Pottangi,51,,,,,,,,153,7,27,223,239,649,0,8,657,0.0
21,Koraput,140,Pottangi,52,,,,,,,,74,6,30,324,213,647,0,22,669,0.0
21,Koraput,140,Pottangi,53,,,,,,,,108,16,16,142,256,538,0,31,569,0.0
21,Koraput,140,Pottangi,54,,,,,,,,119,12,12,129,87,359,0,26,385,0.0
21,Koraput,140,Pottangi,55,,,,,,,,46,19,13,305,647,1030,0,25,1055,0.0
21,Koraput,140,Pottangi,56,,,,,,,,123,13,24,151,404,715,0,32,747,0.0
21,Koraput,140,Pottangi,57,,,,,,,,111,15,40,38,255,459,0,9,468,0.0
21,Koraput,140,Pottangi,58,,,,,,,,23,19,21,112,424,599,0,21,620,0.0
21,Koraput,140,Pottangi,59,,,,,,,,5,2,2,22,309,340,0,5,345,0.0
21,Koraput,140,Pottangi,60,,,,,,,,13,7,11,33,628,692,0,5,697,0.0
21,Koraput,140,Pottangi,61,,,,,,,,19,2,5,11,312,349,0,25,374,0.0
21,Koraput,140,Pottangi,62,,,,,,,,24,17,16,119,375,551,0,9,560,0.0
21,Koraput,140,Pottangi,63,,,,,,,,220,20,18,260,67,585,0,35,620,0.0
21,Koraput,140,Pottangi,64,,,,,,,,152,13,30,69,321,585,0,25,610,0.0
21,Koraput,140,Pottangi,65,,,,,,,,115,23,47,108,537,830,0,61,891,0.0
21,Koraput,140,Pottangi,66,,,,,,,,56,4,19,262,100,441,0,30,471,0.0
21,Koraput,140,Pottangi,67,,,,,,,,27,20,18,66,516,647,0,22,669,0.0
21,Koraput,140,Pottangi,68,,,,,,,,12,3,25,23,385,448,0,6,454,0.0
21,Koraput,140,Pottangi,69,,,,,,,,12,4,5,22,686,729,0,15,744,0.0
21,Koraput,140,Pottangi,70,,,,,,,,128,8,16,48,568,768,0,6,774,0.0
21,Koraput,140,Pottangi,71,,,,,,,,30,8,6,62,391,497,0,22,519,0.0
21,Koraput,140,Pottangi,72,,,,,,,,10,6,9,113,739,877,0,13,890,0.0
21,Koraput,140,Pottangi,73,,,,,,,,205,26,23,160,90,504,0,50,554,0.0
21,Koraput,140,Pottangi,74,,,,,,,,62,10,4,98,192,366,0,12,378,0.0
21,Koraput,140,Pottangi,75,,,,,,,,14,10,12,103,239,378,0,19,397,0.0
21,Koraput,140,Pottangi,76,,,,,,,,7,7,9,45,415,483,0,9,492,0.0
21,Koraput,140,Pottangi,77,,,,,,,,135,12,23,66,416,652,0,29,681,0.0
21,Koraput,140,Pottangi,78,,,,,,,,125,13,22,140,524,824,0,32,856,0.0
21,Koraput,140,Pottangi,79,,,,,,,,32,32,31,74,686,855,0,39,894,0.0
21,Koraput,140,Pottangi,80,,,,,,,,51,9,14,160,396,630,0,45,675,0.0
21,Koraput,140,Pottangi,81,,,,,,,,29,24,47,153,490,743,0,50,793,0.0
21,Koraput,140,Pottangi,82,,,,,,,,36,11,13,74,268,402,0,16,418,0.0
21,Koraput,140,Pottangi,83,,,,,,,,66,9,17,51,797,940,0,19,959,0.0
21,Koraput,140,Pottangi,84,,,,,,,,44,7,11,57,261,380,0,5,385,0.0
21,Koraput,140,Pottangi,85,,,,,,,,7,8,27,36,335,413,0,35,448,0.0
21,Koraput,140,Pottangi,86,,,,,,,,273,22,128,165,61,649,0,55,704,0.0
21,Koraput,140,Pottangi,87,,,,,,,,79,8,249,378,18,732,0,52,784,0.0
21,Koraput,140,Pottangi,88,,,,,,,,261,24,244,177,29,735,0,6,741,0.0
21,Koraput,140,Pottangi,89,,,,,,,,102,10,78,277,16,483,0,13,496,0.0
21,Koraput,140,Pottangi,90,,,,,,,,399,19,123,274,20,835,0,18,853,0.0
21,Koraput,140,Pottangi,91,,,,,,,,94,14,127,713,16,964,0,14,978,0.0
21,Koraput,140,Pottangi,92,,,,,,,,461,5,138,203,22,829,0,11,840,0.0
21,Koraput,140,Pottangi,93,,,,,,,,53,4,106,119,12,294,0,3,297,0.0
21,Koraput,140,Pottangi,94,,,,,,,,86,1,142,123,20,372,0,1,373,0.0
21,Koraput,140,Pottangi,95,,,,,,,,70,1,178,122,11,382,0,2,384,0.0
21,Koraput,140,Pottangi,96,,,,,,,,144,23,225,219,22,633,0,19,652,0.0
21,Koraput,140,Pottangi,97,,,,,,,,141,20,159,140,19,479,0,8,487,0.0
21,Koraput,140,Pottangi,98,,,,,,,,68,9,213,115,11,416,0,6,422,0.0
21,Koraput,140,Pottangi,99,,,,,,,,47,2,133,110,8,300,0,3,303,0.0
21,Koraput,140,Pottangi,100,,,,,,,,102,21,333,104,129,689,0,12,701,0.0
21,Koraput,140,Pottangi,101,,,,,,,,107,19,408,158,78,770,0,20,790,0.0
21,Koraput,140,Pottangi,102,,,,,,,,124,5,280,279,14,702,0,16,718,0.0
21,Koraput,140,Pottangi,103,,,,,,,,174,5,168,299,25,671,0,5,676,0.0
21,Koraput,140,Pottangi,104,,,,,,,,155,8,107,223,15,508,0,3,511,0.0
21,Koraput,140,Pottangi,105,,,,,,,,104,10,96,555,21,786,0,18,804,0.0
21,Koraput,140,Pottangi,106,,,,,,,,148,6,118,214,26,512,0,7,519,0.0
21,Koraput,140,Pottangi,107,,,,,,,,186,14,36,607,22,865,0,41,906,0.0
21,Koraput,140,Pottangi,108,,,,,,,,215,10,28,112,18,383,0,14,397,0.0
21,Koraput,140,Pottangi,109,,,,,,,,276,14,47,131,199,667,0,73,740,0.0
21,Koraput,140,Pottangi,110,,,,,,,,84,21,11,95,464,675,0,37,712,0.0
21,Koraput,140,Pottangi,111,,,,,,,,30,8,12,32,690,772,0,24,796,0.0
21,Koraput,140,Pottangi,112,,,,,,,,60,33,38,108,441,680,0,26,706,0.0
21,Koraput,140,Pottangi,113,,,,,,,,69,24,14,60,457,624,0,38,662,1.0
21,Koraput,140,Pottangi,114,,,,,,,,23,0,6,35,831,895,0,5,900,0.0
21,Koraput,140,Pottangi,115,,,,,,,,6,7,25,49,409,496,0,16,512,0.0
21,Koraput,140,Pottangi,116,,,,,,,,11,0,4,24,537,576,0,6,582,0.0
21,Koraput,140,Pottangi,117,,,,,,,,104,11,37,90,171,413,0,41,454,0.0
21,Koraput,140,Pottangi,118,,,,,,,,361,6,140,325,19,851,0,6,857,0.0
21,Koraput,140,Pottangi,119,,,,,,,,252,22,106,222,58,660,0,22,682,0.0
21,Koraput,140,Pottangi,120,,,,,,,,297,37,190,313,99,936,0,24,960,0.0
21,Koraput,140,Pottangi,121,,,,,,,,433,13,216,198,20,880,0,10,890,0.0
21,Koraput,140,Pottangi,122,,,,,,,,228,9,47,119,69,472,0,3,475,0.0
21,Koraput,140,Pottangi,123,,,,,,,,278,13,89,272,140,792,0,17,809,0.0
21,Koraput,140,Pottangi,124,,,,,,,,302,7,53,394,12,768,0,5,773,0.0
