pc_id,pc_name,ac_id,ac_name,Serial no of Polling station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Total of valid votes,No. of rejected Votes(Testes),VotesforNOTA option,Total,No. of tendered votes
21,Koraput,141,Gunupur,1,,,,,,,,32,142,106,305,16,601,0,29,630,0
21,Koraput,141,Gunupur,2,,,,,,,,44,38,288,154,24,548,0,33,581,0
21,Koraput,141,Gunupur,3,,,,,,,,23,8,255,204,24,514,0,22,536,0
21,Koraput,141,Gunupur,4,,,,,,,,42,39,140,203,26,450,0,58,508,0
21,Koraput,141,Gunupur,5,,,,,,,,29,35,229,242,11,546,0,3,549,0
21,Koraput,141,Gunupur,6,,,,,,,,36,16,261,178,10,501,0,23,524,0
21,Koraput,141,Gunupur,7,,,,,,,,111,81,129,422,7,750,0,18,768,0
21,Koraput,141,Gunupur,8,,,,,,,,32,61,131,375,19,618,0,50,668,0
21,Koraput,141,Gunupur,9,,,,,,,,34,13,153,128,9,337,0,21,358,0
21,Koraput,141,Gunupur,10,,,,,,,,42,70,51,283,16,462,0,33,495,0
21,Koraput,141,Gunupur,11,,,,,,,,19,28,46,770,7,870,0,9,879,0
21,Koraput,141,Gunupur,12,,,,,,,,36,103,280,285,11,715,0,19,734,0
21,Koraput,141,Gunupur,13,,,,,,,,14,59,212,154,13,452,0,29,481,0
21,Koraput,141,Gunupur,14,,,,,,,,59,60,228,340,49,736,0,79,815,0
21,Koraput,141,Gunupur,15,,,,,,,,23,30,177,195,18,443,0,9,452,0
21,Koraput,141,Gunupur,16,,,,,,,,27,24,153,241,30,475,0,52,527,0
21,Koraput,141,Gunupur,17,,,,,,,,52,78,297,442,23,892,0,61,953,0
21,Koraput,141,Gunupur,18,,,,,,,,6,9,125,138,11,289,0,29,318,0
21,Koraput,141,Gunupur,19,,,,,,,,51,196,142,298,25,712,0,53,765,0
21,Koraput,141,Gunupur,20,,,,,,,,28,90,285,186,11,600,0,22,622,0
21,Koraput,141,Gunupur,21,,,,,,,,140,246,163,306,53,908,0,33,941,0
21,Koraput,141,Gunupur,22,,,,,,,,50,137,397,320,20,924,0,36,960,0
21,Koraput,141,Gunupur,23,,,,,,,,53,16,118,233,9,429,0,15,444,0
21,Koraput,141,Gunupur,24,,,,,,,,59,121,109,367,31,687,0,82,769,0
21,Koraput,141,Gunupur,25,,,,,,,,112,191,149,383,7,842,0,11,853,0
21,Koraput,141,Gunupur,26,,,,,,,,34,88,378,195,17,712,0,27,739,0
21,Koraput,141,Gunupur,27,,,,,,,,10,43,93,92,11,249,0,18,267,0
21,Koraput,141,Gunupur,28,,,,,,,,103,71,275,315,33,797,0,66,863,0
21,Koraput,141,Gunupur,29,,,,,,,,30,52,210,157,10,459,0,21,480,0
21,Koraput,141,Gunupur,30,,,,,,,,65,35,138,76,9,323,0,21,344,0
21,Koraput,141,Gunupur,31,,,,,,,,28,86,67,124,13,318,0,26,344,0
21,Koraput,141,Gunupur,32,,,,,,,,56,10,175,125,22,388,0,57,445,0
21,Koraput,141,Gunupur,33,,,,,,,,17,8,205,100,17,347,0,57,404,0
21,Koraput,141,Gunupur,34,,,,,,,,462,20,109,37,4,632,0,6,638,0
21,Koraput,141,Gunupur,35,,,,,,,,118,7,182,119,17,443,0,50,493,0
21,Koraput,141,Gunupur,36,,,,,,,,40,63,348,109,19,579,0,51,630,0
21,Koraput,141,Gunupur,37,,,,,,,,23,17,276,170,10,496,0,18,514,0
21,Koraput,141,Gunupur,38,,,,,,,,19,12,79,142,5,257,0,20,277,0
21,Koraput,141,Gunupur,39,,,,,,,,19,11,219,115,3,367,0,1,368,0
21,Koraput,141,Gunupur,40,,,,,,,,58,64,210,241,19,592,0,21,613,0
21,Koraput,141,Gunupur,41,,,,,,,,52,107,115,176,30,480,0,15,495,0
21,Koraput,141,Gunupur,42,,,,,,,,105,105,308,246,27,791,0,26,817,0
21,Koraput,141,Gunupur,43,,,,,,,,40,23,268,176,15,522,0,37,559,0
21,Koraput,141,Gunupur,44,,,,,,,,58,13,94,43,16,224,0,21,245,0
21,Koraput,141,Gunupur,45,,,,,,,,25,25,183,174,11,418,0,10,428,0
21,Koraput,141,Gunupur,46,,,,,,,,81,59,429,198,20,787,0,61,848,0
21,Koraput,141,Gunupur,47,,,,,,,,0,0,0,1,0,1,0,0,1,0
21,Koraput,141,Gunupur,48,,,,,,,,57,94,117,298,17,583,0,29,612,0
21,Koraput,141,Gunupur,49,,,,,,,,268,105,292,189,21,875,0,24,899,0
21,Koraput,141,Gunupur,50,,,,,,,,94,32,179,269,31,605,0,41,646,0
21,Koraput,141,Gunupur,51,,,,,,,,62,34,188,134,14,432,0,9,441,0
21,Koraput,141,Gunupur,52,,,,,,,,26,168,84,287,15,580,0,8,588,0
21,Koraput,141,Gunupur,53,,,,,,,,120,249,183,189,10,751,0,18,769,0
21,Koraput,141,Gunupur,54,,,,,,,,53,45,192,132,14,436,0,23,459,0
21,Koraput,141,Gunupur,55,,,,,,,,48,137,288,166,8,647,0,31,678,0
21,Koraput,141,Gunupur,56,,,,,,,,125,77,322,345,10,879,0,25,904,0
21,Koraput,141,Gunupur,57,,,,,,,,116,79,294,210,30,729,0,27,756,0
21,Koraput,141,Gunupur,58,,,,,,,,157,82,242,330,26,837,0,44,881,0
21,Koraput,141,Gunupur,59,,,,,,,,75,77,164,351,15,682,0,30,712,0
21,Koraput,141,Gunupur,60,,,,,,,,17,71,126,84,11,309,0,25,334,0
21,Koraput,141,Gunupur,61,,,,,,,,17,185,123,158,14,497,0,15,512,0
21,Koraput,141,Gunupur,62,,,,,,,,102,183,136,398,54,873,0,78,951,0
21,Koraput,141,Gunupur,63,,,,,,,,63,164,308,360,20,915,0,37,952,0
21,Koraput,141,Gunupur,64,,,,,,,,92,156,379,318,21,966,0,22,988,0
21,Koraput,141,Gunupur,65,,,,,,,,25,93,309,181,24,632,0,19,651,0
21,Koraput,141,Gunupur,66,,,,,,,,87,110,329,289,41,856,0,69,925,0
21,Koraput,141,Gunupur,67,,,,,,,,65,146,319,292,19,841,0,63,904,0
21,Koraput,141,Gunupur,68,,,,,,,,62,111,246,208,18,645,0,15,660,0
21,Koraput,141,Gunupur,69,,,,,,,,36,38,246,199,27,546,0,30,576,0
21,Koraput,141,Gunupur,70,,,,,,,,60,81,270,379,27,817,0,13,830,0
21,Koraput,141,Gunupur,71,,,,,,,,46,44,168,187,9,454,0,7,461,0
21,Koraput,141,Gunupur,72,,,,,,,,45,137,202,292,32,708,0,72,780,0
21,Koraput,141,Gunupur,73,,,,,,,,91,116,276,393,44,920,0,89,1009,0
21,Koraput,141,Gunupur,74,,,,,,,,80,131,248,276,35,770,0,54,824,0
21,Koraput,141,Gunupur,75,,,,,,,,13,62,118,222,6,421,0,6,427,0
21,Koraput,141,Gunupur,76,,,,,,,,34,73,98,177,4,386,0,20,406,0
21,Koraput,141,Gunupur,77,,,,,,,,74,69,178,265,24,610,0,50,660,0
21,Koraput,141,Gunupur,78,,,,,,,,29,117,300,316,28,790,0,43,833,0
21,Koraput,141,Gunupur,79,,,,,,,,23,58,100,202,20,403,0,33,436,0
21,Koraput,141,Gunupur,80,,,,,,,,55,78,341,381,18,873,0,23,896,0
21,Koraput,141,Gunupur,81,,,,,,,,46,107,200,277,17,647,0,38,685,0
21,Koraput,141,Gunupur,82,,,,,,,,158,108,82,453,14,815,0,27,842,0
21,Koraput,141,Gunupur,83,,,,,,,,22,300,67,176,12,577,0,7,584,0
21,Koraput,141,Gunupur,84,,,,,,,,36,279,161,322,20,818,0,46,864,0
21,Koraput,141,Gunupur,85,,,,,,,,28,175,162,301,39,705,0,39,744,0
21,Koraput,141,Gunupur,86,,,,,,,,19,132,381,358,21,911,0,30,941,0
21,Koraput,141,Gunupur,87,,,,,,,,11,117,123,170,21,442,0,35,477,0
21,Koraput,141,Gunupur,88,,,,,,,,26,171,243,254,21,715,0,37,752,0
