pc_id,pc_name,ac_id,ac_name,Sl No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total of Valid Votes,No.of Rejected Votes (Test Votes),Votes for NOTA Option,Total,No.of Tendered Votes
21,Koraput,143,Rayagada,1,,,,,,,,22.0,172.0,400.0,195.0,16.0,18.0,8.0,11.0,842,0,17.0,859,0
21,Koraput,143,Rayagada,2,,,,,,,,1.0,44.0,96.0,12.0,4.0,1.0,2.0,0.0,160,0,9.0,169,0
21,Koraput,143,Rayagada,3,,,,,,,,13.0,130.0,195.0,188.0,6.0,2.0,2.0,3.0,539,0,6.0,545,0
21,Koraput,143,Rayagada,4,,,,,,,,14.0,152.0,157.0,290.0,8.0,2.0,8.0,5.0,636,0,16.0,652,0
21,Koraput,143,Rayagada,5,,,,,,,,6.0,58.0,189.0,167.0,5.0,3.0,6.0,7.0,441,0,8.0,449,0
21,Koraput,143,Rayagada,6,,,,,,,,16.0,125.0,320.0,266.0,3.0,7.0,5.0,1.0,743,0,6.0,749,0
21,Koraput,143,Rayagada,7,,,,,,,,17.0,125.0,183.0,339.0,3.0,3.0,3.0,8.0,681,0,14.0,695,0
21,Koraput,143,Rayagada,8,,,,,,,,2.0,114.0,95.0,167.0,3.0,0.0,1.0,1.0,383,0,3.0,386,0
21,Koraput,143,Rayagada,9,,,,,,,,14.0,159.0,117.0,330.0,9.0,3.0,5.0,3.0,640,0,2.0,642,0
21,Koraput,143,Rayagada,10,,,,,,,,5.0,47.0,179.0,125.0,1.0,1.0,2.0,0.0,360,0,2.0,362,0
21,Koraput,143,Rayagada,11,,,,,,,,33.0,106.0,418.0,406.0,7.0,8.0,8.0,6.0,992,0,19.0,1011,0
21,Koraput,143,Rayagada,12,,,,,,,,13.0,230.0,255.0,234.0,7.0,5.0,7.0,4.0,755,0,17.0,772,0
21,Koraput,143,Rayagada,13,,,,,,,,8.0,156.0,195.0,227.0,1.0,2.0,0.0,3.0,592,0,6.0,598,0
21,Koraput,143,Rayagada,14,,,,,,,,14.0,127.0,296.0,236.0,7.0,8.0,12.0,12.0,712,0,22.0,734,0
21,Koraput,143,Rayagada,15,,,,,,,,3.0,40.0,164.0,107.0,3.0,4.0,1.0,3.0,325,0,4.0,329,0
21,Koraput,143,Rayagada,16,,,,,,,,4.0,74.0,181.0,163.0,7.0,3.0,2.0,3.0,437,0,7.0,444,0
21,Koraput,143,Rayagada,17,,,,,,,,2.0,56.0,124.0,141.0,6.0,0.0,5.0,0.0,334,0,4.0,338,0
21,Koraput,143,Rayagada,18,,,,,,,,9.0,80.0,117.0,223.0,6.0,6.0,5.0,7.0,453,0,15.0,468,0
21,Koraput,143,Rayagada,19,,,,,,,,15.0,83.0,315.0,330.0,8.0,7.0,9.0,6.0,773,0,8.0,781,0
21,Koraput,143,Rayagada,20,,,,,,,,6.0,19.0,208.0,284.0,4.0,5.0,6.0,4.0,536,0,12.0,548,0
21,Koraput,143,Rayagada,21,,,,,,,,7.0,121.0,88.0,104.0,3.0,5.0,1.0,2.0,331,0,6.0,337,0
21,Koraput,143,Rayagada,22,,,,,,,,10.0,121.0,328.0,241.0,2.0,1.0,3.0,2.0,708,0,5.0,713,0
21,Koraput,143,Rayagada,23,,,,,,,,8.0,170.0,275.0,276.0,5.0,6.0,8.0,2.0,750,0,3.0,753,0
21,Koraput,143,Rayagada,24,,,,,,,,4.0,109.0,192.0,273.0,6.0,3.0,4.0,5.0,596,0,8.0,604,0
21,Koraput,143,Rayagada,25,,,,,,,,9.0,132.0,216.0,343.0,2.0,5.0,2.0,2.0,711,0,2.0,713,0
21,Koraput,143,Rayagada,26,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0
21,Koraput,143,Rayagada,27,,,,,,,,5.0,35.0,158.0,181.0,1.0,1.0,1.0,1.0,383,0,0.0,383,0
21,Koraput,143,Rayagada,28,,,,,,,,5.0,50.0,208.0,248.0,3.0,2.0,1.0,1.0,518,0,0.0,518,0
21,Koraput,143,Rayagada,29,,,,,,,,4.0,44.0,122.0,184.0,5.0,1.0,4.0,3.0,367,0,7.0,374,0
21,Koraput,143,Rayagada,30,,,,,,,,11.0,161.0,154.0,282.0,12.0,5.0,5.0,9.0,639,0,33.0,672,0
21,Koraput,143,Rayagada,31,,,,,,,,13.0,126.0,179.0,403.0,3.0,3.0,6.0,4.0,737,0,16.0,753,0
21,Koraput,143,Rayagada,32,,,,,,,,8.0,32.0,242.0,373.0,2.0,0.0,2.0,0.0,659,0,5.0,664,0
21,Koraput,143,Rayagada,33,,,,,,,,12.0,205.0,154.0,250.0,2.0,2.0,1.0,6.0,632,0,17.0,649,0
21,Koraput,143,Rayagada,34,,,,,,,,4.0,106.0,120.0,254.0,3.0,5.0,4.0,4.0,500,0,14.0,514,0
21,Koraput,143,Rayagada,35,,,,,,,,17.0,99.0,307.0,465.0,3.0,6.0,1.0,8.0,906,0,21.0,927,0
21,Koraput,143,Rayagada,36,,,,,,,,12.0,68.0,192.0,280.0,8.0,3.0,4.0,2.0,569,0,10.0,579,0
21,Koraput,143,Rayagada,37,,,,,,,,14.0,61.0,113.0,413.0,4.0,3.0,5.0,7.0,620,0,11.0,631,0
21,Koraput,143,Rayagada,38,,,,,,,,11.0,70.0,216.0,220.0,5.0,1.0,4.0,2.0,529,0,15.0,544,0
21,Koraput,143,Rayagada,39,,,,,,,,31.0,179.0,193.0,347.0,8.0,4.0,15.0,12.0,789,0,15.0,804,0
21,Koraput,143,Rayagada,40,,,,,,,,13.0,123.0,188.0,354.0,11.0,11.0,7.0,8.0,715,0,13.0,728,0
21,Koraput,143,Rayagada,41,,,,,,,,5.0,100.0,281.0,193.0,8.0,5.0,3.0,9.0,604,0,18.0,622,0
21,Koraput,143,Rayagada,42,,,,,,,,11.0,177.0,67.0,171.0,3.0,5.0,2.0,4.0,440,0,4.0,444,0
21,Koraput,143,Rayagada,43,,,,,,,,20.0,135.0,203.0,486.0,7.0,5.0,6.0,16.0,878,0,16.0,894,0
21,Koraput,143,Rayagada,44,,,,,,,,14.0,122.0,280.0,320.0,3.0,6.0,3.0,5.0,753,0,7.0,760,0
21,Koraput,143,Rayagada,45,,,,,,,,16.0,208.0,181.0,292.0,5.0,6.0,4.0,1.0,713,0,4.0,717,0
21,Koraput,143,Rayagada,46,,,,,,,,18.0,204.0,110.0,476.0,7.0,6.0,8.0,11.0,840,0,25.0,865,0
21,Koraput,143,Rayagada,47,,,,,,,,23.0,22.0,194.0,178.0,8.0,6.0,10.0,11.0,452,0,29.0,481,0
21,Koraput,143,Rayagada,48,,,,,,,,57.0,105.0,301.0,307.0,22.0,16.0,14.0,47.0,869,0,74.0,943,0
21,Koraput,143,Rayagada,49,,,,,,,,22.0,89.0,165.0,349.0,12.0,12.0,14.0,14.0,677,0,53.0,730,0
21,Koraput,143,Rayagada,50,,,,,,,,18.0,104.0,108.0,133.0,2.0,3.0,1.0,4.0,373,0,8.0,381,0
21,Koraput,143,Rayagada,51,,,,,,,,21.0,47.0,333.0,407.0,9.0,4.0,7.0,10.0,838,0,18.0,856,0
21,Koraput,143,Rayagada,52,,,,,,,,13.0,91.0,168.0,235.0,5.0,4.0,4.0,10.0,530,0,8.0,538,0
21,Koraput,143,Rayagada,53,,,,,,,,9.0,141.0,95.0,169.0,6.0,0.0,4.0,0.0,424,0,11.0,435,0
