pc_id,pc_name,ac_id,ac_name,Serial no of Polling station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total of valid votes,No. of rejected Votes(Testes),VotesforNOTA option,Total,No. of tendered votes
21,Koraput,144,Lakshmipur,1,,,,,,,,317,163,14,271,22,20,21,26,854,0,63,917,0
21,Koraput,144,Lakshmipur,2,,,,,,,,380,226,23,199,10,20,8,21,887,0,36,923,0
21,Koraput,144,Lakshmipur,3,,,,,,,,192,322,9,388,11,25,18,19,984,0,40,1024,0
21,Koraput,144,Lakshmipur,4,,,,,,,,335,166,14,229,6,7,7,4,768,0,15,783,0
21,Koraput,144,Lakshmipur,5,,,,,,,,293,180,8,187,16,7,5,7,703,0,20,723,0
21,Koraput,144,Lakshmipur,6,,,,,,,,302,144,10,137,11,6,13,23,646,0,33,679,0
21,Koraput,144,Lakshmipur,7,,,,,,,,361,256,23,371,18,9,6,8,1052,0,5,1057,0
21,Koraput,144,Lakshmipur,8,,,,,,,,167,110,3,78,1,1,4,5,369,0,9,378,0
21,Koraput,144,Lakshmipur,9,,,,,,,,135,112,14,314,7,11,10,11,614,0,24,638,0
21,Koraput,144,Lakshmipur,10,,,,,,,,110,171,10,358,9,13,18,10,699,0,9,708,0
21,Koraput,144,Lakshmipur,11,,,,,,,,135,278,14,293,11,12,2,9,754,0,5,759,0
21,Koraput,144,Lakshmipur,12,,,,,,,,222,41,7,93,7,9,21,18,418,0,56,474,0
21,Koraput,144,Lakshmipur,13,,,,,,,,322,143,18,242,16,19,21,18,799,0,30,829,0
21,Koraput,144,Lakshmipur,14,,,,,,,,155,98,13,168,10,9,13,12,478,0,25,503,0
21,Koraput,144,Lakshmipur,15,,,,,,,,385,40,32,179,28,25,30,55,774,0,59,833,0
21,Koraput,144,Lakshmipur,16,,,,,,,,279,37,8,32,16,7,12,9,400,0,16,416,0
21,Koraput,144,Lakshmipur,17,,,,,,,,335,49,18,104,17,22,18,15,578,0,16,594,0
21,Koraput,144,Lakshmipur,18,,,,,,,,206,129,8,261,11,4,0,4,623,0,6,629,0
21,Koraput,144,Lakshmipur,19,,,,,,,,264,36,15,116,25,15,7,12,490,0,14,504,0
21,Koraput,144,Lakshmipur,20,,,,,,,,250,187,19,339,26,12,12,6,851,0,22,873,0
21,Koraput,144,Lakshmipur,21,,,,,,,,104,216,17,339,3,9,12,16,716,0,1,717,0
21,Koraput,144,Lakshmipur,22,,,,,,,,117,145,8,85,2,8,3,5,373,0,7,380,0
21,Koraput,144,Lakshmipur,23,,,,,,,,284,189,15,317,9,6,8,6,834,0,19,853,0
21,Koraput,144,Lakshmipur,24,,,,,,,,390,271,24,230,21,22,0,15,973,0,22,995,0
21,Koraput,144,Lakshmipur,25,,,,,,,,413,195,16,112,13,13,5,14,781,0,22,803,0
