pc_id,pc_name,ac_id,ac_name,Serial No. Of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total of Valid Votes,No. Of Rejected Votes (Test Votes),Votes for NOTA option,Total,No. Of tender votes
21,Koraput,145,Jeypore,1,,,,,,,,114.0,5.0,287.0,195.0,5.0,6.0,612.0,0,7.0,619.0,0
21,Koraput,145,Jeypore,2,,,,,,,,48.0,4.0,181.0,22.0,4.0,55.0,314.0,0,5.0,319.0,0
21,Koraput,145,Jeypore,3,,,,,,,,381.0,13.0,156.0,33.0,14.0,10.0,607.0,0,16.0,623.0,0
21,Koraput,145,Jeypore,4,,,,,,,,288.0,18.0,115.0,144.0,6.0,44.0,615.0,0,23.0,638.0,0
21,Koraput,145,Jeypore,5,,,,,,,,243.0,20.0,96.0,44.0,5.0,38.0,446.0,0,6.0,452.0,0
21,Koraput,145,Jeypore,6,,,,,,,,219.0,10.0,207.0,51.0,9.0,8.0,504.0,0,18.0,522.0,0
21,Koraput,145,Jeypore,7,,,,,,,,214.0,8.0,322.0,110.0,13.0,5.0,672.0,0,26.0,698.0,0
21,Koraput,145,Jeypore,8,,,,,,,,151.0,6.0,388.0,76.0,23.0,32.0,676.0,0,33.0,709.0,0
21,Koraput,145,Jeypore,9,,,,,,,,193.0,4.0,206.0,96.0,10.0,17.0,526.0,0,11.0,537.0,0
21,Koraput,145,Jeypore,10,,,,,,,,246.0,12.0,359.0,71.0,8.0,19.0,715.0,0,39.0,754.0,0
21,Koraput,145,Jeypore,11,,,,,,,,139.0,3.0,121.0,56.0,10.0,12.0,341.0,0,24.0,365.0,0
21,Koraput,145,Jeypore,12,,,,,,,,162.0,10.0,71.0,21.0,6.0,46.0,316.0,0,26.0,342.0,0
21,Koraput,145,Jeypore,13,,,,,,,,323.0,22.0,243.0,125.0,13.0,77.0,803.0,0,33.0,836.0,0
21,Koraput,145,Jeypore,14,,,,,,,,216.0,15.0,302.0,105.0,17.0,14.0,669.0,0,19.0,688.0,0
21,Koraput,145,Jeypore,15,,,,,,,,135.0,17.0,182.0,59.0,14.0,20.0,427.0,0,43.0,470.0,0
21,Koraput,145,Jeypore,16,,,,,,,,315.0,21.0,108.0,19.0,8.0,1.0,472.0,0,4.0,476.0,0
21,Koraput,145,Jeypore,17,,,,,,,,282.0,8.0,101.0,113.0,6.0,5.0,515.0,0,9.0,524.0,0
21,Koraput,145,Jeypore,18,,,,,,,,401.0,21.0,256.0,133.0,13.0,13.0,837.0,0,19.0,856.0,0
21,Koraput,145,Jeypore,19,,,,,,,,234.0,11.0,271.0,186.0,25.0,16.0,743.0,0,33.0,776.0,0
21,Koraput,145,Jeypore,20,,,,,,,,259.0,8.0,212.0,290.0,15.0,7.0,791.0,0,43.0,834.0,0
21,Koraput,145,Jeypore,21,,,,,,,,214.0,7.0,164.0,240.0,7.0,11.0,643.0,0,21.0,664.0,0
21,Koraput,145,Jeypore,22,,,,,,,,137.0,10.0,189.0,165.0,6.0,10.0,517.0,0,12.0,529.0,0
21,Koraput,145,Jeypore,23,,,,,,,,196.0,26.0,395.0,54.0,13.0,18.0,702.0,0,11.0,713.0,0
21,Koraput,145,Jeypore,24,,,,,,,,283.0,9.0,78.0,99.0,4.0,5.0,478.0,0,4.0,482.0,0
