pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Total of Valid votes,No. of rejected Votes  (Test votes),Votes for NOTA option,Total,No of tendered votes
3,Sambalpur,15,Kuchinda,1,,,,,,,,446,6,262,34,8,1,12,769,0,9,778,0
3,Sambalpur,15,Kuchinda,2,,,,,,,,193,4,168,14,0,0,2,381,0,7,388,0
3,Sambalpur,15,Kuchinda,3,,,,,,,,151,2,133,19,0,2,3,310,0,7,317,0
3,Sambalpur,15,Kuchinda,4,,,,,,,,321,6,472,106,3,11,21,940,0,29,969,0
3,Sambalpur,15,Kuchinda,5,,,,,,,,226,6,217,32,4,1,4,490,0,7,497,0
3,Sambalpur,15,Kuchinda,6,,,,,,,,376,8,531,26,5,3,8,957,0,6,963,0
3,Sambalpur,15,Kuchinda,7,,,,,,,,178,4,145,78,7,1,4,417,0,11,428,0
3,Sambalpur,15,Kuchinda,8,,,,,,,,535,7,308,111,9,3,7,980,0,17,997,0
3,Sambalpur,15,Kuchinda,9,,,,,,,,321,3,229,35,2,4,0,594,0,8,602,0
3,Sambalpur,15,Kuchinda,10,,,,,,,,100,5,203,35,1,0,0,344,0,1,345,0
3,Sambalpur,15,Kuchinda,11,,,,,,,,187,5,120,204,9,2,3,530,0,4,534,0
3,Sambalpur,15,Kuchinda,12,,,,,,,,88,2,81,197,4,3,2,377,0,3,380,0
3,Sambalpur,15,Kuchinda,13,,,,,,,,215,5,142,24,0,2,3,391,0,5,396,0
3,Sambalpur,15,Kuchinda,14,,,,,,,,188,5,229,57,4,0,0,483,0,0,483,0
3,Sambalpur,15,Kuchinda,15,,,,,,,,336,9,281,71,1,7,2,707,0,2,709,0
3,Sambalpur,15,Kuchinda,16,,,,,,,,353,6,279,132,4,7,12,793,0,34,827,0
3,Sambalpur,15,Kuchinda,17,,,,,,,,331,6,251,67,4,5,6,670,0,16,686,0
