pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Total Valid Votes,No. of Rejected Votes,NOTA,Total,No. of tendered votes,Polling Station Name
3,Sambalpur,16,Rengali,1,,,,,,,,333.0,29,474,1,1,838,0,9,847,1,Talabira
3,Sambalpur,16,Rengali,2,,,,,,,,387.0,43,260,7,10,707,0,32,739,0,Budhiapali
3,Sambalpur,16,Rengali,3,,,,,,,,nan,73,317,3,6,689,0,3,692,0,Babukhinda-1
3,Sambalpur,16,Rengali,4,,,,,,,,nan,56,371,7,5,736,0,10,746,0,Babukhinda-2
3,Sambalpur,16,Rengali,5,,,,,,,,221.0,51,240,1,1,514,0,3,517,0,Bansimal
3,Sambalpur,16,Rengali,6,,,,,,,,406.0,24,230,3,2,665,0,15,680,0,Thelkoloi
3,Sambalpur,16,Rengali,7,,,,,,,,347.0,28,171,4,4,554,0,6,560,0,Thelkoloi-2
3,Sambalpur,16,Rengali,8,,,,,,,,nan,27,269,4,3,605,0,8,613,0,Dhubenchhapal
3,Sambalpur,16,Rengali,9,,,,,,,,310.0,25,415,4,4,758,0,15,773,0,Lapanga
3,Sambalpur,16,Rengali,10,,,,,,,,403.0,25,417,1,3,849,0,15,864,0,Lapanga
3,Sambalpur,16,Rengali,11,,,,,,,,546.0,51,421,8,3,1029,0,15,1044,0,Khadiapali
3,Sambalpur,16,Rengali,12,,,,,,,,349.0,145,318,4,8,824,0,18,842,0,Gumkarma
3,Sambalpur,16,Rengali,13,,,,,,,,344.0,80,247,13,4,688,0,15,703,0,Gumkarma
3,Sambalpur,16,Rengali,14,,,,,,,,215.0,112,337,6,3,673,0,7,680,0,Ghichamura
3,Sambalpur,16,Rengali,15,,,,,,,,nan,23,402,11,4,656,0,8,664,0,Ghichamura-2
3,Sambalpur,16,Rengali,16,,,,,,,,137.0,39,220,3,2,401,0,3,404,0,Beunra
3,Sambalpur,16,Rengali,17,,,,,,,,335.0,116,222,8,2,683,0,12,695,0,Derba
3,Sambalpur,16,Rengali,18,,,,,,,,468.0,85,336,6,17,912,0,9,921,0,Dharropani
3,Sambalpur,16,Rengali,19,,,,,,,,477.0,77,469,13,6,1042,0,31,1073,0,Tileimal
3,Sambalpur,16,Rengali,20,,,,,,,,357.0,42,368,10,11,788,0,15,803,0,Bomaloi-1
3,Sambalpur,16,Rengali,21,,,,,,,,195.0,15,157,2,3,372,0,16,388,0,Bomaloi-2
3,Sambalpur,16,Rengali,22,,,,,,,,271.0,13,195,7,2,488,0,4,492,0,Baiddihi
3,Sambalpur,16,Rengali,23,,,,,,,,209.0,19,229,0,4,461,0,2,463,0,Gurupali
3,Sambalpur,16,Rengali,24,,,,,,,,171.0,15,180,1,1,368,0,5,373,0,Pudapada
3,Sambalpur,16,Rengali,25,,,,,,,,447.0,22,269,7,6,751,0,18,769,0,Pondloi
3,Sambalpur,16,Rengali,26,,,,,,,,nan,22,324,1,1,693,0,7,700,0,Nishanbhanga
3,Sambalpur,16,Rengali,27,,,,,,,,129.0,15,267,5,1,417,0,6,423,0,Baunsen
3,Sambalpur,16,Rengali,28,,,,,,,,144.0,32,366,1,2,545,0,14,559,0,Babuchakuli
3,Sambalpur,16,Rengali,29,,,,,,,,259.0,21,317,4,1,602,0,1,603,0,Jharmunda
3,Sambalpur,16,Rengali,30,,,,,,,,300.0,132,670,6,2,1110,0,11,1121,0,Kurla
3,Sambalpur,16,Rengali,31,,,,,,,,243.0,105,320,5,2,675,0,9,684,0,Salad
3,Sambalpur,16,Rengali,32,,,,,,,,386.0,34,302,2,3,727,0,11,738,0,Rengali Station Basti
3,Sambalpur,16,Rengali,33,,,,,,,,280.0,22,245,0,1,548,0,15,563,0,Rengali Station Basti
3,Sambalpur,16,Rengali,34,,,,,,,,nan,42,338,4,5,627,0,8,635,0,Rengali Station-1
3,Sambalpur,16,Rengali,35,,,,,,,,222.0,11,297,1,0,531,0,5,536,0,Chuldipo Rengali-2
3,Sambalpur,16,Rengali,36,,,,,,,,169.0,22,332,2,2,527,0,2,529,0,Chuldipo Rengali-3
3,Sambalpur,16,Rengali,37,,,,,,,,316.0,12,300,4,5,637,0,7,644,0,Rengali 3
3,Sambalpur,16,Rengali,38,,,,,,,,233.0,32,343,9,6,623,0,20,643,0,Rengali -5
3,Sambalpur,16,Rengali,39,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,Rengali 4
3,Sambalpur,16,Rengali,40,,,,,,,,311.0,15,384,3,2,715,0,14,729,1,Ganeshnagar
3,Sambalpur,16,Rengali,41,,,,,,,,326.0,17,305,4,8,660,0,7,667,0,Ramachandra Nagar
3,Sambalpur,16,Rengali,42,,,,,,,,334.0,26,453,9,10,832,0,6,838,0,Jangla 1
3,Sambalpur,16,Rengali,43,,,,,,,,156.0,142,281,4,7,590,0,7,597,0,Jangla 2
3,Sambalpur,16,Rengali,44,,,,,,,,159.0,49,335,3,4,550,0,9,559,0,Jangla 3
3,Sambalpur,16,Rengali,45,,,,,,,,133.0,16,207,3,2,361,0,7,368,0,Bhursipali
3,Sambalpur,16,Rengali,46,,,,,,,,285.0,32,453,4,8,782,0,5,787,0,Badmal
3,Sambalpur,16,Rengali,47,,,,,,,,406.0,20,292,7,9,734,0,9,743,0,Basupali
3,Sambalpur,16,Rengali,48,,,,,,,,184.0,12,367,3,1,567,0,15,582,0,Luhakhandi
3,Sambalpur,16,Rengali,49,,,,,,,,345.0,136,420,15,5,921,0,16,937,0,Langbahhal
3,Sambalpur,16,Rengali,50,,,,,,,,282.0,83,276,6,8,655,0,7,662,0,Ghantmal
3,Sambalpur,16,Rengali,51,,,,,,,,474.0,43,465,9,1,992,0,10,1002,0,Laida 1
3,Sambalpur,16,Rengali,52,,,,,,,,311.0,42,336,6,10,705,0,23,728,0,Laida 2
3,Sambalpur,16,Rengali,53,,,,,,,,217.0,40,330,4,4,595,0,10,605,0,Laida 3
3,Sambalpur,16,Rengali,54,,,,,,,,150.0,42,304,2,0,498,0,5,503,0,Dalpatpali
3,Sambalpur,16,Rengali,55,,,,,,,,204.0,62,303,3,3,575,0,9,584,0,Baijapali
3,Sambalpur,16,Rengali,56,,,,,,,,280.0,37,244,2,2,565,0,7,572,0,Bhagipali
3,Sambalpur,16,Rengali,57,,,,,,,,307.0,63,580,10,4,964,0,13,977,0,Rengloi
3,Sambalpur,16,Rengali,58,,,,,,,,131.0,17,138,0,2,288,0,10,298,0,Marapatra
3,Sambalpur,16,Rengali,59,,,,,,,,183.0,21,204,2,5,415,0,5,420,0,Khuntlama
3,Sambalpur,16,Rengali,60,,,,,,,,394.0,63,358,10,3,828,0,11,839,0,Kinaloi
3,Sambalpur,16,Rengali,61,,,,,,,,224.0,63,284,6,4,581,0,7,588,0,Runimahul
3,Sambalpur,16,Rengali,62,,,,,,,,248.0,49,175,4,1,477,0,7,484,0,Jhankarpali-1
3,Sambalpur,16,Rengali,63,,,,,,,,311.0,10,243,5,1,570,0,13,583,0,Jhankarpali-2
3,Sambalpur,16,Rengali,64,,,,,,,,297.0,45,577,13,7,939,0,31,970,0,Sargipali
3,Sambalpur,16,Rengali,65,,,,,,,,274.0,22,398,10,5,709,0,18,727,0,Thurupali
3,Sambalpur,16,Rengali,66,,,,,,,,405.0,32,298,14,1,750,0,11,761,0,Katarbaga 1
3,Sambalpur,16,Rengali,67,,,,,,,,462.0,39,432,11,9,953,0,23,976,0,Katarbaga 2
3,Sambalpur,16,Rengali,68,,,,,,,,269.0,18,418,5,3,713,0,4,717,0,Golamal
3,Sambalpur,16,Rengali,69,,,,,,,,261.0,33,382,9,7,692,0,18,710,0,Golamal
3,Sambalpur,16,Rengali,70,,,,,,,,222.0,32,202,4,2,462,0,13,475,0,Brahmanipali
3,Sambalpur,16,Rengali,71,,,,,,,,255.0,57,348,5,4,669,0,7,676,0,Kadelpita
3,Sambalpur,16,Rengali,72,,,,,,,,234.0,64,556,11,8,873,0,26,899,0,Mangalpur
3,Sambalpur,16,Rengali,73,,,,,,,,nan,27,407,5,4,774,0,8,782,0,Nua-Rampella 
3,Sambalpur,16,Rengali,74,,,,,,,,218.0,32,195,3,3,451,0,9,460,0,Jharghati
3,Sambalpur,16,Rengali,75,,,,,,,,300.0,31,212,5,9,557,0,5,562,0,Saletikra
3,Sambalpur,16,Rengali,76,,,,,,,,124.0,21,255,4,5,409,0,10,419,0,Kumbharkata
3,Sambalpur,16,Rengali,77,,,,,,,,436.0,60,225,3,4,728,0,11,739,0,Kilasama-1
3,Sambalpur,16,Rengali,78,,,,,,,,340.0,85,322,11,7,765,0,18,783,0,Kilasama-2
3,Sambalpur,16,Rengali,79,,,,,,,,245.0,14,272,6,6,543,0,12,555,0,Pitapali
3,Sambalpur,16,Rengali,80,,,,,,,,150.0,15,185,3,2,355,0,0,355,0,Sagunpali
3,Sambalpur,16,Rengali,81,,,,,,,,468.0,11,274,3,2,758,0,8,766,0,Balbaspur
3,Sambalpur,16,Rengali,82,,,,,,,,195.0,14,170,5,2,386,0,7,393,0,Tihura
3,Sambalpur,16,Rengali,83,,,,,,,,212.0,25,270,1,3,511,0,4,515,0,Pandripali
3,Sambalpur,16,Rengali,84,,,,,,,,380.0,22,397,3,5,807,0,32,839,0,Talab 1
3,Sambalpur,16,Rengali,85,,,,,,,,312.0,47,355,7,5,726,0,22,748,0,Talab 2
3,Sambalpur,16,Rengali,86,,,,,,,,9.0,57,113,0,0,179,0,2,181,0,Baramunda
3,Sambalpur,16,Rengali,87,,,,,,,,177.0,71,169,2,1,420,0,8,428,0,Bhalukunda
3,Sambalpur,16,Rengali,88,,,,,,,,376.0,31,283,3,2,695,0,20,715,0,Jogipali
3,Sambalpur,16,Rengali,89,,,,,,,,505.0,50,421,4,6,986,0,15,1001,0,Jamadarpali
3,Sambalpur,16,Rengali,90,,,,,,,,310.0,63,412,6,10,801,0,17,818,0,Budakata
3,Sambalpur,16,Rengali,91,,,,,,,,419.0,123,342,6,5,895,0,10,905,0,Gadmunda
3,Sambalpur,16,Rengali,92,,,,,,,,nan,57,289,7,4,607,0,31,638,0,Mahammadpur 1
3,Sambalpur,16,Rengali,93,,,,,,,,nan,96,396,6,3,1018,0,19,1037,0,Mahammadpur 2
3,Sambalpur,16,Rengali,94,,,,,,,,417.0,21,105,8,4,555,0,9,564,0,Ranibandh
3,Sambalpur,16,Rengali,95,,,,,,,,483.0,45,341,8,6,883,0,21,904,0,Dengsargi
3,Sambalpur,16,Rengali,96,,,,,,,,403.0,47,205,5,4,664,0,2,666,0,Singhpali
3,Sambalpur,16,Rengali,97,,,,,,,,316.0,73,221,3,6,619,0,12,631,0,Singhpali
3,Sambalpur,16,Rengali,98,,,,,,,,396.0,13,159,2,2,572,0,4,576,0,Kainsir
3,Sambalpur,16,Rengali,99,,,,,,,,259.0,9,187,4,3,462,0,7,469,0,Kainsir-2
3,Sambalpur,16,Rengali,100,,,,,,,,nan,41,252,8,2,860,0,13,873,0,Bahidarnuapali
3,Sambalpur,16,Rengali,101,,,,,,,,410.0,88,317,2,1,818,0,9,827,0,Malipali
3,Sambalpur,16,Rengali,102,,,,,,,,492.0,49,282,4,3,830,0,16,846,0,Sankarma
3,Sambalpur,16,Rengali,103,,,,,,,,481.0,65,227,4,7,784,0,23,807,0,Pardhiapali
3,Sambalpur,16,Rengali,104,,,,,,,,558.0,73,416,7,1,1055,0,8,1063,0,Debeipali
3,Sambalpur,16,Rengali,105,,,,,,,,nan,42,181,2,3,591,0,8,599,0,Sandhasingha
3,Sambalpur,16,Rengali,106,,,,,,,,316.0,29,280,4,3,632,0,8,640,0,Katapali
3,Sambalpur,16,Rengali,107,,,,,,,,112.0,13,135,1,3,264,0,6,270,0,Bisipali
3,Sambalpur,16,Rengali,108,,,,,,,,184.0,49,274,3,3,513,0,13,526,0,Sasan 1
3,Sambalpur,16,Rengali,109,,,,,,,,391.0,65,378,10,7,851,0,17,868,0,Sasan 2
3,Sambalpur,16,Rengali,110,,,,,,,,290.0,36,252,2,2,582,0,6,588,0,Sasan 3
3,Sambalpur,16,Rengali,111,,,,,,,,253.0,42,243,6,3,547,0,5,552,0,Kankhinda
3,Sambalpur,16,Rengali,112,,,,,,,,225.0,9,191,2,2,429,0,6,435,0,Kankhinda
3,Sambalpur,16,Rengali,113,,,,,,,,325.0,51,244,4,2,626,0,8,634,0,Bhalubahal
3,Sambalpur,16,Rengali,114,,,,,,,,267.0,56,218,2,1,544,0,3,547,0,Bhalubahal-2
3,Sambalpur,16,Rengali,115,,,,,,,,nan,40,359,3,9,669,0,14,683,0,Lammal Camp
3,Sambalpur,16,Rengali,116,,,,,,,,nan,32,361,9,8,769,0,10,779,0,Sanatitheipali
3,Sambalpur,16,Rengali,117,,,,,,,,231.0,58,257,2,1,549,0,14,563,0,Pandiapali
3,Sambalpur,16,Rengali,118,,,,,,,,248.0,19,166,4,0,437,0,4,441,0,Pandripali
3,Sambalpur,16,Rengali,119,,,,,,,,327.0,120,328,7,4,786,0,6,792,0,Tabadabahal
3,Sambalpur,16,Rengali,120,,,,,,,,376.0,57,319,9,7,768,0,22,790,0,Kusumdihi
3,Sambalpur,16,Rengali,121,,,,,,,,nan,75,301,11,11,731,0,20,751,0,Tamparkela -1
3,Sambalpur,16,Rengali,122,,,,,,,,nan,49,151,6,4,419,0,8,427,0,Tamparkela -4
3,Sambalpur,16,Rengali,123,,,,,,,,nan,57,293,8,6,804,0,30,834,0,Tamparkela -2
3,Sambalpur,16,Rengali,124,,,,,,,,nan,120,390,12,9,786,0,14,800,0,Tamparkela -3
3,Sambalpur,16,Rengali,125,,,,,,,,353.0,59,428,5,3,848,0,9,857,0,Bardunguri
3,Sambalpur,16,Rengali,126,,,,,,,,256.0,43,308,3,2,612,0,8,620,0,Sangramal 1
3,Sambalpur,16,Rengali,127,,,,,,,,301.0,11,475,4,1,792,0,1,793,0,Sangramal 2
3,Sambalpur,16,Rengali,128,,,,,,,,483.0,27,409,11,8,938,0,11,949,0,Mura
3,Sambalpur,16,Rengali,129,,,,,,,,314.0,36,411,6,4,771,0,13,784,0,Rasiapali
3,Sambalpur,16,Rengali,131,,,,,,,,424.0,30,327,7,3,791,0,16,807,0,Bhikampur 1
3,Sambalpur,16,Rengali,132,,,,,,,,300.0,67,236,2,1,606,0,9,615,0,Bhikampur 3
3,Sambalpur,16,Rengali,133,,,,,,,,377.0,82,413,8,6,886,0,3,889,0,Bhikampur 2
3,Sambalpur,16,Rengali,134,,,,,,,,609.0,38,359,5,4,1015,0,8,1023,0,Parmanpur 1
3,Sambalpur,16,Rengali,135,,,,,,,,334.0,69,312,10,6,731,0,6,737,0,Parmanpur 2
3,Sambalpur,16,Rengali,136,,,,,,,,258.0,68,355,5,0,686,0,2,688,0,Parmanpur-3
3,Sambalpur,16,Rengali,137,,,,,,,,nan,21,235,7,3,563,0,7,570,0,Bishalkhinda -1
3,Sambalpur,16,Rengali,138,,,,,,,,nan,33,261,6,3,540,0,7,547,0,Bishalkhinda -3
3,Sambalpur,16,Rengali,139,,,,,,,,nan,28,288,4,3,647,0,9,656,0,Bishalkhinda -2
3,Sambalpur,16,Rengali,140,,,,,,,,313.0,26,214,3,7,563,0,12,575,0,Pithampur
3,Sambalpur,16,Rengali,141,,,,,,,,422.0,39,276,3,0,740,0,8,748,0,Tabla
3,Sambalpur,16,Rengali,142,,,,,,,,233.0,53,440,1,1,728,0,6,734,0,Tabla
3,Sambalpur,16,Rengali,143,,,,,,,,265.0,87,219,5,7,583,0,18,601,0,Gudesingha
3,Sambalpur,16,Rengali,144,,,,,,,,nan,55,208,8,5,606,0,22,628,0,Gudesingha-2
3,Sambalpur,16,Rengali,145,,,,,,,,268.0,69,310,6,2,655,0,26,681,0,Khulia
3,Sambalpur,16,Rengali,146,,,,,,,,232.0,36,271,3,0,542,0,3,545,0,Khulia-2
3,Sambalpur,16,Rengali,147,,,,,,,,367.0,32,213,7,6,625,0,5,630,0,Kultanuapali
3,Sambalpur,16,Rengali,148,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,Kultanuapali
3,Sambalpur,16,Rengali,149,,,,,,,,349.0,17,391,3,0,760,0,6,766,0,Gambharkata
3,Sambalpur,16,Rengali,150,,,,,,,,283.0,21,198,3,6,511,0,7,518,0,Kolapali
3,Sambalpur,16,Rengali,151,,,,,,,,416.0,28,227,4,5,680,0,10,690,0,Themra -1
