pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Unnamed: 10,Total Valid Votes,No. of Rejected Votes,NOTA,Total,No. of tendered votes
3,Sambalpur,17,Sambalpur,nan,,,,,,,,nan,"Dr. Aswini 
Kumar 
Pujahari","Jaya 
Narayan 
Mishra",Dilip Singh,"Dr. 
Raseswari 
Panigrahi","Laxman 
Kumar 
Bhoi","Jayabrata 
Dey","Jayashree 
Mishra","Prabhas 
Pruseth","Pragnya 
Patnaik",nan,nan,nan,nan,nan
3,Sambalpur,17,Sambalpur,1.0,,,,,,,,Mahatab Nagar - 1133,nan,284,10,304,1,7,4,10,5,758.0,0.0,14.0,772.0,1.0
3,Sambalpur,17,Sambalpur,2.0,,,,,,,,Mahatab Nagar-284,nan,174,4,232,0,6,3,2,2,507.0,0.0,1.0,508.0,0.0
3,Sambalpur,17,Sambalpur,3.0,,,,,,,,University Campus0,nan,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3,Sambalpur,17,Sambalpur,4.0,,,,,,,,Golgunda -1,108,355,13,415,4,2,2,4,2,905.0,0.0,10.0,915.0,0.0
3,Sambalpur,17,Sambalpur,5.0,,,,,,,,Golgunda-2,60,174,5,237,0,1,2,2,1,482.0,0.0,3.0,485.0,0.0
3,Sambalpur,17,Sambalpur,6.0,,,,,,,,Post Office Colony - 1,90,267,5,251,0,3,4,2,2,624.0,0.0,6.0,630.0,0.0
3,Sambalpur,17,Sambalpur,7.0,,,,,,,,Post Office Colony - 6,91,269,19,271,0,0,0,0,1,651.0,0.0,10.0,661.0,0.0
3,Sambalpur,17,Sambalpur,8.0,,,,,,,,Post Office Colony - 2,114,283,39,289,3,4,2,3,2,739.0,0.0,12.0,751.0,0.0
3,Sambalpur,17,Sambalpur,9.0,,,,,,,,Post Office Colony - 3,104,154,17,152,0,2,2,1,1,433.0,0.0,2.0,435.0,0.0
3,Sambalpur,17,Sambalpur,10.0,,,,,,,,Post Office Colony - 4,73,230,2,339,1,2,1,5,1,654.0,0.0,7.0,661.0,0.0
3,Sambalpur,17,Sambalpur,11.0,,,,,,,,nan,"Bishnu Mandir Pada - 1
187",292,65,342,4,7,2,2,2,903.0,0.0,12.0,915.0,0.0
3,Sambalpur,17,Sambalpur,12.0,,,,,,,,nan,"Bishnu Mandir Pada - 2
90",269,14,315,1,4,0,2,1,696.0,0.0,9.0,705.0,0.0
3,Sambalpur,17,Sambalpur,13.0,,,,,,,,Post Office Colony - 5,131,397,8,373,2,6,0,4,2,923.0,0.0,5.0,928.0,0.0
3,Sambalpur,17,Sambalpur,14.0,,,,,,,,Post Office Colony - 7,59,300,9,181,1,1,0,3,1,555.0,0.0,2.0,557.0,0.0
3,Sambalpur,17,Sambalpur,15.0,,,,,,,,Krushna Mandir Pada,77,121,11,187,2,0,1,1,1,401.0,0.0,3.0,404.0,0.0
3,Sambalpur,17,Sambalpur,16.0,,,,,,,,nan,"Krushna Mandir Pada-2
88",165,2,215,0,1,0,2,2,475.0,0.0,1.0,476.0,0.0
3,Sambalpur,17,Sambalpur,17.0,,,,,,,,Sadeipali - 1,129,320,15,451,4,7,3,2,5,936.0,0.0,10.0,946.0,0.0
3,Sambalpur,17,Sambalpur,18.0,,,,,,,,Sadeipali - 6,73,229,5,254,0,2,0,8,1,572.0,0.0,8.0,580.0,0.0
3,Sambalpur,17,Sambalpur,19.0,,,,,,,,Sadeipali - 2,78,192,7,266,1,6,0,22,1,573.0,0.0,2.0,575.0,0.0
