pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total Valid Votes,No. of Rejected Votes (Test votes),Votes for NOTA option,Total,No. of tendered votes
3,Sambalpur,18,Rairakhol,1,,,,,,,,37,185,212,2,3,0,5,1,445,0,3,448,0
3,Sambalpur,18,Rairakhol,2,,,,,,,,78,203,336,1,2,2,3,6,631,0,9,640,0
3,Sambalpur,18,Rairakhol,3,,,,,,,,109,224,245,2,2,2,36,4,624,0,4,628,0
3,Sambalpur,18,Rairakhol,4,,,,,,,,117,167,172,6,1,4,9,5,481,0,8,489,0
3,Sambalpur,18,Rairakhol,5,,,,,,,,101,88,186,0,0,0,4,1,380,0,1,381,0
3,Sambalpur,18,Rairakhol,6,,,,,,,,37,151,147,0,0,0,3,0,338,0,3,341,0
3,Sambalpur,18,Rairakhol,7,,,,,,,,188,407,367,6,9,5,19,23,1024,0,12,1036,0
3,Sambalpur,18,Rairakhol,8,,,,,,,,56,222,144,1,3,3,5,8,442,0,3,445,0
3,Sambalpur,18,Rairakhol,9,,,,,,,,131,144,350,1,2,1,2,4,635,0,5,640,0
3,Sambalpur,18,Rairakhol,10,,,,,,,,98,207,203,6,1,1,2,3,521,0,4,525,0
3,Sambalpur,18,Rairakhol,11,,,,,,,,108,115,137,4,1,0,1,0,366,0,2,368,0
3,Sambalpur,18,Rairakhol,12,,,,,,,,145,367,349,10,7,4,22,9,913,0,20,933,0
3,Sambalpur,18,Rairakhol,13,,,,,,,,162,235,280,7,3,4,10,5,706,0,1,707,0
3,Sambalpur,18,Rairakhol,14,,,,,,,,111,74,107,1,0,1,1,5,300,0,3,303,0
3,Sambalpur,18,Rairakhol,15,,,,,,,,150,106,117,3,2,0,0,9,387,0,4,391,0
3,Sambalpur,18,Rairakhol,16,,,,,,,,167,427,280,3,3,5,5,12,902,0,5,907,0
3,Sambalpur,18,Rairakhol,17,,,,,,,,154,252,486,3,2,1,8,2,908,0,10,918,0
3,Sambalpur,18,Rairakhol,18,,,,,,,,97,137,135,2,2,0,1,2,376,0,0,376,0
3,Sambalpur,18,Rairakhol,19,,,,,,,,108,180,286,1,2,0,0,3,580,0,2,582,0
3,Sambalpur,18,Rairakhol,20,,,,,,,,73,102,215,0,2,2,2,1,397,0,4,401,0
3,Sambalpur,18,Rairakhol,21,,,,,,,,125,161,158,6,1,1,6,3,461,0,2,463,0
3,Sambalpur,18,Rairakhol,22,,,,,,,,234,302,384,20,4,0,9,10,963,0,17,980,0
3,Sambalpur,18,Rairakhol,23,,,,,,,,109,197,280,10,1,0,1,1,599,0,13,612,0
3,Sambalpur,18,Rairakhol,24,,,,,,,,147,281,298,2,0,1,1,3,733,0,8,741,0
3,Sambalpur,18,Rairakhol,25,,,,,,,,207,325,405,4,1,2,10,9,963,0,22,985,0
3,Sambalpur,18,Rairakhol,26,,,,,,,,227,151,158,1,6,3,3,6,555,0,13,568,0
3,Sambalpur,18,Rairakhol,27,,,,,,,,87,129,170,0,0,0,3,0,389,0,3,392,0
3,Sambalpur,18,Rairakhol,28,,,,,,,,214,124,117,1,3,4,7,1,471,0,12,483,0
3,Sambalpur,18,Rairakhol,29,,,,,,,,106,85,178,2,1,0,2,1,375,0,2,377,0
3,Sambalpur,18,Rairakhol,30,,,,,,,,171,142,142,2,1,2,10,3,473,0,7,480,0
3,Sambalpur,18,Rairakhol,31,,,,,,,,139,131,223,2,1,0,6,0,502,0,1,503,0
3,Sambalpur,18,Rairakhol,32,,,,,,,,111,121,185,6,1,3,6,5,438,0,7,445,0
3,Sambalpur,18,Rairakhol,33,,,,,,,,218,303,415,5,3,8,12,9,973,0,22,995,0
3,Sambalpur,18,Rairakhol,34,,,,,,,,278,147,297,5,0,3,8,10,748,0,18,766,0
3,Sambalpur,18,Rairakhol,35,,,,,,,,52,6,70,0,0,0,1,0,129,0,1,130,0
3,Sambalpur,18,Rairakhol,36,,,,,,,,157,278,300,2,4,3,3,4,751,0,6,757,0
3,Sambalpur,18,Rairakhol,37,,,,,,,,152,203,194,7,4,2,1,4,567,0,1,568,0
3,Sambalpur,18,Rairakhol,38,,,,,,,,46,88,333,3,0,1,2,0,473,0,2,475,0
3,Sambalpur,18,Rairakhol,39,,,,,,,,172,412,282,8,3,2,7,5,891,0,10,901,0
3,Sambalpur,18,Rairakhol,40,,,,,,,,112,217,183,3,2,2,4,7,530,0,5,535,0
3,Sambalpur,18,Rairakhol,41,,,,,,,,103,298,319,2,2,1,7,5,737,0,3,740,0
3,Sambalpur,18,Rairakhol,42,,,,,,,,22,178,160,1,0,0,0,2,363,0,2,365,0
3,Sambalpur,18,Rairakhol,43,,,,,,,,86,166,412,9,4,2,5,8,692,0,7,699,0
3,Sambalpur,18,Rairakhol,44,,,,,,,,27,227,167,0,2,4,14,7,448,0,3,451,0
