pc_id,pc_name,ac_id,ac_name,Booth No.,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Candidate 13,Total no of valid votes,No of rejected votes,NOTA,Total,No of tendered votes
3,Sambalpur,19,Deogarh,1,,,,,,,,79,4,221,105,2,0,0,2,2,1,5,10,2,433,nan,12,445,nan
3,Sambalpur,19,Deogarh,2,,,,,,,,105,0,91,115,1,3,2,0,1,1,1,5,0,325,nan,1,326,nan
3,Sambalpur,19,Deogarh,3,,,,,,,,118,4,36,32,1,0,0,1,0,0,2,8,2,204,nan,2,206,nan
3,Sambalpur,19,Deogarh,4,,,,,,,,143,4,266,139,6,3,0,0,1,1,3,8,0,574,nan,2,576,nan
3,Sambalpur,19,Deogarh,5,,,,,,,,124,8,90,113,6,0,2,0,1,2,4,10,3,363,nan,3,366,nan
3,Sambalpur,19,Deogarh,6,,,,,,,,90,2,272,348,11,0,4,2,1,2,3,11,3,749,nan,7,756,nan
3,Sambalpur,19,Deogarh,7,,,,,,,,63,4,221,191,1,1,3,1,1,1,2,1,0,490,nan,0,490,nan
3,Sambalpur,19,Deogarh,8,,,,,,,,45,3,103,26,1,0,33,1,1,0,1,2,0,216,nan,2,218,nan
3,Sambalpur,19,Deogarh,9,,,,,,,,104,10,307,159,12,2,1,3,10,3,6,157,19,793,nan,18,811,nan
3,Sambalpur,19,Deogarh,10,,,,,,,,222,11,164,150,5,2,3,5,4,5,3,81,5,660,nan,11,671,nan
3,Sambalpur,19,Deogarh,11,,,,,,,,36,4,166,169,6,2,7,1,2,4,5,44,7,453,nan,10,463,nan
3,Sambalpur,19,Deogarh,12,,,,,,,,137,4,91,236,9,3,3,5,6,3,4,68,4,573,nan,8,581,nan
3,Sambalpur,19,Deogarh,13,,,,,,,,128,15,233,298,9,4,4,9,7,8,8,44,13,780,nan,27,807,nan
3,Sambalpur,19,Deogarh,14,,,,,,,,44,10,120,132,5,1,2,1,2,4,1,18,5,345,nan,6,351,nan
3,Sambalpur,19,Deogarh,15,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,nan
3,Sambalpur,19,Deogarh,16,,,,,,,,64,7,137,127,5,1,2,1,0,0,2,6,2,354,nan,0,354,nan
3,Sambalpur,19,Deogarh,17,,,,,,,,116,6,160,224,5,3,1,1,4,3,3,31,4,561,nan,3,564,nan
3,Sambalpur,19,Deogarh,18,,,,,,,,104,8,164,197,9,4,1,0,4,0,2,5,4,502,nan,8,510,nan
3,Sambalpur,19,Deogarh,19,,,,,,,,223,14,286,290,14,7,9,6,5,4,9,24,7,898,nan,3,901,nan
3,Sambalpur,19,Deogarh,20,,,,,,,,99,1,147,88,3,0,1,4,3,4,5,19,7,381,nan,12,393,nan
3,Sambalpur,19,Deogarh,21,,,,,,,,85,2,78,122,1,3,0,2,1,1,3,10,4,312,nan,3,315,nan
3,Sambalpur,19,Deogarh,22,,,,,,,,70,3,87,147,3,4,0,0,1,0,1,5,1,322,nan,2,324,nan
3,Sambalpur,19,Deogarh,23,,,,,,,,96,1,149,107,0,0,0,1,0,0,0,1,0,355,nan,2,357,nan
3,Sambalpur,19,Deogarh,24,,,,,,,,146,7,193,262,3,1,1,1,3,2,5,5,4,633,nan,5,638,nan
3,Sambalpur,19,Deogarh,25,,,,,,,,200,9,280,113,5,3,1,1,1,0,1,7,0,621,nan,5,626,nan
3,Sambalpur,19,Deogarh,26,,,,,,,,21,2,66,69,0,0,0,0,1,1,3,2,1,166,nan,2,168,nan
3,Sambalpur,19,Deogarh,27,,,,,,,,61,8,377,215,5,6,3,0,2,1,1,1,0,680,nan,1,681,nan
3,Sambalpur,19,Deogarh,28,,,,,,,,145,2,71,47,1,4,1,0,1,0,1,0,1,274,nan,3,277,nan
3,Sambalpur,19,Deogarh,29,,,,,,,,90,5,112,186,0,1,0,0,0,3,1,2,2,402,nan,0,402,nan
3,Sambalpur,19,Deogarh,30,,,,,,,,27,4,338,255,6,1,2,0,3,2,2,7,3,650,nan,6,656,nan
3,Sambalpur,19,Deogarh,31,,,,,,,,115,8,209,231,6,2,0,0,1,1,0,1,2,576,nan,4,580,nan
