pc_id,pc_name,ac_id,ac_name,Sl NO OF POLLING STATION,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,TOTAL OF VALID VOTES,NO OF REJECTED VOTES(TEST VOTES),VOTES FOR NOTA OPTION,TOTAL,NO. OF TENDERED VOTES
3,Sambalpur,20,Chhendipada,1.0,,,,,,,,171.0,41.0,150.0,13.0,4.0,10.0,5.0,394.0,0.0,28.0,422.0,0.0
3,Sambalpur,20,Chhendipada,2.0,,,,,,,,96.0,17.0,252.0,4.0,3.0,2.0,2.0,376.0,0.0,6.0,382.0,0.0
3,Sambalpur,20,Chhendipada,3.0,,,,,,,,74.0,17.0,119.0,3.0,2.0,6.0,10.0,231.0,0.0,6.0,237.0,0.0
3,Sambalpur,20,Chhendipada,4.0,,,,,,,,75.0,41.0,285.0,23.0,6.0,11.0,9.0,450.0,0.0,8.0,458.0,0.0
3,Sambalpur,20,Chhendipada,5.0,,,,,,,,34.0,52.0,162.0,5.0,3.0,6.0,3.0,265.0,0.0,7.0,272.0,0.0
3,Sambalpur,20,Chhendipada,6.0,,,,,,,,60.0,3.0,4.0,1.0,1.0,0.0,0.0,69.0,0.0,0.0,69.0,0.0
3,Sambalpur,20,Chhendipada,7.0,,,,,,,,75.0,15.0,91.0,2.0,0.0,6.0,12.0,201.0,0.0,22.0,223.0,0.0
3,Sambalpur,20,Chhendipada,8.0,,,,,,,,84.0,9.0,120.0,3.0,2.0,3.0,5.0,226.0,0.0,24.0,250.0,0.0
3,Sambalpur,20,Chhendipada,9.0,,,,,,,,336.0,33.0,202.0,5.0,4.0,6.0,14.0,600.0,0.0,10.0,610.0,0.0
3,Sambalpur,20,Chhendipada,10.0,,,,,,,,174.0,17.0,113.0,4.0,5.0,9.0,14.0,336.0,0.0,38.0,374.0,0.0
3,Sambalpur,20,Chhendipada,11.0,,,,,,,,252.0,35.0,204.0,8.0,2.0,1.0,6.0,508.0,0.0,6.0,514.0,0.0
3,Sambalpur,20,Chhendipada,12.0,,,,,,,,148.0,37.0,167.0,25.0,2.0,11.0,10.0,400.0,0.0,45.0,445.0,0.0
3,Sambalpur,20,Chhendipada,13.0,,,,,,,,119.0,10.0,153.0,6.0,0.0,2.0,0.0,290.0,0.0,5.0,295.0,0.0
3,Sambalpur,20,Chhendipada,14.0,,,,,,,,211.0,53.0,310.0,7.0,2.0,10.0,11.0,604.0,0.0,22.0,626.0,0.0
3,Sambalpur,20,Chhendipada,15.0,,,,,,,,118.0,42.0,277.0,16.0,2.0,4.0,5.0,464.0,0.0,22.0,486.0,0.0
3,Sambalpur,20,Chhendipada,17.0,,,,,,,,254.0,18.0,167.0,31.0,1.0,5.0,6.0,482.0,0.0,20.0,502.0,0.0
3,Sambalpur,20,Chhendipada,18.0,,,,,,,,85.0,15.0,135.0,4.0,4.0,6.0,13.0,262.0,0.0,32.0,294.0,0.0
3,Sambalpur,20,Chhendipada,19.0,,,,,,,,138.0,52.0,344.0,28.0,15.0,9.0,9.0,595.0,0.0,5.0,600.0,0.0
3,Sambalpur,20,Chhendipada,20.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
