pc_id,pc_name,ac_id,ac_name,Booth No.,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Total Valid votes,No. of Rejected Votes,Total,No. of Tendered Votes,Votes for NOTA option
4,Keonjhar,21,Karanjia,1,,,,,,,,140,141,334,4,3,4,6,632,0,639,0,7
4,Keonjhar,21,Karanjia,2,,,,,,,,113,238,257,12,4,2,6,632,0,642,0,10
4,Keonjhar,21,Karanjia,3,,,,,,,,120,72,142,5,3,1,3,346,0,351,0,5
4,Keonjhar,21,Karanjia,4,,,,,,,,230,138,180,8,7,5,3,571,0,577,0,6
4,Keonjhar,21,Karanjia,5,,,,,,,,342,183,280,4,3,4,16,832,0,842,0,10
4,Keonjhar,21,Karanjia,6,,,,,,,,150,65,120,2,3,0,1,341,0,344,0,3
4,Keonjhar,21,Karanjia,7,,,,,,,,146,104,211,7,9,1,4,482,0,486,0,4
4,Keonjhar,21,Karanjia,8,,,,,,,,100,77,154,1,1,1,1,335,0,338,0,3
4,Keonjhar,21,Karanjia,9,,,,,,,,95,81,268,2,1,3,0,450,0,452,0,2
4,Keonjhar,21,Karanjia,10,,,,,,,,99,35,204,0,2,1,3,344,0,348,0,4
4,Keonjhar,21,Karanjia,11,,,,,,,,146,26,146,0,1,1,0,320,0,324,0,4
4,Keonjhar,21,Karanjia,12,,,,,,,,139,106,232,1,3,2,4,487,0,493,0,6
4,Keonjhar,21,Karanjia,13,,,,,,,,254,255,243,8,6,3,9,778,0,809,0,31
4,Keonjhar,21,Karanjia,14,,,,,,,,50,81,127,4,2,0,6,270,0,276,0,6
4,Keonjhar,21,Karanjia,15,,,,,,,,248,142,176,7,3,3,5,584,0,591,0,7
4,Keonjhar,21,Karanjia,16,,,,,,,,180,125,196,3,1,2,7,514,0,519,0,5
4,Keonjhar,21,Karanjia,17,,,,,,,,143,176,394,8,2,2,7,732,0,745,0,13
4,Keonjhar,21,Karanjia,18,,,,,,,,281,130,273,4,5,2,8,703,0,712,0,9
4,Keonjhar,21,Karanjia,19,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
4,Keonjhar,21,Karanjia,20,,,,,,,,94,270,583,6,2,3,7,965,0,973,0,8
4,Keonjhar,21,Karanjia,21,,,,,,,,233,212,324,2,5,3,13,792,0,799,0,7
4,Keonjhar,21,Karanjia,22,,,,,,,,166,93,232,3,3,0,6,503,0,510,0,7
4,Keonjhar,21,Karanjia,23,,,,,,,,52,82,223,2,0,2,5,366,0,367,0,1
4,Keonjhar,21,Karanjia,24,,,,,,,,272,159,241,4,3,5,7,691,0,699,0,8
4,Keonjhar,21,Karanjia,25,,,,,,,,172,162,328,4,0,3,2,671,0,685,0,14
4,Keonjhar,21,Karanjia,26,,,,,,,,291,117,261,3,6,1,11,690,0,692,0,2
4,Keonjhar,21,Karanjia,27,,,,,,,,234,95,142,1,2,0,2,476,0,478,0,2
4,Keonjhar,21,Karanjia,28,,,,,,,,145,95,272,4,5,2,9,532,0,540,0,8
4,Keonjhar,21,Karanjia,29,,,,,,,,125,61,130,0,0,0,3,319,0,322,0,3
4,Keonjhar,21,Karanjia,30,,,,,,,,117,84,509,3,2,2,18,735,0,749,0,14
4,Keonjhar,21,Karanjia,31,,,,,,,,61,38,139,2,3,2,6,251,0,260,0,9
4,Keonjhar,21,Karanjia,32,,,,,,,,115,37,240,4,4,1,1,402,0,403,0,1
4,Keonjhar,21,Karanjia,33,,,,,,,,50,59,362,1,3,1,9,485,0,503,0,18
4,Keonjhar,21,Karanjia,34,,,,,,,,90,60,151,1,1,0,1,304,0,305,0,1
4,Keonjhar,21,Karanjia,35,,,,,,,,140,104,143,1,1,1,1,391,0,392,0,1
4,Keonjhar,21,Karanjia,36,,,,,,,,304,89,268,3,5,8,7,684,0,703,0,19
4,Keonjhar,21,Karanjia,37,,,,,,,,279,91,236,14,6,7,12,645,0,660,0,15
4,Keonjhar,21,Karanjia,38,,,,,,,,169,47,508,2,4,5,17,752,0,764,0,12
4,Keonjhar,21,Karanjia,39,,,,,,,,38,3,17,0,3,1,1,63,0,65,0,2
4,Keonjhar,21,Karanjia,40,,,,,,,,281,80,173,5,3,2,4,548,0,551,0,3
4,Keonjhar,21,Karanjia,41,,,,,,,,289,318,225,3,3,0,5,843,0,849,0,6
