pc_id,pc_name,ac_id,ac_name,Booth No.,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total Valid votes,No. of Rejected Votes,Votes for NOTA option,Total,No. of Tendered Votes
4,Keonjhar,22,Telkoi,1,,,,,,,,23,92,114,2,1,2,2,2,238,0,4.0,242,0
4,Keonjhar,22,Telkoi,2,,,,,,,,183,276,142,6,10,2,2,2,623,0,1.0,624,0
4,Keonjhar,22,Telkoi,3,,,,,,,,72,78,332,10,10,7,3,3,515,0,21.0,536,0
4,Keonjhar,22,Telkoi,4,,,,,,,,78,174,368,7,36,10,12,8,693,0,22.0,715,0
4,Keonjhar,22,Telkoi,6,,,,,,,,38,153,132,4,1,1,3,2,334,0,3.0,337,0
4,Keonjhar,22,Telkoi,7,,,,,,,,16,136,206,2,2,0,2,1,365,0,5.0,370,0
4,Keonjhar,22,Telkoi,8,,,,,,,,43,122,251,2,4,5,8,11,446,0,16.0,462,0
4,Keonjhar,22,Telkoi,9,,,,,,,,147,184,423,5,7,10,5,3,784,0,11.0,795,0
4,Keonjhar,22,Telkoi,10,,,,,,,,101,164,330,6,4,1,3,5,614,0,4.0,618,0
4,Keonjhar,22,Telkoi,11,,,,,,,,101,117,324,6,1,3,2,2,556,0,4.0,560,0
4,Keonjhar,22,Telkoi,12,,,,,,,,139,79,280,7,5,2,6,4,522,0,17.0,539,0
4,Keonjhar,22,Telkoi,13,,,,,,,,85,103,198,4,2,5,6,7,410,0,15.0,425,0
4,Keonjhar,22,Telkoi,14,,,,,,,,157,189,399,6,0,3,3,3,760,0,3.0,763,0
4,Keonjhar,22,Telkoi,15,,,,,,,,13,21,117,1,0,1,0,0,153,0,1.0,154,0
4,Keonjhar,22,Telkoi,16,,,,,,,,35,193,242,2,2,4,5,11,494,0,15.0,509,0
4,Keonjhar,22,Telkoi,17,,,,,,,,192,329,274,1,2,1,0,5,804,0,5.0,809,0
4,Keonjhar,22,Telkoi,18,,,,,,,,105,111,335,2,4,1,8,7,573,0,26.0,599,0
4,Keonjhar,22,Telkoi,19,,,,,,,,38,127,278,6,0,3,4,5,461,0,5.0,466,0
4,Keonjhar,22,Telkoi,20,,,,,,,,57,166,131,2,3,0,1,2,362,0,3.0,365,0
4,Keonjhar,22,Telkoi,21,,,,,,,,113,95,519,5,7,2,12,3,756,0,14.0,770,0
4,Keonjhar,22,Telkoi,22,,,,,,,,88,46,382,4,0,0,1,2,523,0,2.0,525,0
4,Keonjhar,22,Telkoi,23,,,,,,,,92,50,344,7,1,2,1,4,501,0,1.0,502,0
4,Keonjhar,22,Telkoi,24,,,,,,,,131,117,442,1,4,1,1,0,697,0,1.0,698,0
4,Keonjhar,22,Telkoi,25,,,,,,,,95,46,478,7,5,3,2,1,637,0,5.0,642,0
4,Keonjhar,22,Telkoi,26,,,,,,,,58,65,305,2,1,1,1,0,433,0,1.0,434,0
4,Keonjhar,22,Telkoi,27,,,,,,,,219,234,246,4,2,3,0,2,710,0,3.0,713,0
4,Keonjhar,22,Telkoi,28,,,,,,,,66,143,281,2,1,0,3,4,500,0,3.0,503,0
4,Keonjhar,22,Telkoi,29,,,,,,,,66,180,205,0,1,0,2,1,455,0,2.0,457,0
4,Keonjhar,22,Telkoi,30,,,,,,,,182,232,143,2,4,1,2,7,573,0,12.0,585,0
4,Keonjhar,22,Telkoi,32,,,,,,,,63,254,289,2,2,5,4,3,622,0,1.0,623,0
4,Keonjhar,22,Telkoi,33,,,,,,,,122,231,381,4,2,5,1,3,749,0,9.0,758,0
4,Keonjhar,22,Telkoi,34,,,,,,,,158,177,352,5,1,1,5,3,702,0,14.0,716,0
4,Keonjhar,22,Telkoi,35,,,,,,,,83,78,410,3,2,0,2,3,581,0,1.0,582,0
4,Keonjhar,22,Telkoi,36,,,,,,,,117,117,267,4,0,1,1,1,508,0,0.0,508,0
4,Keonjhar,22,Telkoi,37,,,,,,,,106,116,272,2,1,1,1,0,499,0,3.0,502,0
