pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total of Valid votes,No. of Rejected votes,NOTA,Total,No. of Tendered Votes
4,Keonjhar,23,Ghasipura,1,,,,,,,,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0
4,Keonjhar,23,Ghasipura,1,,,,,,,,232.0,3.0,86.0,2.0,0.0,1.0,1.0,1.0,326.0,0.0,3.0,329.0,0.0
4,Keonjhar,23,Ghasipura,2,,,,,,,,418.0,11.0,233.0,4.0,3.0,2.0,3.0,2.0,676.0,0.0,6.0,682.0,0.0
4,Keonjhar,23,Ghasipura,3,,,,,,,,170.0,10.0,171.0,1.0,0.0,0.0,1.0,0.0,353.0,0.0,2.0,355.0,0.0
4,Keonjhar,23,Ghasipura,4,,,,,,,,384.0,17.0,262.0,2.0,1.0,1.0,0.0,2.0,669.0,0.0,2.0,671.0,0.0
4,Keonjhar,23,Ghasipura,5,,,,,,,,306.0,29.0,282.0,5.0,2.0,0.0,0.0,3.0,627.0,0.0,1.0,628.0,0.0
4,Keonjhar,23,Ghasipura,6,,,,,,,,162.0,12.0,224.0,1.0,2.0,4.0,1.0,16.0,422.0,0.0,6.0,428.0,0.0
4,Keonjhar,23,Ghasipura,8,,,,,,,,255.0,9.0,343.0,3.0,1.0,3.0,2.0,5.0,621.0,0.0,6.0,627.0,0.0
4,Keonjhar,23,Ghasipura,9,,,,,,,,430.0,26.0,443.0,6.0,1.0,4.0,8.0,13.0,931.0,0.0,13.0,944.0,0.0
4,Keonjhar,23,Ghasipura,10,,,,,,,,110.0,13.0,192.0,1.0,2.0,0.0,0.0,1.0,319.0,0.0,0.0,319.0,0.0
4,Keonjhar,23,Ghasipura,11,,,,,,,,201.0,42.0,298.0,6.0,2.0,1.0,4.0,14.0,568.0,0.0,5.0,573.0,0.0
4,Keonjhar,23,Ghasipura,12,,,,,,,,190.0,10.0,138.0,3.0,2.0,4.0,3.0,2.0,352.0,0.0,1.0,353.0,0.0
4,Keonjhar,23,Ghasipura,13,,,,,,,,482.0,35.0,294.0,5.0,2.0,7.0,2.0,5.0,832.0,0.0,7.0,839.0,0.0
4,Keonjhar,23,Ghasipura,14,,,,,,,,262.0,7.0,122.0,3.0,3.0,1.0,2.0,2.0,402.0,0.0,0.0,402.0,0.0
4,Keonjhar,23,Ghasipura,15,,,,,,,,368.0,80.0,532.0,4.0,4.0,10.0,3.0,24.0,1025.0,0.0,6.0,1031.0,0.0
4,Keonjhar,23,Ghasipura,16,,,,,,,,256.0,89.0,248.0,3.0,8.0,4.0,6.0,79.0,693.0,0.0,8.0,701.0,0.0
4,Keonjhar,23,Ghasipura,17,,,,,,,,179.0,117.0,182.0,4.0,4.0,3.0,3.0,81.0,573.0,0.0,2.0,575.0,0.0
4,Keonjhar,23,Ghasipura,18,,,,,,,,369.0,56.0,476.0,6.0,6.0,4.0,2.0,72.0,991.0,0.0,15.0,1006.0,0.0
4,Keonjhar,23,Ghasipura,19,,,,,,,,104.0,81.0,58.0,3.0,1.0,4.0,3.0,118.0,372.0,0.0,3.0,375.0,0.0
4,Keonjhar,23,Ghasipura,20,,,,,,,,274.0,125.0,308.0,14.0,11.0,3.0,9.0,159.0,903.0,0.0,6.0,909.0,0.0
4,Keonjhar,23,Ghasipura,21,,,,,,,,216.0,81.0,243.0,8.0,4.0,9.0,6.0,177.0,744.0,0.0,8.0,752.0,0.0
4,Keonjhar,23,Ghasipura,22,,,,,,,,262.0,56.0,150.0,1.0,3.0,0.0,0.0,15.0,487.0,0.0,3.0,490.0,0.0
4,Keonjhar,23,Ghasipura,23,,,,,,,,488.0,21.0,258.0,3.0,5.0,2.0,4.0,10.0,791.0,0.0,15.0,806.0,0.0
4,Keonjhar,23,Ghasipura,24,,,,,,,,182.0,6.0,66.0,0.0,0.0,0.0,0.0,2.0,256.0,0.0,3.0,259.0,0.0
4,Keonjhar,23,Ghasipura,25,,,,,,,,340.0,36.0,305.0,2.0,2.0,3.0,0.0,3.0,691.0,0.0,11.0,702.0,0.0
4,Keonjhar,23,Ghasipura,26,,,,,,,,287.0,61.0,328.0,4.0,1.0,5.0,6.0,15.0,707.0,0.0,3.0,710.0,0.0
4,Keonjhar,23,Ghasipura,27,,,,,,,,421.0,32.0,471.0,3.0,4.0,5.0,5.0,19.0,960.0,0.0,17.0,977.0,0.0
4,Keonjhar,23,Ghasipura,29,,,,,,,,334.0,24.0,293.0,3.0,2.0,4.0,6.0,18.0,684.0,0.0,5.0,689.0,0.0
4,Keonjhar,23,Ghasipura,30,,,,,,,,355.0,12.0,229.0,5.0,1.0,3.0,1.0,14.0,620.0,0.0,5.0,625.0,0.0
4,Keonjhar,23,Ghasipura,31,,,,,,,,427.0,24.0,136.0,2.0,0.0,1.0,1.0,21.0,612.0,0.0,0.0,612.0,0.0
4,Keonjhar,23,Ghasipura,32,,,,,,,,247.0,60.0,214.0,3.0,1.0,1.0,0.0,17.0,543.0,0.0,0.0,543.0,0.0
4,Keonjhar,23,Ghasipura,33,,,,,,,,244.0,5.0,115.0,0.0,3.0,0.0,0.0,0.0,367.0,0.0,1.0,368.0,0.0
4,Keonjhar,23,Ghasipura,34,,,,,,,,360.0,73.0,257.0,3.0,2.0,3.0,5.0,22.0,725.0,0.0,8.0,733.0,0.0
4,Keonjhar,23,Ghasipura,35,,,,,,,,344.0,63.0,183.0,2.0,1.0,2.0,0.0,34.0,629.0,0.0,5.0,634.0,0.0
4,Keonjhar,23,Ghasipura,36,,,,,,,,276.0,28.0,323.0,5.0,6.0,6.0,7.0,80.0,731.0,0.0,9.0,740.0,0.0
4,Keonjhar,23,Ghasipura,37,,,,,,,,572.0,64.0,185.0,2.0,3.0,6.0,6.0,16.0,854.0,0.0,11.0,865.0,0.0
4,Keonjhar,23,Ghasipura,38,,,,,,,,211.0,144.0,135.0,2.0,0.0,6.0,3.0,46.0,547.0,0.0,6.0,553.0,0.0
4,Keonjhar,23,Ghasipura,39,,,,,,,,258.0,12.0,181.0,5.0,2.0,0.0,1.0,28.0,487.0,0.0,3.0,490.0,0.0
4,Keonjhar,23,Ghasipura,40,,,,,,,,187.0,24.0,253.0,2.0,2.0,1.0,2.0,30.0,501.0,0.0,2.0,503.0,0.0
4,Keonjhar,23,Ghasipura,41,,,,,,,,158.0,54.0,94.0,5.0,3.0,4.0,3.0,105.0,426.0,0.0,4.0,430.0,0.0
4,Keonjhar,23,Ghasipura,42,,,,,,,,153.0,46.0,253.0,6.0,3.0,1.0,3.0,93.0,558.0,0.0,8.0,566.0,0.0
4,Keonjhar,23,Ghasipura,43,,,,,,,,422.0,52.0,286.0,9.0,3.0,2.0,6.0,25.0,805.0,0.0,20.0,825.0,0.0
4,Keonjhar,23,Ghasipura,44,,,,,,,,223.0,10.0,258.0,4.0,1.0,0.0,0.0,25.0,521.0,0.0,1.0,522.0,0.0
4,Keonjhar,23,Ghasipura,45,,,,,,,,230.0,28.0,145.0,2.0,0.0,1.0,2.0,67.0,475.0,0.0,5.0,480.0,0.0
4,Keonjhar,23,Ghasipura,46,,,,,,,,116.0,29.0,294.0,6.0,5.0,3.0,4.0,33.0,490.0,0.0,2.0,492.0,0.0
4,Keonjhar,23,Ghasipura,47,,,,,,,,301.0,93.0,231.0,6.0,2.0,7.0,4.0,74.0,718.0,0.0,3.0,721.0,0.0
4,Keonjhar,23,Ghasipura,48,,,,,,,,369.0,110.0,129.0,8.0,4.0,4.0,4.0,150.0,778.0,0.0,8.0,786.0,0.0
4,Keonjhar,23,Ghasipura,49,,,,,,,,127.0,11.0,125.0,1.0,1.0,9.0,2.0,86.0,362.0,0.0,2.0,364.0,0.0
4,Keonjhar,23,Ghasipura,50,,,,,,,,187.0,71.0,547.0,14.0,5.0,8.0,11.0,116.0,959.0,0.0,7.0,966.0,0.0
4,Keonjhar,23,Ghasipura,51,,,,,,,,355.0,28.0,106.0,8.0,3.0,3.0,2.0,179.0,684.0,0.0,8.0,692.0,0.0
