pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Candidate 13,Candidate 14,Candidate 15,Candidate 16,Total of valid votes,No. of rejected votes,NOTA,Total,No of tendered votes
4,Keonjhar,25,Patna,1,,,,,,,,22,430,392,26,5,2,2,1,4,4,1,1,2,0,0,3,895,0.0,1,896,0.0
4,Keonjhar,25,Patna,2,,,,,,,,9,265,365,9,1,2,1,2,3,2,1,2,1,1,1,1,666,nan,9,675,nan
4,Keonjhar,25,Patna,3,,,,,,,,23,747,229,20,4,7,7,8,6,17,6,8,12,7,6,9,1116,nan,1,1117,nan
4,Keonjhar,25,Patna,4,,,,,,,,5,371,339,25,3,4,5,13,8,11,5,5,4,7,8,4,817,nan,8,825,nan
4,Keonjhar,25,Patna,5,,,,,,,,3,202,160,10,1,1,6,1,1,4,1,1,1,0,2,0,394,nan,2,396,nan
4,Keonjhar,25,Patna,6,,,,,,,,15,517,361,28,4,5,5,3,2,5,1,2,2,3,18,2,973,nan,3,976,nan
4,Keonjhar,25,Patna,7,,,,,,,,8,356,364,20,2,1,7,1,1,5,2,6,2,3,24,4,806,nan,0,806,nan
4,Keonjhar,25,Patna,8,,,,,,,,4,427,435,14,1,2,2,6,1,10,1,3,2,3,7,4,922,nan,3,925,nan
4,Keonjhar,25,Patna,9,,,,,,,,5,456,421,5,0,0,1,2,2,7,0,5,0,3,11,3,921,nan,4,925,nan
4,Keonjhar,25,Patna,10,,,,,,,,6,447,238,18,0,1,0,3,1,6,0,2,2,0,6,2,732,nan,1,733,nan
4,Keonjhar,25,Patna,11,,,,,,,,1,230,200,10,0,0,0,0,0,0,0,0,0,0,4,0,445,nan,3,448,nan
4,Keonjhar,25,Patna,12,,,,,,,,2,249,196,9,0,0,0,1,0,2,0,1,1,0,1,1,463,nan,3,466,nan
