pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Total of valid votes,No. of rejected Votes (Test Votes),Votes for NOTA option,Total,No. of tendered votes
4,Keonjhar,27,Champua,1,,,,,,,,48,103,6,124,1,5,7,1,3,3,301,0,6,307,nan
4,Keonjhar,27,Champua,2,,,,,,,,60,82,2,253,6,6,23,6,3,5,446,0,18,464,nan
4,Keonjhar,27,Champua,3,,,,,,,,112,150,7,80,5,4,10,5,7,10,390,0,10,400,nan
4,Keonjhar,27,Champua,4,,,,,,,,68,36,3,131,0,0,2,2,1,4,247,0,3,250,nan
4,Keonjhar,27,Champua,5,,,,,,,,119,160,10,140,6,8,48,11,11,8,521,0,29,550,nan
4,Keonjhar,27,Champua,6,,,,,,,,19,36,2,232,3,3,10,4,5,3,317,0,7,324,nan
4,Keonjhar,27,Champua,7,,,,,,,,172,60,2,142,4,2,74,7,8,8,479,0,15,494,nan
4,Keonjhar,27,Champua,8,,,,,,,,44,59,6,223,8,3,14,2,0,3,362,0,9,371,nan
4,Keonjhar,27,Champua,9,,,,,,,,195,50,3,187,5,4,20,4,6,6,480,0,13,493,nan
4,Keonjhar,27,Champua,10,,,,,,,,94,25,0,109,2,5,31,2,2,0,270,0,5,275,nan
4,Keonjhar,27,Champua,11,,,,,,,,125,38,4,183,5,4,49,3,4,6,421,0,11,432,nan
4,Keonjhar,27,Champua,12,,,,,,,,79,6,4,143,3,1,36,2,2,1,277,0,8,285,nan
4,Keonjhar,27,Champua,13,,,,,,,,112,94,7,285,4,1,24,8,6,3,544,0,11,555,nan
4,Keonjhar,27,Champua,14,,,,,,,,289,177,5,37,1,2,9,1,2,1,524,0,6,530,nan
4,Keonjhar,27,Champua,15,,,,,,,,216,170,2,62,4,0,20,1,0,4,479,0,11,490,nan
4,Keonjhar,27,Champua,16,,,,,,,,159,129,4,207,3,2,19,2,3,4,532,0,4,536,nan
4,Keonjhar,27,Champua,17,,,,,,,,165,99,6,105,7,33,39,2,10,4,470,0,5,475,nan
4,Keonjhar,27,Champua,18,,,,,,,,210,66,6,139,2,55,53,5,5,4,545,0,3,548,nan
4,Keonjhar,27,Champua,19,,,,,,,,190,77,3,61,0,92,34,4,1,2,464,0,6,470,nan
4,Keonjhar,27,Champua,20,,,,,,,,121,32,17,225,4,6,58,6,4,6,479,0,10,489,nan
4,Keonjhar,27,Champua,21,,,,,,,,134,87,5,129,1,4,10,0,0,1,371,0,1,372,nan
4,Keonjhar,27,Champua,22,,,,,,,,163,77,1,276,3,5,19,8,12,11,575,0,10,585,nan
4,Keonjhar,27,Champua,23,,,,,,,,148,146,3,191,5,7,9,3,4,5,521,0,5,526,nan
4,Keonjhar,27,Champua,24,,,,,,,,185,159,4,82,3,0,9,3,1,8,454,0,7,461,nan
4,Keonjhar,27,Champua,25,,,,,,,,106,179,5,179,4,0,12,3,5,0,493,0,5,498,nan
4,Keonjhar,27,Champua,26,,,,,,,,186,191,8,46,0,0,6,2,2,2,443,0,10,453,nan
4,Keonjhar,27,Champua,27,,,,,,,,114,100,6,143,2,1,3,2,1,2,374,0,2,376,nan
4,Keonjhar,27,Champua,28,,,,,,,,110,186,7,73,4,0,1,0,2,2,385,0,3,388,nan
4,Keonjhar,27,Champua,29,,,,,,,,126,137,4,263,5,3,26,2,5,6,577,0,6,583,nan
4,Keonjhar,27,Champua,30,,,,,,,,242,108,4,42,0,1,3,3,1,2,406,0,3,409,nan
4,Keonjhar,27,Champua,31,,,,,,,,102,149,0,4,0,2,2,0,0,1,260,0,1,261,nan
4,Keonjhar,27,Champua,32,,,,,,,,231,272,4,36,2,34,24,1,8,3,615,0,7,622,nan
4,Keonjhar,27,Champua,33,,,,,,,,184,189,3,46,5,103,30,9,15,9,593,0,10,603,nan
4,Keonjhar,27,Champua,34,,,,,,,,161,289,5,6,0,0,2,4,3,0,470,0,1,471,nan
4,Keonjhar,27,Champua,35,,,,,,,,120,276,4,84,0,0,10,2,0,1,497,0,1,498,nan
4,Keonjhar,27,Champua,36,,,,,,,,197,215,11,374,11,4,17,2,9,8,848,0,17,865,nan
4,Keonjhar,27,Champua,37,,,,,,,,208,248,6,100,3,5,20,3,7,6,606,0,7,613,nan
4,Keonjhar,27,Champua,38,,,,,,,,221,272,5,71,2,4,26,1,9,1,612,0,5,617,nan
4,Keonjhar,27,Champua,39,,,,,,,,104,90,10,368,9,11,83,8,7,6,696,0,11,707,nan
4,Keonjhar,27,Champua,40,,,,,,,,153,87,5,343,2,4,14,7,6,5,626,0,12,638,nan
