pc_id,pc_name,ac_id,ac_name,Serion No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Total of valid votes,No. of rejected Votes (Test Votes),Votes for NOTA option,Total,No. of tendered votes
5,Mayurbhanj,28,Morada,1,,,,,,,,9,159,163,0,52,1,4,7,2,397,nan,4,401,nan
5,Mayurbhanj,28,Morada,2,,,,,,,,10,170,191,7,68,4,8,32,6,496,nan,9,505,nan
5,Mayurbhanj,28,Morada,3,,,,,,,,4,184,220,1,177,3,6,6,4,605,nan,4,609,nan
5,Mayurbhanj,28,Morada,4,,,,,,,,5,97,292,3,62,0,6,9,5,479,nan,7,486,nan
5,Mayurbhanj,28,Morada,5,,,,,,,,11,62,227,6,143,1,5,4,3,462,nan,3,465,nan
5,Mayurbhanj,28,Morada,6,,,,,,,,15,367,191,6,138,3,8,3,0,731,nan,2,733,nan
5,Mayurbhanj,28,Morada,7,,,,,,,,14,192,219,4,179,6,2,9,10,635,nan,9,644,nan
5,Mayurbhanj,28,Morada,8,,,,,,,,5,249,224,3,138,1,6,6,3,635,nan,4,639,nan
5,Mayurbhanj,28,Morada,9,,,,,,,,1,82,173,3,141,3,3,1,5,412,nan,2,414,nan
5,Mayurbhanj,28,Morada,10,,,,,,,,8,91,226,1,423,1,11,4,2,767,nan,2,769,nan
5,Mayurbhanj,28,Morada,11,,,,,,,,4,88,152,4,274,6,18,4,0,550,nan,3,553,nan
5,Mayurbhanj,28,Morada,12,,,,,,,,4,55,107,5,375,3,14,6,5,574,nan,11,585,nan
5,Mayurbhanj,28,Morada,13,,,,,,,,7,249,212,3,69,5,4,209,11,769,nan,9,778,nan
5,Mayurbhanj,28,Morada,14,,,,,,,,0,0,0,0,0,0,0,0,0,0,nan,0,0,nan
5,Mayurbhanj,28,Morada,15,,,,,,,,9,37,126,8,226,8,13,8,4,439,nan,2,441,nan
5,Mayurbhanj,28,Morada,16,,,,,,,,15,287,274,11,153,49,8,22,6,825,nan,7,832,nan
5,Mayurbhanj,28,Morada,17,,,,,,,,4,107,133,0,68,26,8,18,6,370,nan,6,376,nan
5,Mayurbhanj,28,Morada,18,,,,,,,,7,158,209,7,228,11,10,5,6,641,nan,5,646,nan
5,Mayurbhanj,28,Morada,19,,,,,,,,3,132,192,9,167,2,3,3,2,513,nan,5,518,nan
5,Mayurbhanj,28,Morada,20,,,,,,,,3,148,104,1,129,1,2,4,2,394,nan,9,403,nan
5,Mayurbhanj,28,Morada,21,,,,,,,,4,321,229,2,14,2,1,1,4,578,nan,11,589,nan
5,Mayurbhanj,28,Morada,22,,,,,,,,9,147,242,3,75,6,15,30,6,533,nan,8,541,nan
5,Mayurbhanj,28,Morada,23,,,,,,,,14,321,376,7,26,1,4,16,8,773,nan,3,776,nan
5,Mayurbhanj,28,Morada,24,,,,,,,,6,192,329,8,55,4,3,20,4,621,nan,7,628,nan
5,Mayurbhanj,28,Morada,25,,,,,,,,11,86,217,6,412,9,8,6,7,762,nan,8,770,nan
5,Mayurbhanj,28,Morada,26,,,,,,,,7,76,204,2,232,4,1,5,2,533,nan,5,538,nan
5,Mayurbhanj,28,Morada,27,,,,,,,,11,121,249,11,176,5,1,207,6,787,nan,27,814,nan
