pc_id,pc_name,ac_id,ac_name,Serial No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Total valid votes,No of rejected votes (Test votes),Votes for NOTA option,Total,No of tendered votes
5,Mayurbhanj,29,Jashipur,1,,,,,,,,370,182,3,0,1,1,2,1,2,0,2,564,nan,3,567,nan
5,Mayurbhanj,29,Jashipur,2,,,,,,,,185,152,3,3,18,2,4,4,6,6,3,386,nan,14,400,nan
5,Mayurbhanj,29,Jashipur,3,,,,,,,,425,318,1,1,34,4,4,5,38,3,5,838,nan,8,846,nan
5,Mayurbhanj,29,Jashipur,4,,,,,,,,161,189,4,4,7,2,0,2,5,5,3,382,nan,4,386,nan
5,Mayurbhanj,29,Jashipur,5,,,,,,,,275,220,7,3,11,2,1,3,3,2,3,530,nan,1,531,nan
5,Mayurbhanj,29,Jashipur,6,,,,,,,,146,195,0,0,5,0,4,1,2,1,0,354,nan,0,354,nan
5,Mayurbhanj,29,Jashipur,7,,,,,,,,255,197,3,8,52,2,1,6,13,1,4,542,nan,4,546,nan
5,Mayurbhanj,29,Jashipur,8,,,,,,,,195,188,1,5,239,6,3,19,7,6,5,674,nan,8,682,nan
5,Mayurbhanj,29,Jashipur,9,,,,,,,,327,156,0,16,15,3,7,101,2,3,5,635,nan,5,640,nan
5,Mayurbhanj,29,Jashipur,10,,,,,,,,388,157,2,1,69,1,4,1,2,5,1,631,nan,1,632,nan
5,Mayurbhanj,29,Jashipur,11,,,,,,,,258,142,1,2,73,2,2,1,1,7,4,493,nan,4,497,nan
5,Mayurbhanj,29,Jashipur,12,,,,,,,,297,382,3,8,5,1,2,1,12,0,2,713,nan,5,718,nan
5,Mayurbhanj,29,Jashipur,13,,,,,,,,402,529,4,9,3,2,4,2,2,2,0,959,nan,3,962,nan
5,Mayurbhanj,29,Jashipur,14,,,,,,,,343,417,7,10,15,4,5,17,10,6,5,839,nan,7,846,nan
5,Mayurbhanj,29,Jashipur,15,,,,,,,,360,433,6,5,4,2,2,7,18,5,14,856,nan,20,876,nan
5,Mayurbhanj,29,Jashipur,16,,,,,,,,451,396,4,4,7,3,11,30,5,5,6,922,nan,17,939,nan
5,Mayurbhanj,29,Jashipur,17,,,,,,,,178,339,6,4,12,2,1,21,4,2,2,571,nan,3,574,nan
5,Mayurbhanj,29,Jashipur,18,,,,,,,,316,295,4,5,17,1,1,3,1,4,3,650,nan,3,653,nan
5,Mayurbhanj,29,Jashipur,19,,,,,,,,386,321,4,4,14,1,0,4,15,0,3,752,nan,3,755,nan
5,Mayurbhanj,29,Jashipur,20,,,,,,,,157,122,2,5,9,12,3,3,1,1,6,321,nan,3,324,nan
5,Mayurbhanj,29,Jashipur,21,,,,,,,,517,289,7,31,11,3,5,7,2,2,8,882,nan,3,885,nan
5,Mayurbhanj,29,Jashipur,22,,,,,,,,180,130,1,4,4,0,0,0,4,1,4,328,nan,3,331,nan
5,Mayurbhanj,29,Jashipur,23,,,,,,,,114,244,4,7,471,16,15,8,4,9,14,906,nan,21,927,nan
5,Mayurbhanj,29,Jashipur,24,,,,,,,,300,191,4,6,101,80,35,7,4,11,26,765,nan,37,802,nan
5,Mayurbhanj,29,Jashipur,25,,,,,,,,236,180,2,1,66,13,6,1,3,2,4,514,nan,9,523,nan
5,Mayurbhanj,29,Jashipur,26,,,,,,,,494,143,5,4,19,1,3,59,0,3,1,732,nan,3,735,nan
