pc_id,pc_name,ac_id,ac_name,BOOTH NO,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,TOTAL VALID VOTES,No of rejected votes,NOTA,Total,No of Tendered votes
1,Bargarh,3,Bargarh,1,,,,,,,,212,4,362,21,599,0,1,600,0
1,Bargarh,3,Bargarh,2,,,,,,,,238,1,332,19,590,0,4,594,0
1,Bargarh,3,Bargarh,3,,,,,,,,348,6,327,54,735,0,13,748,0
1,Bargarh,3,Bargarh,4,,,,,,,,461,8,340,48,857,0,2,859,0
1,Bargarh,3,Bargarh,5,,,,,,,,88,2,331,46,467,0,5,472,0
1,Bargarh,3,Bargarh,6,,,,,,,,265,4,347,34,650,0,6,656,0
1,Bargarh,3,Bargarh,7,,,,,,,,545,19,375,90,1029,0,12,1041,0
1,Bargarh,3,Bargarh,8,,,,,,,,419,10,372,68,869,0,3,872,0
1,Bargarh,3,Bargarh,9,,,,,,,,526,7,190,48,771,0,6,777,0
1,Bargarh,3,Bargarh,10,,,,,,,,479,10,311,62,862,0,19,881,0
1,Bargarh,3,Bargarh,11,,,,,,,,411,6,336,86,839,0,15,854,0
1,Bargarh,3,Bargarh,12,,,,,,,,374,7,209,114,704,0,1,705,0
1,Bargarh,3,Bargarh,13,,,,,,,,308,6,295,50,659,0,1,660,0
1,Bargarh,3,Bargarh,14,,,,,,,,226,2,230,153,611,0,6,617,0
1,Bargarh,3,Bargarh,15,,,,,,,,565,4,238,25,832,0,10,842,0
1,Bargarh,3,Bargarh,16,,,,,,,,378,2,181,24,585,0,12,597,0
1,Bargarh,3,Bargarh,17,,,,,,,,393,20,346,59,818,0,18,836,0
1,Bargarh,3,Bargarh,18,,,,,,,,329,45,226,23,623,0,6,629,0
1,Bargarh,3,Bargarh,19,,,,,,,,397,3,182,30,612,0,7,619,0
1,Bargarh,3,Bargarh,20,,,,,,,,221,3,281,26,531,0,3,534,0
1,Bargarh,3,Bargarh,21,,,,,,,,198,4,446,72,720,0,14,734,0
1,Bargarh,3,Bargarh,22,,,,,,,,293,2,488,32,815,0,9,824,0
1,Bargarh,3,Bargarh,23,,,,,,,,425,7,332,50,814,0,7,821,0
1,Bargarh,3,Bargarh,24,,,,,,,,31,3,112,76,222,0,3,225,0
1,Bargarh,3,Bargarh,25,,,,,,,,316,21,314,42,693,0,7,700,0
1,Bargarh,3,Bargarh,26,,,,,,,,265,15,266,55,601,0,9,610,0
1,Bargarh,3,Bargarh,27,,,,,,,,164,3,126,31,324,0,0,324,0
1,Bargarh,3,Bargarh,28,,,,,,,,331,2,288,27,648,0,10,658,0
1,Bargarh,3,Bargarh,29,,,,,,,,241,5,212,59,517,0,12,529,0
1,Bargarh,3,Bargarh,30,,,,,,,,229,2,163,93,487,0,3,490,0
1,Bargarh,3,Bargarh,31,,,,,,,,441,5,254,27,727,0,5,732,0
1,Bargarh,3,Bargarh,32,,,,,,,,326,4,261,55,646,0,7,653,0
1,Bargarh,3,Bargarh,33,,,,,,,,350,3,309,53,715,0,6,721,0
1,Bargarh,3,Bargarh,34,,,,,,,,211,4,284,40,539,0,4,543,0
1,Bargarh,3,Bargarh,35,,,,,,,,319,8,484,17,828,0,5,833,0
1,Bargarh,3,Bargarh,36,,,,,,,,356,2,472,36,866,0,5,871,0
