pc_id,pc_name,ac_id,ac_name,Polling Booth No,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Total of Valid Votes,No of Rejected Votes,NOTA,Total,No Of Tendered Votes
5,Mayurbhanj,30,Saraskana,1,,,,,,,,18,3,358,325,31,0,2,3,0,3,743,0,7,750,0
5,Mayurbhanj,30,Saraskana,2,,,,,,,,13,3,342,257,26,1,0,0,0,0,642,0,1,643,0
5,Mayurbhanj,30,Saraskana,3,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Mayurbhanj,30,Saraskana,4,,,,,,,,7,4,194,112,12,1,5,2,2,1,340,0,8,348,0
5,Mayurbhanj,30,Saraskana,5,,,,,,,,13,2,233,132,37,0,3,0,3,0,423,0,5,428,0
5,Mayurbhanj,30,Saraskana,6,,,,,,,,16,2,256,498,177,5,5,3,1,0,963,0,4,967,0
5,Mayurbhanj,30,Saraskana,7,,,,,,,,14,0,337,204,0,3,5,0,28,4,595,0,3,598,0
5,Mayurbhanj,30,Saraskana,8,,,,,,,,24,3,484,331,29,3,5,2,13,3,897,0,9,906,0
5,Mayurbhanj,30,Saraskana,9,,,,,,,,5,3,242,385,8,6,2,3,13,2,669,0,10,679,0
5,Mayurbhanj,30,Saraskana,10,,,,,,,,19,3,260,369,77,9,5,2,14,4,762,0,5,767,0
5,Mayurbhanj,30,Saraskana,11,,,,,,,,16,7,161,361,41,6,4,9,46,2,653,0,6,659,0
5,Mayurbhanj,30,Saraskana,12,,,,,,,,7,12,245,261,38,9,8,7,17,5,609,0,8,617,0
5,Mayurbhanj,30,Saraskana,13,,,,,,,,9,0,156,247,38,4,3,1,3,2,463,0,3,466,0
5,Mayurbhanj,30,Saraskana,14,,,,,,,,11,11,399,379,16,16,7,11,5,6,861,0,18,879,0
5,Mayurbhanj,30,Saraskana,15,,,,,,,,4,2,150,165,12,1,0,2,1,1,338,0,2,340,0
5,Mayurbhanj,30,Saraskana,16,,,,,,,,18,16,477,389,38,7,11,12,15,9,992,0,28,1020,0
5,Mayurbhanj,30,Saraskana,17,,,,,,,,25,4,488,379,55,10,4,6,5,8,984,0,10,994,0
5,Mayurbhanj,30,Saraskana,18,,,,,,,,13,2,237,189,24,4,5,3,4,0,481,0,2,483,0
5,Mayurbhanj,30,Saraskana,19,,,,,,,,8,2,234,357,87,0,1,4,21,0,714,0,6,720,0
5,Mayurbhanj,30,Saraskana,20,,,,,,,,11,2,319,390,53,5,5,6,5,5,801,0,18,819,0
5,Mayurbhanj,30,Saraskana,21,,,,,,,,17,3,109,358,34,3,4,4,4,1,537,0,6,543,0
5,Mayurbhanj,30,Saraskana,22,,,,,,,,15,2,302,300,38,1,9,4,5,3,679,0,6,685,0
5,Mayurbhanj,30,Saraskana,23,,,,,,,,17,5,176,355,161,7,6,13,15,5,760,0,8,768,0
5,Mayurbhanj,30,Saraskana,24,,,,,,,,1,1,90,213,86,3,0,4,3,1,402,0,0,402,0
5,Mayurbhanj,30,Saraskana,25,,,,,,,,8,1,339,373,28,3,11,3,8,1,775,0,7,782,0
5,Mayurbhanj,30,Saraskana,26,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Mayurbhanj,30,Saraskana,27,,,,,,,,14,1,253,175,24,2,4,2,0,1,476,0,1,477,0
5,Mayurbhanj,30,Saraskana,28,,,,,,,,2,0,121,130,139,2,1,0,0,1,396,0,0,396,0
5,Mayurbhanj,30,Saraskana,29,,,,,,,,17,2,326,318,197,5,3,9,10,3,890,0,17,907,0
5,Mayurbhanj,30,Saraskana,30,,,,,,,,11,0,260,176,26,2,0,0,3,1,479,0,0,479,0
5,Mayurbhanj,30,Saraskana,31,,,,,,,,19,3,207,262,51,4,3,0,7,4,560,0,4,564,0
5,Mayurbhanj,30,Saraskana,32,,,,,,,,13,0,118,144,14,0,5,4,13,2,313,0,3,316,0
5,Mayurbhanj,30,Saraskana,33,,,,,,,,25,2,237,389,58,5,3,6,1,0,726,0,9,735,0
5,Mayurbhanj,30,Saraskana,34,,,,,,,,13,1,158,200,28,3,3,7,3,3,419,0,5,424,0
5,Mayurbhanj,30,Saraskana,35,,,,,,,,3,6,294,194,39,0,2,1,2,2,543,0,5,548,0
