pc_id,pc_name,ac_id,ac_name,BOOTH NO,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,TOTAL VALID VOTES,No of rejected votes,NOTA,Total,No of Tendered votes
5,Mayurbhanj,31,Rairangpur,1,,,,,,,,105,167,316,25,15,628,0,76,704,0
5,Mayurbhanj,31,Rairangpur,2,,,,,,,,63,124,223,15,8,433,0,34,467,0
5,Mayurbhanj,31,Rairangpur,3,,,,,,,,121,189,181,8,10,509,0,33,542,0
5,Mayurbhanj,31,Rairangpur,4,,,,,,,,43,177,187,9,8,424,0,8,432,0
5,Mayurbhanj,31,Rairangpur,5,,,,,,,,57,379,394,12,12,854,0,21,875,0
5,Mayurbhanj,31,Rairangpur,6,,,,,,,,159,287,286,26,8,766,0,10,776,0
5,Mayurbhanj,31,Rairangpur,7,,,,,,,,41,164,217,7,4,433,0,8,441,0
5,Mayurbhanj,31,Rairangpur,8,,,,,,,,73,395,377,11,10,866,0,24,890,0
5,Mayurbhanj,31,Rairangpur,9,,,,,,,,17,169,210,4,3,403,0,2,405,0
5,Mayurbhanj,31,Rairangpur,10,,,,,,,,288,143,393,25,30,879,0,50,929,0
5,Mayurbhanj,31,Rairangpur,11,,,,,,,,111,61,210,4,4,390,0,3,393,0
5,Mayurbhanj,31,Rairangpur,12,,,,,,,,26,166,342,3,4,541,0,8,549,0
5,Mayurbhanj,31,Rairangpur,13,,,,,,,,37,357,158,4,10,566,0,5,571,0
5,Mayurbhanj,31,Rairangpur,14,,,,,,,,65,385,441,20,11,922,0,28,950,0
5,Mayurbhanj,31,Rairangpur,15,,,,,,,,66,247,303,7,9,632,0,17,649,0
5,Mayurbhanj,31,Rairangpur,16,,,,,,,,20,287,270,3,3,583,0,15,598,0
5,Mayurbhanj,31,Rairangpur,17,,,,,,,,69,176,392,19,13,669,0,16,685,0
5,Mayurbhanj,31,Rairangpur,18,,,,,,,,36,269,331,9,11,656,0,20,676,0
5,Mayurbhanj,31,Rairangpur,19,,,,,,,,26,102,150,9,2,289,0,3,292,0
5,Mayurbhanj,31,Rairangpur,20,,,,,,,,167,110,242,7,6,532,0,12,544,0
