pc_id,pc_name,ac_id,ac_name,Serial No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Total of valid Votes,No. of Rejected Votes (Test Votes),Votes for NOTA option,Total,No of Tender Votes
5,Mayurbhanj,33,Udala,1,,,,,,,,113,347,11,300,4,2,6,783,0,14,797,0
5,Mayurbhanj,33,Udala,2,,,,,,,,277,231,7,160,5,2,8,690,0,21,711,0
5,Mayurbhanj,33,Udala,3,,,,,,,,37,204,6,150,7,0,0,404,0,9,413,0
5,Mayurbhanj,33,Udala,4,,,,,,,,113,171,4,125,1,4,3,421,0,8,429,0
5,Mayurbhanj,33,Udala,5,,,,,,,,175,140,15,247,9,3,3,592,0,8,600,0
5,Mayurbhanj,33,Udala,6,,,,,,,,135,235,10,144,7,3,0,534,0,7,541,0
5,Mayurbhanj,33,Udala,7,,,,,,,,69,257,10,355,6,2,4,703,0,3,706,0
5,Mayurbhanj,33,Udala,8,,,,,,,,136,188,5,190,4,3,5,531,0,3,534,0
5,Mayurbhanj,33,Udala,9,,,,,,,,147,333,7,176,4,2,1,670,0,3,673,0
5,Mayurbhanj,33,Udala,10,,,,,,,,118,320,14,198,8,3,4,665,0,15,680,0
5,Mayurbhanj,33,Udala,11,,,,,,,,89,174,5,193,5,3,5,474,0,9,483,0
5,Mayurbhanj,33,Udala,12,,,,,,,,118,174,5,113,1,0,2,413,0,6,419,0
5,Mayurbhanj,33,Udala,13,,,,,,,,52,262,4,302,0,1,0,621,0,3,624,0
5,Mayurbhanj,33,Udala,14,,,,,,,,52,206,9,164,4,3,3,441,0,14,455,0
5,Mayurbhanj,33,Udala,15,,,,,,,,150,388,16,196,9,14,21,794,0,13,807,0
5,Mayurbhanj,33,Udala,16,,,,,,,,40,367,5,417,1,4,0,834,0,8,842,0
5,Mayurbhanj,33,Udala,17,,,,,,,,52,380,3,214,3,1,1,654,0,4,658,0
5,Mayurbhanj,33,Udala,18,,,,,,,,45,437,9,292,4,3,4,794,0,6,800,0
5,Mayurbhanj,33,Udala,19,,,,,,,,25,394,12,309,1,1,0,742,0,1,743,0
5,Mayurbhanj,33,Udala,20,,,,,,,,28,498,1,232,5,1,2,767,0,4,771,0
5,Mayurbhanj,33,Udala,21,,,,,,,,23,442,10,187,5,2,1,670,0,4,674,0
5,Mayurbhanj,33,Udala,22,,,,,,,,21,247,4,145,4,3,1,425,0,0,425,0
5,Mayurbhanj,33,Udala,23,,,,,,,,27,468,8,226,1,0,2,732,0,9,741,0
5,Mayurbhanj,33,Udala,25,,,,,,,,14,341,3,194,0,0,2,554,0,9,563,0
5,Mayurbhanj,33,Udala,26,,,,,,,,27,449,0,239,1,1,1,718,0,1,719,0
5,Mayurbhanj,33,Udala,27,,,,,,,,46,356,3,219,0,3,1,628,0,6,634,0
5,Mayurbhanj,33,Udala,28,,,,,,,,55,350,8,205,1,0,1,620,0,5,625,0
5,Mayurbhanj,33,Udala,29,,,,,,,,37,307,8,186,1,0,0,539,0,2,541,0
5,Mayurbhanj,33,Udala,30,,,,,,,,31,419,11,173,2,1,3,640,0,7,647,0
5,Mayurbhanj,33,Udala,31,,,,,,,,29,258,2,141,0,3,2,435,0,4,439,0
5,Mayurbhanj,33,Udala,32,,,,,,,,64,518,6,308,1,0,0,897,0,9,906,0
5,Mayurbhanj,33,Udala,33,,,,,,,,26,430,10,261,1,2,3,733,0,15,748,0
5,Mayurbhanj,33,Udala,34,,,,,,,,20,334,3,263,0,1,1,622,0,5,627,0
5,Mayurbhanj,33,Udala,35,,,,,,,,36,422,7,391,3,2,3,864,0,6,870,0
5,Mayurbhanj,33,Udala,36,,,,,,,,28,439,7,241,3,0,0,718,0,7,725,0
5,Mayurbhanj,33,Udala,37,,,,,,,,37,269,4,149,1,2,1,463,0,2,465,0
5,Mayurbhanj,33,Udala,39,,,,,,,,86,345,12,314,0,0,4,761,0,8,769,0
5,Mayurbhanj,33,Udala,40,,,,,,,,124,205,9,255,4,5,5,607,0,20,627,0
5,Mayurbhanj,33,Udala,41,,,,,,,,39,360,13,384,1,4,0,801,0,2,803,0
5,Mayurbhanj,33,Udala,42,,,,,,,,26,229,2,274,4,2,4,541,0,5,546,0
5,Mayurbhanj,33,Udala,43,,,,,,,,28,312,9,468,3,3,2,825,0,13,838,0
5,Mayurbhanj,33,Udala,44,,,,,,,,42,415,9,342,2,2,5,817,0,14,831,0
5,Mayurbhanj,33,Udala,45,,,,,,,,16,94,3,117,0,0,1,231,0,1,232,0
