pc_id,pc_name,ac_id,ac_name,Serial Number of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Candidate 13,Total Valid Votes,Total,No. of tendered votes,Serial Number of Polling StationNo. of,Votes for NOTA option
5,Mayurbhanj,34,Baripada,1,,,,,,,,212.0,7.0,1.0,2.0,10.0,23.0,26.0,206.0,303.0,96.0,3.0,4.0,7.0,900,911,nan,nan,11.0
5,Mayurbhanj,34,Baripada,2,,,,,,,,173.0,4.0,5.0,8.0,5.0,10.0,19.0,260.0,209.0,67.0,3.0,4.0,8.0,775,794,nan,nan,19.0
5,Mayurbhanj,34,Baripada,3,,,,,,,,68.0,1.0,3.0,1.0,1.0,14.0,5.0,196.0,166.0,26.0,2.0,2.0,1.0,486,488,nan,nan,2.0
5,Mayurbhanj,34,Baripada,4,,,,,,,,158.0,2.0,1.0,4.0,5.0,4.0,3.0,118.0,49.0,68.0,0.0,0.0,2.0,414,421,nan,nan,7.0
5,Mayurbhanj,34,Baripada,5,,,,,,,,183.0,1.0,3.0,4.0,9.0,5.0,12.0,219.0,242.0,59.0,2.0,3.0,6.0,748,752,nan,nan,4.0
5,Mayurbhanj,34,Baripada,6,,,,,,,,188.0,2.0,2.0,1.0,7.0,11.0,12.0,89.0,240.0,33.0,5.0,6.0,0.0,596,605,nan,nan,9.0
5,Mayurbhanj,34,Baripada,7,,,,,,,,90.0,4.0,2.0,0.0,1.0,2.0,5.0,89.0,177.0,1.0,1.0,1.0,3.0,376,381,nan,nan,5.0
5,Mayurbhanj,34,Baripada,8,,,,,,,,336.0,6.0,5.0,3.0,5.0,9.0,21.0,66.0,291.0,60.0,3.0,8.0,1.0,814,832,nan,nan,18.0
5,Mayurbhanj,34,Baripada,9,,,,,,,,346.0,2.0,4.0,8.0,16.0,12.0,22.0,62.0,493.0,54.0,5.0,13.0,3.0,1040,1051,nan,nan,11.0
5,Mayurbhanj,34,Baripada,10,,,,,,,,348.0,1.0,2.0,3.0,9.0,11.0,12.0,32.0,479.0,4.0,0.0,14.0,4.0,919,931,nan,nan,12.0
5,Mayurbhanj,34,Baripada,11,,,,,,,,156.0,8.0,2.0,4.0,4.0,6.0,13.0,44.0,266.0,8.0,0.0,12.0,2.0,525,530,nan,nan,5.0
5,Mayurbhanj,34,Baripada,12,,,,,,,,200.0,2.0,3.0,4.0,32.0,17.0,37.0,72.0,202.0,58.0,1.0,12.0,2.0,642,646,nan,nan,4.0
5,Mayurbhanj,34,Baripada,13,,,,,,,,258.0,4.0,4.0,6.0,6.0,3.0,48.0,30.0,448.0,8.0,4.0,1.0,2.0,822,832,nan,nan,10.0
5,Mayurbhanj,34,Baripada,14,,,,,,,,205.0,5.0,2.0,0.0,13.0,4.0,18.0,40.0,401.0,4.0,5.0,37.0,3.0,737,742,nan,nan,5.0
5,Mayurbhanj,34,Baripada,15,,,,,,,,145.0,5.0,2.0,4.0,1.0,5.0,12.0,35.0,288.0,13.0,5.0,69.0,0.0,584,594,nan,nan,10.0
5,Mayurbhanj,34,Baripada,16,,,,,,,,158.0,0.0,0.0,1.0,0.0,1.0,0.0,163.0,166.0,7.0,2.0,1.0,0.0,499,501,nan,nan,2.0
5,Mayurbhanj,34,Baripada,17,,,,,,,,152.0,4.0,3.0,5.0,5.0,7.0,13.0,168.0,201.0,25.0,4.0,4.0,6.0,597,605,nan,nan,8.0
5,Mayurbhanj,34,Baripada,18,,,,,,,,274.0,8.0,6.0,3.0,4.0,3.0,6.0,169.0,266.0,18.0,0.0,8.0,3.0,768,771,nan,nan,3.0
5,Mayurbhanj,34,Baripada,19,,,,,,,,123.0,0.0,2.0,0.0,0.0,2.0,1.0,24.0,125.0,1.0,1.0,2.0,0.0,281,285,nan,nan,4.0
5,Mayurbhanj,34,Baripada,20,,,,,,,,248.0,0.0,2.0,1.0,2.0,4.0,6.0,34.0,366.0,5.0,1.0,4.0,1.0,674,684,nan,nan,10.0
5,Mayurbhanj,34,Baripada,21,,,,,,,,158.0,0.0,0.0,2.0,3.0,2.0,2.0,24.0,220.0,0.0,2.0,6.0,2.0,421,425,nan,nan,4.0
5,Mayurbhanj,34,Baripada,22,,,,,,,,174.0,2.0,3.0,2.0,10.0,0.0,4.0,119.0,249.0,1.0,0.0,1.0,1.0,566,569,nan,nan,3.0
5,Mayurbhanj,34,Baripada,23,,,,,,,,368.0,3.0,1.0,2.0,12.0,5.0,3.0,22.0,281.0,2.0,0.0,11.0,0.0,710,716,nan,nan,6.0
5,Mayurbhanj,34,Baripada,24,,,,,,,,301.0,4.0,4.0,2.0,7.0,5.0,39.0,111.0,205.0,270.0,5.0,6.0,4.0,963,966,nan,nan,3.0
5,Mayurbhanj,34,Baripada,25,,,,,,,,185.0,2.0,1.0,2.0,4.0,4.0,6.0,135.0,326.0,5.0,1.0,5.0,2.0,678,681,nan,nan,3.0
5,Mayurbhanj,34,Baripada,26,,,,,,,,205.0,5.0,6.0,3.0,11.0,7.0,18.0,74.0,243.0,16.0,7.0,228.0,5.0,828,833,nan,nan,5.0
5,Mayurbhanj,34,Baripada,27,,,,,,,,136.0,1.0,1.0,2.0,1.0,2.0,3.0,9.0,116.0,1.0,1.0,34.0,2.0,309,312,nan,nan,3.0
