pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total Valid Votes,Number of Rejected Votes (Test Votes),Votes for NOTA option,Total,No of Tendered Votes
6,Balasore,36,Badasahi,1,,,,,,,,291,73,2,234,1,0,2,0,603,0,1,604,0
6,Balasore,36,Badasahi,2,,,,,,,,103,85,0,134,0,0,0,0,322,0,0,322,0
6,Balasore,36,Badasahi,3,,,,,,,,311,67,1,251,2,1,1,1,635,0,0,635,0
6,Balasore,36,Badasahi,4,,,,,,,,304,133,1,261,2,2,1,0,704,0,1,705,0
6,Balasore,36,Badasahi,5,,,,,,,,307,54,1,164,2,1,1,0,530,0,3,533,0
6,Balasore,36,Badasahi,6,,,,,,,,237,49,0,295,0,0,0,0,581,0,3,584,0
6,Balasore,36,Badasahi,7,,,,,,,,276,92,0,249,0,0,0,0,617,0,1,618,0
6,Balasore,36,Badasahi,8,,,,,,,,219,117,3,106,2,0,0,2,449,0,1,450,0
6,Balasore,36,Badasahi,9,,,,,,,,220,95,1,195,0,0,0,0,511,0,5,516,0
6,Balasore,36,Badasahi,10,,,,,,,,339,151,2,192,0,1,0,1,686,0,1,687,0
6,Balasore,36,Badasahi,11,,,,,,,,398,107,4,180,2,0,2,1,694,0,3,697,0
6,Balasore,36,Badasahi,12,,,,,,,,470,110,4,308,2,1,1,0,896,0,2,898,0
6,Balasore,36,Badasahi,13,,,,,,,,449,69,1,194,1,1,0,1,716,0,2,718,0
6,Balasore,36,Badasahi,14,,,,,,,,150,77,0,86,2,0,0,0,315,0,1,316,0
6,Balasore,36,Badasahi,15,,,,,,,,297,91,0,247,1,0,0,0,636,0,0,636,0
6,Balasore,36,Badasahi,16,,,,,,,,238,36,0,210,0,1,0,0,485,0,0,485,0
6,Balasore,36,Badasahi,17,,,,,,,,286,165,4,161,2,0,0,0,618,0,2,620,0
6,Balasore,36,Badasahi,18,,,,,,,,328,43,1,370,3,0,2,0,747,0,1,748,0
6,Balasore,36,Badasahi,19,,,,,,,,465,102,2,235,2,0,2,2,810,0,1,811,0
6,Balasore,36,Badasahi,20,,,,,,,,327,134,3,142,2,2,1,3,614,0,6,620,0
6,Balasore,36,Badasahi,21,,,,,,,,154,126,1,146,2,2,0,1,432,0,3,435,0
6,Balasore,36,Badasahi,22,,,,,,,,353,152,0,278,2,1,1,0,787,0,3,790,0
6,Balasore,36,Badasahi,23,,,,,,,,182,81,1,189,1,0,0,1,455,0,0,455,0
6,Balasore,36,Badasahi,24,,,,,,,,461,205,4,224,4,0,2,0,900,0,2,902,0
6,Balasore,36,Badasahi,25,,,,,,,,465,133,1,321,1,2,0,2,925,0,3,928,0
6,Balasore,36,Badasahi,26,,,,,,,,316,112,1,325,0,5,0,1,760,0,2,762,0
6,Balasore,36,Badasahi,27,,,,,,,,282,79,2,187,1,0,0,1,552,0,6,558,0
6,Balasore,36,Badasahi,28,,,,,,,,210,52,3,207,2,1,0,1,476,0,3,479,0
6,Balasore,36,Badasahi,29,,,,,,,,415,44,4,391,2,1,2,2,861,0,2,863,0
6,Balasore,36,Badasahi,30,,,,,,,,318,63,4,266,2,0,0,1,654,0,3,657,0
6,Balasore,36,Badasahi,31,,,,,,,,295,61,1,264,1,0,1,0,623,0,2,625,0
6,Balasore,36,Badasahi,32,,,,,,,,132,31,0,267,2,1,0,2,435,0,0,435,0
6,Balasore,36,Badasahi,33,,,,,,,,105,25,1,127,0,0,1,0,259,0,3,262,0
6,Balasore,36,Badasahi,34,,,,,,,,465,101,1,371,1,0,0,3,942,0,1,943,0
6,Balasore,36,Badasahi,35,,,,,,,,330,80,2,468,1,3,0,0,884,0,6,890,0
6,Balasore,36,Badasahi,36,,,,,,,,276,93,1,295,2,1,0,2,670,0,3,673,0
6,Balasore,36,Badasahi,37,,,,,,,,315,106,2,168,1,1,1,0,594,0,2,596,0
6,Balasore,36,Badasahi,38,,,,,,,,221,117,0,180,0,0,0,0,518,0,0,518,0
6,Balasore,36,Badasahi,39,,,,,,,,230,35,0,154,1,0,0,0,420,0,2,422,0
6,Balasore,36,Badasahi,40,,,,,,,,139,20,0,92,0,0,0,0,251,0,0,251,0
6,Balasore,36,Badasahi,41,,,,,,,,380,172,1,248,1,4,0,0,806,0,3,809,0
6,Balasore,36,Badasahi,42,,,,,,,,324,130,0,202,2,5,2,0,665,0,0,665,0
6,Balasore,36,Badasahi,43,,,,,,,,267,98,3,257,1,2,0,2,630,0,2,632,0
6,Balasore,36,Badasahi,44,,,,,,,,219,83,0,317,4,0,0,0,623,0,2,625,0
6,Balasore,36,Badasahi,45,,,,,,,,290,131,2,394,1,1,2,1,822,0,5,827,0
6,Balasore,36,Badasahi,46,,,,,,,,292,104,3,248,2,3,1,2,655,0,2,657,0
6,Balasore,36,Badasahi,47,,,,,,,,376,122,2,266,0,0,2,0,768,0,2,770,0
6,Balasore,36,Badasahi,48,,,,,,,,284,43,1,89,0,0,3,0,420,0,1,421,0
6,Balasore,36,Badasahi,49,,,,,,,,272,115,2,185,1,0,0,0,575,0,1,576,0
6,Balasore,36,Badasahi,50,,,,,,,,420,85,0,422,0,0,2,0,929,0,2,931,0
6,Balasore,36,Badasahi,51,,,,,,,,322,47,0,160,1,2,0,0,532,0,0,532,0
6,Balasore,36,Badasahi,52,,,,,,,,283,250,4,288,0,0,0,1,826,0,5,831,0
6,Balasore,36,Badasahi,53,,,,,,,,120,228,0,168,1,0,0,1,518,0,2,520,0
6,Balasore,36,Badasahi,54,,,,,,,,225,102,2,30,1,0,0,0,360,0,0,360,0
6,Balasore,36,Badasahi,55,,,,,,,,290,125,0,225,0,1,0,0,641,0,2,643,0
6,Balasore,36,Badasahi,56,,,,,,,,447,100,4,373,3,1,0,0,928,0,3,931,0
6,Balasore,36,Badasahi,57,,,,,,,,487,189,1,200,3,3,0,1,884,0,0,884,0
6,Balasore,36,Badasahi,58,,,,,,,,162,58,1,163,0,1,0,0,385,0,1,386,0
6,Balasore,36,Badasahi,59,,,,,,,,239,100,1,225,2,0,0,0,567,0,4,571,0
6,Balasore,36,Badasahi,60,,,,,,,,322,200,6,399,3,14,1,4,949,0,3,952,0
6,Balasore,36,Badasahi,61,,,,,,,,107,83,1,96,0,0,0,0,287,0,4,291,0
6,Balasore,36,Badasahi,62,,,,,,,,209,55,0,233,0,1,0,2,500,0,2,502,0
6,Balasore,36,Badasahi,63,,,,,,,,109,62,2,127,0,0,0,0,300,0,0,300,0
6,Balasore,36,Badasahi,64,,,,,,,,199,71,0,188,1,0,0,0,459,0,0,459,0
6,Balasore,36,Badasahi,65,,,,,,,,399,109,4,390,0,0,1,1,904,0,2,906,0
6,Balasore,36,Badasahi,66,,,,,,,,179,32,1,140,0,1,0,2,355,0,0,355,0
6,Balasore,36,Badasahi,67,,,,,,,,306,54,4,228,1,1,0,1,595,0,3,598,0
6,Balasore,36,Badasahi,68,,,,,,,,180,78,0,246,0,0,0,0,504,0,1,505,0
6,Balasore,36,Badasahi,69,,,,,,,,287,69,2,263,0,1,1,1,624,0,5,629,0
6,Balasore,36,Badasahi,70,,,,,,,,418,78,2,310,1,1,1,1,812,0,1,813,0
6,Balasore,36,Badasahi,71,,,,,,,,114,19,1,181,0,0,0,0,315,0,0,315,0
6,Balasore,36,Badasahi,72,,,,,,,,363,81,1,404,0,1,0,2,852,0,0,852,0
6,Balasore,36,Badasahi,73,,,,,,,,174,20,2,111,1,0,0,0,308,0,0,308,0
6,Balasore,36,Badasahi,74,,,,,,,,132,147,1,112,1,3,0,1,397,0,0,397,0
6,Balasore,36,Badasahi,75,,,,,,,,248,156,3,286,1,0,2,1,697,0,5,702,0
6,Balasore,36,Badasahi,76,,,,,,,,166,58,1,160,1,0,0,0,386,0,0,386,0
6,Balasore,36,Badasahi,77,,,,,,,,295,285,1,298,0,1,0,0,880,0,0,880,0
6,Balasore,36,Badasahi,78,,,,,,,,368,179,4,126,1,0,0,0,678,0,1,679,0
6,Balasore,36,Badasahi,79,,,,,,,,341,241,2,132,3,3,0,1,723,0,12,735,0
6,Balasore,36,Badasahi,80,,,,,,,,180,83,10,219,0,0,0,0,492,0,1,493,0
6,Balasore,36,Badasahi,81,,,,,,,,288,65,7,167,1,2,2,1,533,0,8,541,0
6,Balasore,36,Badasahi,82,,,,,,,,154,30,0,161,0,1,0,2,348,0,2,350,0
6,Balasore,36,Badasahi,83,,,,,,,,203,143,0,267,2,1,0,0,616,0,6,622,0
6,Balasore,36,Badasahi,84,,,,,,,,223,107,1,97,0,1,0,0,429,0,1,430,0
6,Balasore,36,Badasahi,85,,,,,,,,143,107,2,286,1,0,0,0,539,0,0,539,0
6,Balasore,36,Badasahi,86,,,,,,,,307,70,3,374,1,2,0,0,757,0,1,758,0
6,Balasore,36,Badasahi,87,,,,,,,,259,9,2,358,7,5,0,4,644,0,5,649,0
6,Balasore,36,Badasahi,88,,,,,,,,287,50,0,274,1,0,1,1,614,0,1,615,0
6,Balasore,36,Badasahi,89,,,,,,,,397,71,3,370,1,3,1,0,846,0,4,850,0
6,Balasore,36,Badasahi,90,,,,,,,,303,89,0,357,3,5,0,1,758,0,3,761,0
6,Balasore,36,Badasahi,91,,,,,,,,251,58,3,361,1,14,1,1,690,0,4,694,0
6,Balasore,36,Badasahi,92,,,,,,,,107,16,0,82,0,0,0,0,205,0,1,206,0
6,Balasore,36,Badasahi,93,,,,,,,,315,61,8,244,0,1,1,1,631,0,2,633,0
6,Balasore,36,Badasahi,94,,,,,,,,376,138,2,300,4,2,1,0,823,0,5,828,0
6,Balasore,36,Badasahi,95,,,,,,,,408,140,0,378,1,0,1,1,929,0,4,933,0
6,Balasore,36,Badasahi,96,,,,,,,,498,143,3,272,0,0,0,4,920,0,1,921,0
6,Balasore,36,Badasahi,97,,,,,,,,347,110,2,302,0,2,1,1,765,0,4,769,0
6,Balasore,36,Badasahi,98,,,,,,,,278,80,3,222,2,0,0,1,586,0,1,587,0
6,Balasore,36,Badasahi,99,,,,,,,,267,58,1,244,2,1,0,0,573,0,0,573,0
6,Balasore,36,Badasahi,100,,,,,,,,152,120,2,254,0,1,0,0,529,0,0,529,0
6,Balasore,36,Badasahi,101,,,,,,,,292,87,1,132,1,2,0,2,517,0,2,519,0
6,Balasore,36,Badasahi,102,,,,,,,,291,58,1,165,0,0,1,0,516,0,0,516,0
6,Balasore,36,Badasahi,103,,,,,,,,296,124,2,354,1,1,1,1,780,0,4,784,0
6,Balasore,36,Badasahi,104,,,,,,,,193,62,0,291,1,0,1,0,548,0,0,548,0
6,Balasore,36,Badasahi,105,,,,,,,,138,39,0,155,2,0,0,0,334,0,1,335,0
6,Balasore,36,Badasahi,106,,,,,,,,168,81,0,146,0,0,0,1,396,0,1,397,0
6,Balasore,36,Badasahi,107,,,,,,,,413,127,7,364,3,2,2,4,922,0,0,922,0
6,Balasore,36,Badasahi,108,,,,,,,,361,128,4,265,1,0,0,1,760,0,2,762,0
6,Balasore,36,Badasahi,109,,,,,,,,391,215,5,284,2,1,0,1,899,0,1,900,0
6,Balasore,36,Badasahi,110,,,,,,,,169,67,0,128,0,0,4,2,370,0,0,370,0
6,Balasore,36,Badasahi,111,,,,,,,,242,118,1,180,1,0,3,4,549,0,4,553,0
6,Balasore,36,Badasahi,112,,,,,,,,176,58,0,265,1,1,2,0,503,0,0,503,0
6,Balasore,36,Badasahi,113,,,,,,,,384,118,0,326,0,1,5,0,834,0,4,838,0
6,Balasore,36,Badasahi,114,,,,,,,,506,172,4,321,1,1,0,0,1005,0,1,1006,0
6,Balasore,36,Badasahi,115,,,,,,,,384,109,2,285,0,1,0,1,782,0,1,783,0
6,Balasore,36,Badasahi,116,,,,,,,,475,131,5,323,3,3,3,2,945,0,7,952,0
6,Balasore,36,Badasahi,117,,,,,,,,364,237,2,270,1,0,0,0,874,0,0,874,0
6,Balasore,36,Badasahi,118,,,,,,,,354,207,2,306,3,2,2,2,878,0,5,883,0
6,Balasore,36,Badasahi,119,,,,,,,,477,191,5,76,0,0,1,0,750,0,1,751,0
6,Balasore,36,Badasahi,120,,,,,,,,246,3,1,208,0,1,0,0,459,0,0,459,0
