pc_id,pc_name,ac_id,ac_name,Serial No.of Polling station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Total of valid votes,No of rejected votes (Test votes),Voter for NOTA option,Total,No of tendered votes
6,Balasore,37,Jaleswar,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,nan
6,Balasore,37,Jaleswar,2,,,,,,,,5,386,241,5,207,5,0,2,4,1,856,0.0,8,864,nan
6,Balasore,37,Jaleswar,3,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,nan
6,Balasore,37,Jaleswar,4,,,,,,,,4,281,471,2,58,2,0,1,1,0,820,0.0,2,822,nan
6,Balasore,37,Jaleswar,5,,,,,,,,2,262,372,5,78,1,0,0,0,0,720,0.0,2,722,nan
6,Balasore,37,Jaleswar,6,,,,,,,,5,325,235,2,241,1,6,1,4,4,824,0.0,4,828,nan
6,Balasore,37,Jaleswar,7,,,,,,,,3,317,259,5,198,3,2,0,4,5,796,0.0,6,802,nan
6,Balasore,37,Jaleswar,8,,,,,,,,1,272,218,2,310,0,1,0,2,0,806,0.0,1,807,nan
6,Balasore,37,Jaleswar,9,,,,,,,,3,372,199,0,365,4,1,1,1,1,947,0.0,4,951,nan
6,Balasore,37,Jaleswar,10,,,,,,,,0,303,115,3,102,1,0,1,1,5,531,0.0,8,539,nan
6,Balasore,37,Jaleswar,11,,,,,,,,1,416,153,2,310,0,1,0,0,2,885,0.0,5,890,nan
6,Balasore,37,Jaleswar,12,,,,,,,,2,264,204,1,204,0,0,1,0,1,677,0.0,2,679,nan
6,Balasore,37,Jaleswar,13,,,,,,,,0,248,123,3,146,6,0,3,2,0,531,0.0,3,534,nan
6,Balasore,37,Jaleswar,14,,,,,,,,1,214,208,0,125,3,0,0,1,0,552,0.0,0,552,nan
6,Balasore,37,Jaleswar,15,,,,,,,,5,338,174,1,140,0,1,0,1,0,660,0.0,2,662,nan
6,Balasore,37,Jaleswar,16,,,,,,,,1,230,107,1,105,1,0,0,0,2,447,0.0,1,448,nan
6,Balasore,37,Jaleswar,17,,,,,,,,4,405,178,1,297,1,0,1,0,0,887,0.0,2,889,nan
