pc_id,pc_name,ac_id,ac_name,Serial No.of Polling station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Total of valid votes,No of rejected votes (Test votes),Voter for NOTA option,Total,No of tendered votes
6,Balasore,38,Bhograi,1,,,,,,,,337,325,89,2,0,1,1,0,0,0.0,0,1,756,nan,9.0,765,nan
6,Balasore,38,Bhograi,2,,,,,,,,272,197,265,2,0,0,0,0,0,1.0,1,1,739,nan,3.0,742,nan
6,Balasore,38,Bhograi,3,,,,,,,,307,347,199,1,0,3,0,0,1,0.0,0,1,859,nan,1.0,860,nan
6,Balasore,38,Bhograi,4,,,,,,,,323,174,374,1,1,1,0,0,0,0.0,0,0,874,nan,4.0,878,nan
6,Balasore,38,Bhograi,5,,,,,,,,251,258,482,0,1,0,2,0,2,0.0,0,0,996,nan,5.0,1001,nan
6,Balasore,38,Bhograi,6,,,,,,,,433,159,305,2,0,0,0,0,0,0.0,0,0,899,nan,2.0,901,nan
6,Balasore,38,Bhograi,7,,,,,,,,360,105,166,1,0,0,0,0,0,0.0,0,0,632,nan,0.0,632,nan
6,Balasore,38,Bhograi,8,,,,,,,,205,104,134,0,0,1,1,0,0,0.0,0,0,445,nan,0.0,445,nan
6,Balasore,38,Bhograi,9,,,,,,,,130,95,168,3,1,1,0,0,0,0.0,0,0,398,nan,5.0,403,nan
6,Balasore,38,Bhograi,10,,,,,,,,352,575,74,1,1,1,0,0,1,0.0,0,1,1006,nan,1.0,1007,nan
6,Balasore,38,Bhograi,11,,,,,,,,267,257,140,0,0,0,0,1,0,1.0,0,0,666,nan,0.0,666,nan
6,Balasore,38,Bhograi,12,,,,,,,,337,237,9,0,0,0,0,0,1,1.0,0,1,586,nan,2.0,588,nan
6,Balasore,38,Bhograi,13,,,,,,,,380,408,124,2,1,2,0,0,0,0.0,1,1,919,nan,2.0,921,nan
6,Balasore,38,Bhograi,14,,,,,,,,383,392,81,0,1,0,0,1,0,0.0,2,0,860,nan,0.0,860,nan
6,Balasore,38,Bhograi,15,,,,,,,,322,447,138,0,0,1,1,1,2,2.0,1,1,916,nan,4.0,920,nan
6,Balasore,38,Bhograi,16,,,,,,,,476,395,145,1,2,1,2,0,0,0.0,1,0,1023,nan,3.0,1026,nan
6,Balasore,38,Bhograi,17,,,,,,,,328,375,45,3,0,0,0,0,1,0.0,0,0,752,nan,0.0,752,nan
6,Balasore,38,Bhograi,18,,,,,,,,167,196,105,0,0,0,0,0,1,0.0,0,0,469,nan,1.0,470,nan
6,Balasore,38,Bhograi,19,,,,,,,,382,374,386,2,0,0,0,1,0,1.0,2,2,1150,nan,9.0,1159,nan
6,Balasore,38,Bhograi,20,,,,,,,,374,199,292,0,0,0,0,0,0,0.0,0,0,865,nan,1.0,866,nan
6,Balasore,38,Bhograi,21,,,,,,,,156,141,181,0,1,2,0,0,0,0.0,0,1,482,nan,1.0,483,nan
6,Balasore,38,Bhograi,22,,,,,,,,303,182,341,1,1,3,1,0,0,2.0,2,0,836,nan,0.0,836,nan
6,Balasore,38,Bhograi,23,,,,,,,,262,66,201,1,1,1,0,0,4,1.0,1,2,540,nan,1.0,541,nan
