pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Total of valid votes,No. of rejected votes(Test votes),Votes for NOTA option,Total,No of tendered votes
6,Balasore,39,Ba,1,,,,,,,,364,53,5,580,7,2,1,1012,0,1,1013,0
6,Balasore,39,Ba,2,,,,,,,,257,10,2,375,4,1,4,653,0,1,654,0
6,Balasore,39,Ba,3,,,,,,,,351,50,6,441,7,3,0,858,0,3,861,0
6,Balasore,39,Ba,4,,,,,,,,316,22,4,326,3,2,1,674,0,1,675,0
6,Balasore,39,Ba,5,,,,,,,,168,39,2,242,4,0,1,456,0,2,458,0
6,Balasore,39,Ba,6,,,,,,,,274,15,2,288,3,0,0,582,0,5,587,0
6,Balasore,39,Ba,7,,,,,,,,406,70,3,281,0,0,1,761,0,2,763,0
6,Balasore,39,Ba,8,,,,,,,,251,51,5,354,2,0,0,663,0,0,663,0
6,Balasore,39,Ba,9,,,,,,,,327,48,4,352,3,2,2,738,0,5,743,0
6,Balasore,39,Ba,10,,,,,,,,200,15,1,128,3,0,0,347,0,1,348,0
6,Balasore,39,Ba,11,,,,,,,,221,8,2,207,2,1,0,441,0,0,441,0
6,Balasore,39,Ba,12,,,,,,,,345,16,7,376,0,2,2,748,0,4,752,0
6,Balasore,39,Ba,13,,,,,,,,260,22,2,183,1,0,0,468,0,5,473,0
6,Balasore,39,Ba,14,,,,,,,,409,35,1,429,3,1,4,882,0,10,892,0
6,Balasore,39,Ba,15,,,,,,,,309,44,2,396,2,1,0,754,0,1,755,0
6,Balasore,39,Ba,16,,,,,,,,350,126,4,427,0,0,1,908,0,3,911,0
6,Balasore,39,Ba,17,,,,,,,,130,176,5,210,2,1,1,525,0,2,527,0
6,Balasore,39,Ba,18,,,,,,,,171,57,0,137,0,0,0,365,0,2,367,0
6,Balasore,39,Ba,19,,,,,,,,286,12,2,234,2,0,0,536,0,3,539,0
6,Balasore,39,Ba,20,,,,,,,,415,22,2,455,3,4,2,903,0,5,908,0
6,Balasore,39,Ba,21,,,,,,,,218,5,1,288,0,0,1,513,0,0,513,0
