pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Total of Valid Votes,No. of rejected Votes(Test Votes),Votes for NOTA option,Total,No. of tendered votes
6,Balasore,40,Balasore,1,,,,,,,,52,11,352,371,6,2,2,2,10,808,nan,24,832,nan
6,Balasore,40,Balasore,2,,,,,,,,12,5,426,268,3,1,0,2,0,717,nan,3,720,nan
6,Balasore,40,Balasore,3,,,,,,,,18,2,364,222,0,0,1,0,1,608,nan,1,609,nan
6,Balasore,40,Balasore,4,,,,,,,,84,13,469,270,9,1,3,1,2,852,nan,14,866,nan
6,Balasore,40,Balasore,5,,,,,,,,71,4,269,302,5,0,0,3,2,656,nan,1,657,nan
6,Balasore,40,Balasore,6,,,,,,,,119,5,540,338,2,3,1,6,3,1017,nan,5,1022,nan
6,Balasore,40,Balasore,7,,,,,,,,62,14,249,458,11,5,8,53,5,865,nan,43,908,nan
6,Balasore,40,Balasore,8,,,,,,,,19,3,224,266,2,10,1,9,1,535,nan,17,552,nan
6,Balasore,40,Balasore,9,,,,,,,,26,1,240,206,4,2,3,2,3,487,nan,22,509,nan
6,Balasore,40,Balasore,10,,,,,,,,37,80,366,407,3,3,1,4,2,903,nan,11,914,nan
6,Balasore,40,Balasore,11,,,,,,,,32,30,538,407,3,1,4,6,4,1025,nan,10,1035,nan
6,Balasore,40,Balasore,12,,,,,,,,26,15,533,404,3,2,3,4,8,998,nan,13,1011,nan
6,Balasore,40,Balasore,13,,,,,,,,5,2,224,204,0,0,0,1,1,437,nan,0,437,nan
6,Balasore,40,Balasore,14,,,,,,,,20,4,426,590,3,1,1,30,1,1076,nan,1,1077,nan
6,Balasore,40,Balasore,15,,,,,,,,7,9,405,396,2,0,0,2,0,821,nan,3,824,nan
6,Balasore,40,Balasore,16,,,,,,,,9,1,307,371,0,0,0,1,0,689,nan,1,690,nan
6,Balasore,40,Balasore,17,,,,,,,,14,8,411,445,1,0,2,0,1,882,nan,4,886,nan
6,Balasore,40,Balasore,18,,,,,,,,5,3,493,486,4,1,7,1,2,1002,nan,3,1005,nan
6,Balasore,40,Balasore,19,,,,,,,,12,4,262,312,0,1,0,0,1,592,nan,4,596,nan
6,Balasore,40,Balasore,20,,,,,,,,14,3,201,284,1,1,0,2,1,507,nan,1,508,nan
6,Balasore,40,Balasore,21,,,,,,,,13,8,528,493,2,3,1,0,4,1052,nan,4,1056,nan
6,Balasore,40,Balasore,22,,,,,,,,23,2,342,391,5,0,3,2,0,768,nan,2,770,nan
6,Balasore,40,Balasore,23,,,,,,,,25,11,316,462,5,2,1,5,6,833,nan,14,847,nan
6,Balasore,40,Balasore,24,,,,,,,,9,2,356,150,1,0,0,18,1,537,nan,0,537,nan
6,Balasore,40,Balasore,25,,,,,,,,29,8,309,551,2,0,1,4,2,906,nan,6,912,nan
6,Balasore,40,Balasore,26,,,,,,,,14,6,379,461,4,0,2,0,3,869,nan,4,873,nan
6,Balasore,40,Balasore,27,,,,,,,,2,2,197,313,3,0,0,0,0,517,nan,4,521,nan
6,Balasore,40,Balasore,28,,,,,,,,24,5,341,386,3,0,2,1,2,764,nan,7,771,nan
6,Balasore,40,Balasore,29,,,,,,,,27,4,363,352,0,1,4,1,4,756,nan,3,759,nan
6,Balasore,40,Balasore,30,,,,,,,,11,5,460,387,3,2,0,2,2,872,nan,2,874,nan
6,Balasore,40,Balasore,31,,,,,,,,58,12,378,459,6,2,1,6,0,922,nan,3,925,nan
6,Balasore,40,Balasore,32,,,,,,,,14,5,469,373,16,2,3,6,3,891,nan,4,895,nan
6,Balasore,40,Balasore,33,,,,,,,,13,11,429,443,4,2,5,2,3,912,nan,4,916,nan
6,Balasore,40,Balasore,34,,,,,,,,96,27,488,292,9,2,4,6,7,931,nan,4,935,nan
6,Balasore,40,Balasore,35,,,,,,,,35,16,434,370,4,1,3,3,3,869,nan,19,888,nan
6,Balasore,40,Balasore,36,,,,,,,,43,6,323,363,2,1,0,2,3,743,nan,5,748,nan
6,Balasore,40,Balasore,37,,,,,,,,8,7,317,168,2,0,1,1,1,505,nan,3,508,nan
6,Balasore,40,Balasore,38,,,,,,,,5,3,300,179,0,0,0,3,1,491,nan,3,494,nan
6,Balasore,40,Balasore,39,,,,,,,,20,3,367,269,3,0,2,0,0,664,nan,4,668,nan
6,Balasore,40,Balasore,40,,,,,,,,51,9,469,361,1,0,2,3,1,897,nan,6,903,nan
6,Balasore,40,Balasore,41,,,,,,,,25,6,236,299,2,1,1,0,0,570,nan,4,574,nan
6,Balasore,40,Balasore,42,,,,,,,,26,6,486,313,1,1,2,2,4,841,nan,9,850,nan
6,Balasore,40,Balasore,43,,,,,,,,32,5,522,372,0,0,4,7,2,944,nan,3,947,nan
6,Balasore,40,Balasore,44,,,,,,,,5,4,306,238,3,0,2,3,1,562,nan,3,565,nan
6,Balasore,40,Balasore,45,,,,,,,,10,3,366,203,3,2,2,0,1,590,nan,8,598,nan
6,Balasore,40,Balasore,46,,,,,,,,27,3,381,268,6,14,4,2,2,707,nan,11,718,nan
6,Balasore,40,Balasore,47,,,,,,,,61,9,495,368,4,32,7,16,14,1006,nan,37,1043,nan
6,Balasore,40,Balasore,48,,,,,,,,127,25,204,269,11,21,9,5,3,674,nan,13,687,nan
6,Balasore,40,Balasore,49,,,,,,,,63,14,311,252,3,8,6,5,2,664,nan,6,670,nan
6,Balasore,40,Balasore,50,,,,,,,,60,36,267,175,3,12,5,8,8,574,nan,22,596,nan
6,Balasore,40,Balasore,51,,,,,,,,114,9,226,319,6,83,2,12,1,772,nan,5,777,nan
6,Balasore,40,Balasore,52,,,,,,,,49,23,412,499,4,7,4,3,2,1003,nan,7,1010,nan
6,Balasore,40,Balasore,53,,,,,,,,44,9,429,323,1,1,2,3,3,815,nan,2,817,nan
6,Balasore,40,Balasore,54,,,,,,,,23,8,280,482,6,4,3,3,3,812,nan,16,828,nan
