pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total of valid votes,No. of rejected votes(Test,Votes for NOTA option,Total,No of tendered votes
6,Balasore,41,Remuna,1,,,,,,,,280,3,70,421,11,4,789,0,10,799,nan
6,Balasore,41,Remuna,2,,,,,,,,192,1,195,412,10,1,811,0,10,821,nan
6,Balasore,41,Remuna,3,,,,,,,,168,1,154,222,1,1,547,0,4,551,nan
6,Balasore,41,Remuna,4,,,,,,,,265,1,236,275,4,0,781,0,6,787,nan
6,Balasore,41,Remuna,5,,,,,,,,261,1,205,358,1,2,828,0,11,839,nan
6,Balasore,41,Remuna,6,,,,,,,,283,2,165,258,1,0,709,0,3,712,nan
6,Balasore,41,Remuna,7,,,,,,,,149,3,35,143,3,0,333,0,3,336,nan
6,Balasore,41,Remuna,8,,,,,,,,304,11,318,243,4,4,884,0,1,885,nan
6,Balasore,41,Remuna,9,,,,,,,,92,0,26,138,1,0,257,0,1,258,nan
6,Balasore,41,Remuna,10,,,,,,,,271,3,212,169,5,0,660,0,4,664,nan
6,Balasore,41,Remuna,11,,,,,,,,397,8,311,194,4,4,918,0,4,922,nan
6,Balasore,41,Remuna,12,,,,,,,,246,3,267,84,4,5,609,0,24,633,nan
6,Balasore,41,Remuna,13,,,,,,,,347,7,306,234,2,3,899,0,13,912,nan
6,Balasore,41,Remuna,14,,,,,,,,275,4,196,262,5,3,745,0,12,757,nan
6,Balasore,41,Remuna,15,,,,,,,,204,4,233,212,1,2,656,0,2,658,nan
6,Balasore,41,Remuna,16,,,,,,,,184,2,480,350,2,1,1019,0,4,1023,nan
6,Balasore,41,Remuna,17,,,,,,,,99,6,545,373,1,0,1024,0,1,1025,nan
6,Balasore,41,Remuna,18,,,,,,,,162,8,444,227,2,5,848,0,3,851,nan
6,Balasore,41,Remuna,19,,,,,,,,158,2,335,274,2,3,774,0,3,777,nan
6,Balasore,41,Remuna,20,,,,,,,,90,2,161,53,0,0,306,0,1,307,nan
6,Balasore,41,Remuna,21,,,,,,,,180,3,279,192,2,1,657,0,3,660,nan
6,Balasore,41,Remuna,22,,,,,,,,181,1,151,376,0,1,710,0,1,711,nan
6,Balasore,41,Remuna,23,,,,,,,,245,1,260,344,0,2,852,0,0,852,nan
6,Balasore,41,Remuna,24,,,,,,,,205,4,252,306,2,1,770,0,3,773,nan
