pc_id,pc_name,ac_id,ac_name,Polling Booth No,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Total Valid votes,No. Of Rejected votes (Test votes),Nota,Cumulative Total
7,Bhadrak,42,Chandabali,1,,,,,,,,44,386,427,10,4,871,nan,5,876
7,Bhadrak,42,Chandabali,2,,,,,,,,66,262,262,5,1,596,nan,2,598
7,Bhadrak,42,Chandabali,3,,,,,,,,15,244,245,3,1,508,nan,1,509
7,Bhadrak,42,Chandabali,4,,,,,,,,13,303,218,3,0,537,nan,0,537
7,Bhadrak,42,Chandabali,5,,,,,,,,8,176,200,8,0,392,nan,0,392
7,Bhadrak,42,Chandabali,6,,,,,,,,30,421,313,5,0,769,nan,0,769
7,Bhadrak,42,Chandabali,7,,,,,,,,13,378,300,4,0,695,nan,1,696
7,Bhadrak,42,Chandabali,8,,,,,,,,25,269,359,1,5,659,nan,1,660
7,Bhadrak,42,Chandabali,9,,,,,,,,14,166,235,6,0,421,nan,3,424
7,Bhadrak,42,Chandabali,10,,,,,,,,9,165,118,1,0,293,nan,3,296
7,Bhadrak,42,Chandabali,11,,,,,,,,101,284,178,1,1,565,nan,7,572
7,Bhadrak,42,Chandabali,12,,,,,,,,41,385,490,4,0,920,nan,7,927
7,Bhadrak,42,Chandabali,13,,,,,,,,37,428,362,3,2,832,nan,2,834
7,Bhadrak,42,Chandabali,14,,,,,,,,64,269,294,2,2,631,nan,5,636
7,Bhadrak,42,Chandabali,15,,,,,,,,21,261,205,1,0,488,nan,3,491
7,Bhadrak,42,Chandabali,16,,,,,,,,11,210,191,2,0,414,nan,1,415
7,Bhadrak,42,Chandabali,17,,,,,,,,21,371,382,2,0,776,nan,4,780
7,Bhadrak,42,Chandabali,18,,,,,,,,33,511,307,4,0,855,nan,3,858
7,Bhadrak,42,Chandabali,19,,,,,,,,24,518,304,3,1,850,nan,2,852
7,Bhadrak,42,Chandabali,20,,,,,,,,101,446,107,0,2,656,nan,3,659
7,Bhadrak,42,Chandabali,21,,,,,,,,15,333,320,2,1,671,nan,2,673
7,Bhadrak,42,Chandabali,22,,,,,,,,33,374,295,1,3,706,nan,2,708
7,Bhadrak,42,Chandabali,23,,,,,,,,76,236,230,1,2,545,nan,2,547
7,Bhadrak,42,Chandabali,24,,,,,,,,37,521,352,2,2,914,nan,4,918
7,Bhadrak,42,Chandabali,25,,,,,,,,16,363,387,1,3,770,nan,4,774
7,Bhadrak,42,Chandabali,26,,,,,,,,44,324,293,3,6,670,nan,12,682
7,Bhadrak,42,Chandabali,27,,,,,,,,36,584,382,1,2,1005,nan,7,1012
7,Bhadrak,42,Chandabali,28,,,,,,,,27,324,248,2,1,602,nan,3,605
7,Bhadrak,42,Chandabali,29,,,,,,,,24,319,244,4,1,592,nan,6,598
7,Bhadrak,42,Chandabali,30,,,,,,,,11,252,319,2,0,584,nan,2,586
7,Bhadrak,42,Chandabali,31,,,,,,,,7,176,143,0,2,328,nan,3,331
7,Bhadrak,42,Chandabali,32,,,,,,,,16,436,318,5,3,778,nan,13,791
7,Bhadrak,42,Chandabali,33,,,,,,,,10,124,170,0,0,304,nan,2,306
7,Bhadrak,42,Chandabali,34,,,,,,,,30,315,221,2,3,571,nan,8,579
7,Bhadrak,42,Chandabali,35,,,,,,,,29,380,296,5,2,712,nan,3,715
7,Bhadrak,42,Chandabali,36,,,,,,,,44,419,507,4,0,974,nan,2,976
7,Bhadrak,42,Chandabali,37,,,,,,,,8,282,181,1,1,473,nan,1,474
7,Bhadrak,42,Chandabali,38,,,,,,,,16,294,246,4,3,563,nan,5,568
7,Bhadrak,42,Chandabali,39,,,,,,,,26,264,227,1,0,518,nan,0,518
7,Bhadrak,42,Chandabali,40,,,,,,,,17,383,204,0,0,604,nan,2,606
7,Bhadrak,42,Chandabali,41,,,,,,,,52,315,236,3,1,607,nan,1,608
7,Bhadrak,42,Chandabali,42,,,,,,,,19,331,267,2,1,620,nan,0,620
7,Bhadrak,42,Chandabali,43,,,,,,,,14,214,287,1,0,516,nan,3,519
7,Bhadrak,42,Chandabali,44,,,,,,,,11,280,231,0,1,523,nan,1,524
7,Bhadrak,42,Chandabali,45,,,,,,,,19,484,427,6,1,937,nan,1,938
7,Bhadrak,42,Chandabali,46,,,,,,,,38,443,345,4,4,834,nan,8,842
7,Bhadrak,42,Chandabali,47,,,,,,,,17,214,272,9,1,513,nan,0,513
7,Bhadrak,42,Chandabali,48,,,,,,,,17,309,241,7,1,575,nan,3,578
7,Bhadrak,42,Chandabali,49,,,,,,,,29,306,215,0,1,551,nan,1,552
7,Bhadrak,42,Chandabali,50,,,,,,,,25,223,274,3,1,526,nan,1,527
7,Bhadrak,42,Chandabali,51,,,,,,,,11,133,138,0,0,282,nan,1,283
7,Bhadrak,42,Chandabali,52,,,,,,,,45,560,409,8,4,1026,nan,5,1031
7,Bhadrak,42,Chandabali,53,,,,,,,,53,528,379,11,2,973,nan,15,988
7,Bhadrak,42,Chandabali,54,,,,,,,,56,525,423,6,10,1020,nan,20,1040
7,Bhadrak,42,Chandabali,55,,,,,,,,42,311,196,12,13,574,nan,13,587
7,Bhadrak,42,Chandabali,56,,,,,,,,37,560,287,11,15,910,nan,9,919
7,Bhadrak,42,Chandabali,57,,,,,,,,23,235,218,2,4,482,nan,6,488
7,Bhadrak,42,Chandabali,58,,,,,,,,23,401,376,5,0,805,nan,1,806
7,Bhadrak,42,Chandabali,59,,,,,,,,19,500,238,4,4,765,nan,12,777
7,Bhadrak,42,Chandabali,60,,,,,,,,35,237,211,7,3,493,nan,11,504
7,Bhadrak,42,Chandabali,61,,,,,,,,24,358,280,9,1,672,nan,12,684
7,Bhadrak,42,Chandabali,62,,,,,,,,15,173,270,1,1,460,nan,5,465
7,Bhadrak,42,Chandabali,63,,,,,,,,28,257,480,12,4,781,nan,17,798
7,Bhadrak,42,Chandabali,64,,,,,,,,40,247,233,1,1,522,nan,1,523
7,Bhadrak,42,Chandabali,65,,,,,,,,51,287,313,3,3,657,nan,5,662
7,Bhadrak,42,Chandabali,66,,,,,,,,35,310,344,5,2,696,nan,7,703
7,Bhadrak,42,Chandabali,67,,,,,,,,43,327,300,6,1,677,nan,4,681
7,Bhadrak,42,Chandabali,68,,,,,,,,37,374,353,6,2,772,nan,2,774
7,Bhadrak,42,Chandabali,69,,,,,,,,34,279,305,1,0,619,nan,2,621
7,Bhadrak,42,Chandabali,70,,,,,,,,45,288,161,0,0,494,nan,0,494
7,Bhadrak,42,Chandabali,71,,,,,,,,21,290,308,4,0,623,nan,2,625
7,Bhadrak,42,Chandabali,72,,,,,,,,19,237,383,4,4,647,nan,4,651
7,Bhadrak,42,Chandabali,73,,,,,,,,8,184,161,26,0,379,nan,1,380
7,Bhadrak,42,Chandabali,74,,,,,,,,23,307,358,0,0,688,nan,1,689
7,Bhadrak,42,Chandabali,75,,,,,,,,6,397,278,2,1,684,nan,1,685
7,Bhadrak,42,Chandabali,76,,,,,,,,17,188,249,0,4,458,nan,2,460
7,Bhadrak,42,Chandabali,77,,,,,,,,14,211,261,2,0,488,nan,2,490
