pc_id,pc_name,ac_id,ac_name,PS No,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Total of Valid Votes,No. of rejected votes( Test votes),None of the Above (NOTA),Total,No. of Tendered votes
7,Bhadrak,43,Soro,1,,,,,,,,374,316,92,1,0,2,0,1,1,0,787,0,1,788,0
7,Bhadrak,43,Soro,2,,,,,,,,299,259,90,5,1,1,1,0,1,2,659,0,2,661,0
7,Bhadrak,43,Soro,3,,,,,,,,336,474,106,3,2,2,0,2,2,1,928,0,3,931,0
7,Bhadrak,43,Soro,4,,,,,,,,365,374,90,0,0,1,0,0,2,1,833,0,7,840,0
7,Bhadrak,43,Soro,5,,,,,,,,186,180,49,1,0,0,0,0,0,1,417,0,0,417,0
7,Bhadrak,43,Soro,6,,,,,,,,252,200,69,5,1,2,1,2,1,4,537,0,0,537,0
7,Bhadrak,43,Soro,7,,,,,,,,270,231,120,2,0,3,1,0,1,0,628,0,6,634,0
7,Bhadrak,43,Soro,8,,,,,,,,282,382,193,6,5,0,0,1,1,1,871,0,1,872,0
7,Bhadrak,43,Soro,9,,,,,,,,153,197,65,0,0,0,0,0,0,0,415,0,2,417,0
7,Bhadrak,43,Soro,10,,,,,,,,256,348,123,4,3,2,0,3,1,4,744,0,3,747,0
7,Bhadrak,43,Soro,11,,,,,,,,343,311,114,3,3,0,0,0,0,0,774,0,2,776,0
7,Bhadrak,43,Soro,12,,,,,,,,317,214,125,1,3,0,1,0,1,2,664,0,0,664,0
7,Bhadrak,43,Soro,13,,,,,,,,114,173,43,0,0,0,0,0,0,1,331,0,1,332,0
7,Bhadrak,43,Soro,14,,,,,,,,109,200,46,0,3,1,1,1,0,3,364,0,5,369,0
7,Bhadrak,43,Soro,15,,,,,,,,292,295,96,3,2,1,1,1,0,3,694,0,2,696,0
7,Bhadrak,43,Soro,16,,,,,,,,117,159,122,1,1,0,0,1,1,0,402,0,3,405,0
7,Bhadrak,43,Soro,17,,,,,,,,329,368,240,3,0,0,2,2,0,1,945,0,4,949,0
7,Bhadrak,43,Soro,18,,,,,,,,337,402,149,2,0,2,0,0,1,4,897,0,0,897,0
7,Bhadrak,43,Soro,19,,,,,,,,163,276,42,2,0,0,1,1,1,0,486,0,6,492,0
7,Bhadrak,43,Soro,20,,,,,,,,175,177,95,1,0,0,0,0,0,0,448,0,0,448,0
7,Bhadrak,43,Soro,21,,,,,,,,263,240,201,5,2,2,6,2,2,5,728,0,5,733,0
7,Bhadrak,43,Soro,22,,,,,,,,125,172,67,1,0,1,0,0,1,0,367,0,0,367,0
7,Bhadrak,43,Soro,23,,,,,,,,128,203,160,2,1,0,0,0,1,2,497,0,0,497,0
7,Bhadrak,43,Soro,24,,,,,,,,156,249,155,2,0,0,0,1,0,0,563,0,3,566,0
7,Bhadrak,43,Soro,25,,,,,,,,302,210,71,0,0,1,0,0,0,0,584,0,0,584,0
7,Bhadrak,43,Soro,26,,,,,,,,468,399,83,1,0,0,1,1,0,1,954,0,1,955,0
7,Bhadrak,43,Soro,27,,,,,,,,225,275,69,0,1,0,0,0,0,0,570,0,0,570,0
7,Bhadrak,43,Soro,28,,,,,,,,272,314,52,0,1,0,0,0,0,2,641,0,1,642,0
7,Bhadrak,43,Soro,29,,,,,,,,413,251,45,3,0,0,0,0,0,2,714,0,4,718,0
7,Bhadrak,43,Soro,30,,,,,,,,282,435,153,3,0,1,2,0,1,1,878,0,1,879,0
7,Bhadrak,43,Soro,31,,,,,,,,254,509,77,5,2,1,0,1,1,2,852,0,0,852,0
7,Bhadrak,43,Soro,32,,,,,,,,122,188,40,0,0,0,1,2,0,0,353,0,0,353,0
7,Bhadrak,43,Soro,33,,,,,,,,146,226,62,2,0,0,0,0,0,0,436,0,0,436,0
7,Bhadrak,43,Soro,34,,,,,,,,376,273,88,1,0,1,0,0,0,0,739,0,1,740,0
7,Bhadrak,43,Soro,35,,,,,,,,314,324,91,1,2,1,1,1,1,3,739,0,6,745,0
7,Bhadrak,43,Soro,36,,,,,,,,277,343,86,0,1,0,0,0,0,0,707,0,3,710,0
7,Bhadrak,43,Soro,37,,,,,,,,136,230,43,1,1,1,0,0,0,2,414,0,0,414,0
7,Bhadrak,43,Soro,38,,,,,,,,192,205,60,0,0,0,0,2,1,1,461,0,1,462,0
7,Bhadrak,43,Soro,39,,,,,,,,324,277,90,0,0,1,3,2,0,1,698,0,3,701,0
7,Bhadrak,43,Soro,40,,,,,,,,302,211,85,1,2,1,0,0,0,0,602,0,1,603,0
7,Bhadrak,43,Soro,41,,,,,,,,283,288,68,0,2,0,1,1,0,3,646,0,0,646,0
7,Bhadrak,43,Soro,42,,,,,,,,403,291,85,3,0,1,0,0,1,5,789,0,1,790,0
7,Bhadrak,43,Soro,43,,,,,,,,182,149,6,0,1,0,0,0,0,0,338,0,0,338,0
7,Bhadrak,43,Soro,44,,,,,,,,354,310,198,6,0,2,0,0,0,1,871,0,1,872,0
7,Bhadrak,43,Soro,45,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Bhadrak,43,Soro,46,,,,,,,,391,317,74,2,0,3,2,1,3,3,796,0,4,800,0
7,Bhadrak,43,Soro,47,,,,,,,,457,365,112,3,7,3,0,1,1,8,957,0,2,959,0
7,Bhadrak,43,Soro,48,,,,,,,,242,280,45,3,3,1,0,0,2,2,578,0,2,580,0
7,Bhadrak,43,Soro,49,,,,,,,,302,300,175,0,4,1,0,0,0,3,785,0,2,787,0
7,Bhadrak,43,Soro,50,,,,,,,,344,381,81,2,3,1,1,1,1,5,820,0,1,821,0
7,Bhadrak,43,Soro,51,,,,,,,,193,321,103,0,6,0,0,0,0,1,624,0,0,624,0
7,Bhadrak,43,Soro,52,,,,,,,,394,216,164,1,5,1,0,5,1,1,788,0,2,790,0
7,Bhadrak,43,Soro,53,,,,,,,,249,212,164,1,2,0,3,6,0,2,639,0,0,639,0
7,Bhadrak,43,Soro,54,,,,,,,,273,219,199,3,1,1,1,2,1,3,703,0,2,705,0
7,Bhadrak,43,Soro,55,,,,,,,,220,283,179,0,3,2,1,1,0,7,696,0,3,699,0
7,Bhadrak,43,Soro,56,,,,,,,,242,225,111,0,2,1,0,3,0,0,584,0,4,588,0
7,Bhadrak,43,Soro,57,,,,,,,,237,172,124,3,10,0,0,4,0,1,551,0,0,551,0
7,Bhadrak,43,Soro,58,,,,,,,,251,359,78,3,1,0,1,10,1,1,705,0,3,708,0
7,Bhadrak,43,Soro,59,,,,,,,,189,142,31,1,0,0,0,1,0,0,364,0,0,364,0
7,Bhadrak,43,Soro,60,,,,,,,,339,402,128,3,32,2,1,0,1,8,916,0,5,921,0
7,Bhadrak,43,Soro,61,,,,,,,,323,366,109,0,4,0,0,0,0,2,804,0,3,807,0
7,Bhadrak,43,Soro,62,,,,,,,,115,196,43,0,4,0,0,2,1,3,364,0,4,368,0
7,Bhadrak,43,Soro,63,,,,,,,,68,186,53,0,5,0,0,0,0,27,339,0,2,341,0
7,Bhadrak,43,Soro,64,,,,,,,,126,138,29,1,15,0,0,0,1,0,310,0,1,311,0
7,Bhadrak,43,Soro,65,,,,,,,,219,183,81,0,1,1,1,0,0,3,489,0,6,495,0
7,Bhadrak,43,Soro,66,,,,,,,,284,409,209,1,5,4,1,1,0,2,916,0,1,917,0
7,Bhadrak,43,Soro,67,,,,,,,,92,279,26,0,1,1,1,1,0,5,406,0,2,408,0
7,Bhadrak,43,Soro,68,,,,,,,,119,123,24,0,0,0,0,0,0,1,267,0,2,269,0
7,Bhadrak,43,Soro,69,,,,,,,,152,246,121,1,1,0,4,0,1,1,527,0,1,528,0
7,Bhadrak,43,Soro,70,,,,,,,,364,346,90,3,1,0,1,5,0,2,812,0,2,814,0
