pc_id,pc_name,ac_id,ac_name,Booth No,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total Valid Votes,No fo rejected Votes (Test votes),Votes for NOTA Option,Total,No of Tendered votes
7,Bhadrak,44,Simulia,1,,,,,,,,23,143,2,263,2,0,1.0,1,435,0,3,438,0
7,Bhadrak,44,Simulia,2,,,,,,,,60,218,4,329,4,1,3.0,0,619,0,4,623,0
7,Bhadrak,44,Simulia,3,,,,,,,,11,340,7,405,0,1,1.0,0,765,0,2,767,0
7,Bhadrak,44,Simulia,4,,,,,,,,113,281,5,483,3,1,1.0,3,890,0,5,895,0
7,Bhadrak,44,Simulia,5,,,,,,,,39,222,3,425,4,4,0.0,3,700,0,3,703,0
7,Bhadrak,44,Simulia,6,,,,,,,,121,302,3,455,8,1,1.0,0,891,0,2,893,0
7,Bhadrak,44,Simulia,7,,,,,,,,41,296,2,451,2,4,3.0,2,801,0,4,805,0
7,Bhadrak,44,Simulia,8,,,,,,,,36,258,3,465,2,2,2.0,3,771,0,2,773,0
7,Bhadrak,44,Simulia,9,,,,,,,,30,181,3,538,4,3,1.0,4,764,0,10,774,0
7,Bhadrak,44,Simulia,10,,,,,,,,118,395,4,528,1,1,2.0,5,1054,0,7,1061,0
7,Bhadrak,44,Simulia,11,,,,,,,,77,341,5,295,3,1,2.0,0,724,0,1,725,0
7,Bhadrak,44,Simulia,12,,,,,,,,98,106,1,306,2,0,0.0,0,513,0,3,516,0
7,Bhadrak,44,Simulia,13,,,,,,,,260,294,2,243,4,1,0.0,0,804,0,3,807,0
7,Bhadrak,44,Simulia,14,,,,,,,,139,134,2,237,1,0,0.0,0,513,0,3,516,0
7,Bhadrak,44,Simulia,15,,,,,,,,92,186,0,439,1,3,0.0,3,724,0,1,725,0
7,Bhadrak,44,Simulia,16,,,,,,,,54,215,5,555,3,0,1.0,3,836,0,4,840,0
7,Bhadrak,44,Simulia,17,,,,,,,,115,335,4,423,6,3,3.0,6,895,0,3,898,0
7,Bhadrak,44,Simulia,18,,,,,,,,198,122,4,364,3,1,1.0,2,695,0,5,700,0
7,Bhadrak,44,Simulia,19,,,,,,,,169,215,1,277,0,2,1.0,2,667,0,4,671,0
7,Bhadrak,44,Simulia,20,,,,,,,,152,201,1,258,2,1,4.0,0,619,0,0,619,0
7,Bhadrak,44,Simulia,21,,,,,,,,154,225,1,379,5,0,0.0,3,767,0,3,770,0
7,Bhadrak,44,Simulia,22,,,,,,,,143,203,4,515,1,0,1.0,5,872,0,2,874,0
7,Bhadrak,44,Simulia,23,,,,,,,,249,190,5,524,2,1,1.0,2,974,0,3,977,0
7,Bhadrak,44,Simulia,24,,,,,,,,51,140,3,223,0,0,1.0,2,420,0,1,421,0
7,Bhadrak,44,Simulia,25,,,,,,,,64,232,4,322,3,2,0.0,0,627,0,5,632,0
7,Bhadrak,44,Simulia,26,,,,,,,,142,160,7,278,1,0,0.0,1,589,0,1,590,0
7,Bhadrak,44,Simulia,27,,,,,,,,52,273,4,367,4,0,1.0,4,705,0,2,707,0
7,Bhadrak,44,Simulia,28,,,,,,,,37,216,2,305,3,1,2.0,0,566,0,3,569,0
7,Bhadrak,44,Simulia,29,,,,,,,,65,105,3,409,3,4,0.0,0,589,0,0,589,0
7,Bhadrak,44,Simulia,30,,,,,,,,57,291,0,513,0,1,1.0,1,864,0,5,869,0
7,Bhadrak,44,Simulia,31,,,,,,,,76,253,4,574,5,2,1.0,5,920,0,1,921,0
7,Bhadrak,44,Simulia,32,,,,,,,,66,349,2,442,3,0,1.0,0,863,0,1,864,0
